source_id,status,rows,minutes,finished_at
FED_CMS_PARTB_PROVIDER_DY2013,skip,,0.1,2026-09-09T19:30:53
FED_CMS_PARTB_PROVIDER_DY2014,success,"986,657",5.8,2026-09-09T19:36:43
FED_CMS_PARTB_PROVIDER_DY2015,success,"1,019,377",5.3,2026-09-09T19:42:00
FED_CMS_PARTB_PROVIDER_DY2016,success,"1,053,958",4.8,2026-09-09T19:46:49
FED_CMS_PARTB_PROVIDER_DY2017,success,"1,088,687",8.4,2026-09-09T19:55:12
FED_CMS_PARTB_PROVIDER_DY2018,success,"1,121,462",7.5,2026-09-09T20:02:43
FED_CMS_PARTB_PROVIDER_DY2019,success,"1,155,870",7.8,2026-09-09T20:10:33
FED_CMS_PARTB_PROVIDER_DY2020,success,"1,161,542",8.1,2026-09-09T20:18:41
FED_CMS_PARTB_PROVIDER_DY2013,skip,,0.1,2026-09-09T20:19:19
FED_CMS_PARTB_PROVIDER_DY2014,skip,,0.1,2026-09-09T20:19:23
FED_CMS_PARTB_PROVIDER_DY2015,skip,,0.1,2026-09-09T20:19:29
FED_CMS_PARTB_PROVIDER_DY2016,skip,,0.1,2026-09-09T20:19:34
FED_CMS_PARTB_PROVIDER_DY2017,skip,,0.1,2026-09-09T20:19:40
FED_CMS_PARTB_PROVIDER_DY2018,skip,,0.1,2026-09-09T20:19:45
FED_CMS_PARTB_PROVIDER_DY2019,skip,,0.1,2026-09-09T20:19:50
FED_CMS_PARTB_PROVIDER_DY2020,skip,,0.1,2026-09-09T20:19:55
FED_CMS_PARTB_PROVIDER_DY2021,success,"1,198,754",10.0,2026-09-09T20:29:53
FED_CMS_PARTB_PROVIDER_DY2022,FAILED rc=1,,4.2,2026-09-09T20:34:07
FED_CMS_PARTB_PROVIDER_DY2023,success,"1,259,343",8.4,2026-09-09T20:42:33
FED_CMS_PARTB_PROVIDER_DY2024,success,"1,296,739",7.0,2026-09-09T20:49:33
FED_CMS_PARTD_PRESCRIBER_DY2013,success,"1,049,299",7.8,2026-09-09T20:57:19
FED_CMS_PARTD_PRESCRIBER_DY2014,success,"1,072,978",7.8,2026-09-09T21:05:06
FED_CMS_PARTD_PRESCRIBER_DY2015,success,"1,102,253",6.9,2026-09-09T21:11:57
FED_CMS_PARTD_PRESCRIBER_DY2016,success,"1,131,550",6.9,2026-09-09T21:18:49
FED_CMS_PARTD_PRESCRIBER_DY2017,success,"1,162,898",7.1,2026-09-09T21:25:55
FED_CMS_PARTD_PRESCRIBER_DY2018,success,"1,204,935",9.1,2026-09-09T21:35:01
FED_CMS_PARTD_PRESCRIBER_DY2019,success,"1,240,595",8.2,2026-09-09T21:43:14
FED_CMS_PARTD_PRESCRIBER_DY2020,success,"1,255,175",6.5,2026-09-09T21:49:46
FED_CMS_PARTD_PRESCRIBER_DY2021,success,"1,287,454",9.4,2026-09-09T21:59:09
FED_CMS_PARTD_PRESCRIBER_DY2022,success,"1,332,309",9.3,2026-09-09T22:08:26
FED_CMS_PARTD_PRESCRIBER_DY2023,success,"1,380,665",8.7,2026-09-09T22:17:05
FED_CMS_PARTD_PRESCRIBER_DY2024,success,"1,416,883",9.5,2026-09-09T22:26:35
FED_CMS_PARTB_PROVIDER_DY2013,skip,,0.1,2026-09-09T22:26:58
FED_CMS_PARTB_PROVIDER_DY2014,skip,,0.1,2026-09-09T22:27:02
FED_CMS_PARTB_PROVIDER_DY2015,skip,,0.1,2026-09-09T22:27:06
FED_CMS_PARTB_PROVIDER_DY2016,skip,,0.1,2026-09-09T22:27:11
FED_CMS_PARTB_PROVIDER_DY2017,skip,,0.1,2026-09-09T22:27:15
FED_CMS_PARTB_PROVIDER_DY2018,skip,,0.1,2026-09-09T22:27:18
FED_CMS_PARTB_PROVIDER_DY2019,skip,,0.1,2026-09-09T22:27:22
FED_CMS_PARTB_PROVIDER_DY2020,skip,,0.1,2026-09-09T22:27:26
FED_CMS_PARTB_PROVIDER_DY2021,skip,,0.1,2026-09-09T22:27:30
FED_CMS_PARTB_PROVIDER_DY2022,success,"1,230,293",7.2,2026-09-09T22:34:40
FED_CMS_PARTB_PROVIDER_DY2023,skip,,0.1,2026-09-09T22:34:44
FED_CMS_PARTB_PROVIDER_DY2024,skip,,0.1,2026-09-09T22:34:48
