EIN,EST_KEY,COMPANY,ESTABLISHMENT,CITY,STATE,NAICS,INDUSTRY,SIZE_BAND,EMPLOYEES,HOURS,DEATHS,DART_CASES,DAFW_DAYS,DART_RATE,TRIR,DAYS_PER_CASE,COHORT_N,COHORT_MEDIAN_DART,COHORT_POOLED_DART,FOLD_VS_POOLED,FOLD_VS_MEDIAN,Z_SCORE,PCT_RANK_IN_COHORT
133957095,1208757,The New York and Presbyterian Hospital NYP MORGAN STANLEY CHILDREN S HOSPIT,92030016 NYP MORGAN STANLEY CHILDREN S HOSPITAL,NEW YORK,NY,6221,,50-99,70,89261,0,38,1398,85.14,161.32,36.8,283,0.00,1.37,61.99,,15.73,1.0
943263409,1387182,Quality behavioral Outcomes LLC,Aurora Jane TBC CO,AURORA,CO,6211,ABA Therapy,20-49,20,29042,0,12,68,82.64,103.30,13.6,913,0.00,1.42,58.35,,17.15,1.0
201176170,1174052,"BluSky Restoration Contractors, LLC",BluSky Restoration Contractors Toledo,WATERVILLE,OH,2362,Commercial and Institutional Building Construction,20-49,36,74722,0,26,195,69.59,69.59,7.5,1852,0.00,1.29,54.02,,19.68,1.0
262841711,1257601,Sunrun Inc,BRANCH - CT - Connecticut Central,ROCKY HILL,CT,2382,"Photovoltaic solar energy generation systems and battery energy storage products,primarily for residential customers",20-49,22,39274,0,18,38,91.66,106.94,7.6,3383,0.00,2.08,44.06,,22.82,1.0
465146944,1414230,Renew it Group LLC,Renew it Group LLC,CHARLEVOIX,MI,2383,"Deck construction, residential-type",20-49,25,37480,0,18,16,96.05,96.05,1.0,1031,0.00,2.19,43.86,,19.16,1.0
956000776,1378218,city of san diego,SD Lifeguards Dispatch,SAN DIEGO,CA,5611,Business management services,250-999,406,466756,0,55,287,23.57,30.42,13.7,54,0.00,0.55,42.47,,7.02,1.0
042931951,742944,J Polep Distribution Services,J Polep Wilmington,WLIMINGTON,MA,4244,General-line groceries merchant wholesalers,20-49,20,44628,0,31,0,138.93,138.93,,810,2.18,3.66,37.99,63.79,19.55,1.0
133487573,1371380,Smartsign,Smartsign,OXFORD,NC,2362,"Warehouse construction (e.g., commercial, industrial, manufacturing, private)",20-49,40,42000,0,10,0,47.62,47.62,,1852,0.00,1.29,36.96,,13.35,0.9978
943263409,1387181,Quality behavioral Outcomes LLC,Aurora CO,AURORA,CO,6211,ABA Therapy,20-49,24,35759,0,8,7,44.74,61.52,3.5,913,0.00,1.42,31.59,,9.13,0.9948
932285682,1175498,"Prishaan & Priyam Logistics, LLC","Prishaan & Priyam Logistics, LLC",GLASTONBURY,CT,5416,Customs consulting services,100-249,122,105139,0,15,943,28.53,28.53,62.9,50,0.00,0.91,31.44,,6.29,1.0
911275815,994926,DESC,The Estelle,SEATTLE,WA,6242,Homeless shelters,20-49,35,28489,0,12,59,84.24,84.24,4.9,152,0.00,2.70,31.18,,8.54,1.0
832976157,997898,"Amergis Healthcare Staffing Services, Inc.	",Orange Field Office,ORANGE,CA,5613,Temporary staffing services,50-99,82,134065,0,66,4817,98.46,140.23,73.0,96,0.36,3.21,30.67,270.13,8.23,1.0
521365400,610099,Calvert Internal Medicine,Calvert Internal Medicine,PRINCE FREDERICK,MD,6211,"Internists' offices (e.g., centers, clinics)",100-249,160,254424,0,32,71,25.15,29.09,2.2,307,0.00,0.86,29.36,,12.93,1.0
161309424,1138689,Wegmans Food Markets Inc,Brooks Ave 1500,ROCHESTER,NY,5511,Corporate Managing Offices,1000+,1689,2910977,0,163,6944,11.20,12.78,49.2,64,0.10,0.38,29.27,109.54,6.99,1.0
831194138,1122859,Clean & Clear,Clean & Clear,LOMPCC,CA,2362,Pharmaceutical manufacturing plant construction,20-49,20,28000,0,5,33,35.71,42.86,16.5,1852,0.00,1.29,27.72,,9.92,0.9956
832976157,997925,"Amergis Healthcare Staffing Services, Inc.",San Diego Field Office,SAN DIEGO,CA,5613,Temporary staffing services,20-49,46,71630,0,18,1295,50.26,69.80,71.9,145,0.00,1.86,27.07,,7.55,1.0
611458290,1302087,Tennyson Center for Children,Residential Services,DENVER,CO,6232,"Group homes, intellectual and developmental disability",20-49,30,35191,0,15,16,85.25,147.77,3.2,827,0.00,3.21,26.59,,13.17,1.0
680255263,1077038,Hygieia Biological Laboratories,Hygieia Biological Laboratories,WOODLAND,CA,5417,Biotechnology research and development laboratories or services in agriculture,50-99,55,110440,0,9,3,16.30,19.92,3.0,84,0.00,0.61,26.52,,7.2,1.0
920485596,1115369,Davidson Health & Rehab Center,Davidson Health & Rehab Center,LEXINGTON,NC,6231,Nursing homes,100-249,149,179046,0,117,116,130.69,130.69,1.0,3641,3.20,4.95,26.38,40.89,17.01,1.0
363932215,121752,Rosemont Hockey Partners,Rosemont Hockey Partners (game operations),HOFFMAN ESTATES,IL,7112,,20-49,23,25678,0,9,38,70.10,101.25,4.2,39,0.00,2.66,26.36,,5.51,1.0
320361876,1328284,Staff Management Solutions  LLC,8010575 CTI  Owingsville  KY,OWINGSVILLE,KY,5613,Staffing,20-49,22,33525,0,8,168,47.73,53.69,24.0,145,0.00,1.86,25.71,,7.16,0.9677
920706528,1101942,Northwest Restoration Operating Inc.,Restoration 1 of Central WA,WENATCHEE,WA,2361,"Fire and flood restoration, single-family housing, general contractors",20-49,27,24000,0,7,0,58.33,83.33,,871,0.00,2.27,25.69,,12.63,1.0
010319802,1344744,SPURWINK SERVICES,Chelsea Day Tx,CHELSEA,ME,6111,"Boarding schools, elementary or secondary",20-49,43,67409,0,20,38,59.34,59.34,4.8,422,0.00,2.32,25.63,,9.96,1.0
411911238,1186664,SilverCrest Properties,SilverCrest Properties,ST LOUIS PARK,MN,6233,Assisted Living,1-19,16,29896,0,11,88,73.59,100.35,11.0,211,0.00,2.89,25.51,,9.5,1.0
582480149,1366981,United Parcel Service Inc,MOSTJ - ST JOSEPH,ST JOSEPH,MO,5511,Corporate Subsidiary and Regional Managing Offices,100-249,132,197138,0,7,132,7.10,9.13,132.0,203,0.00,0.28,25.41,,7.32,1.0
410941504,131498,Slumberland,00394-W003,BERESFORD,SD,4421,"Furniture stores (e.g., household, office, outdoor)",20-49,31,46219,0,13,5,56.25,56.25,5.0,447,0.00,2.26,24.91,,11.95,1.0
461617768,1408529,RotoCo LLC,Lancaster Branch,LANCASTER,CA,2382,Plumbing contractors,1-19,11,22880,0,5,385,43.71,52.45,96.3,743,0.00,1.77,24.67,,9.7,1.0
911275815,995041,DESC,West Wing,SEATTLE,WA,6242,Homeless shelters,20-49,23,21037,0,7,37,66.55,66.55,5.3,152,0.00,2.70,24.63,,6.67,0.9818
200255121,1275920,SKYGROUP INVESTMENT LLC,DAL-SGI-IFLY DALLAS,FRISCO,TX,7139,ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES,1-19,13,22967,0,9,77,78.37,95.79,19.3,94,0.00,3.18,24.62,,8.02,1.0
752908364,1227868,ROLLING FRITO LAY SALES,AUSTIN DC   EmpWorkCtrCd 30001673,AUSTIN,TX,4244,Confectionery Merchant Wholesalers,1-19,12,21919,0,7,131,63.87,73.00,65.5,358,0.00,2.62,24.41,,10.05,1.0
952621587,1332325,WM,S04167 - San Gabriel Baldwin Park,BALDWIN PARK,CA,5511,,100-249,114,265511,0,9,72,6.78,6.78,72.0,203,0.00,0.28,24.26,,6.97,0.9762
680401021,328264,,"CLENDENEN VINEYARD MANAGEMENT, LLC",HEALDSBURG,CA,1151,Agriculture production or harvesting crews,20-49,39,49430,0,15,265,60.69,72.83,33.1,385,0.00,2.51,24.15,,12.07,1.0
956000736,1387002,LADWP,DWP24,SAN PEDRO,CA,2211,,20-49,22,38760,0,6,29,30.96,30.96,9.7,1297,0.00,1.30,23.87,,10.56,1.0
920659208,1374750,Harmar Village,Harmar Village,CHESWICK,PA,6231,Nursing homes,100-249,155,209554,0,122,0,116.44,116.44,,3641,3.20,4.95,23.50,36.43,15.08,0.9997
262841711,1257585,Sunrun Inc,IL-713 Illinois Central  BRANCH - IL - Illinois,DES PLAINES,IL,2382,"Photovoltaic solar energy generation systems and battery energy storage products,primarily for residential customers",50-99,56,108753,0,26,545,47.81,57.01,54.5,2049,1.25,2.04,23.42,38.35,14.02,1.0
320447985,956549,Yanfeng,Hayward,HAYWARD,CA,5511,District and regional offices,50-99,91,201011,0,9,41,8.95,8.95,41.0,206,0.00,0.38,23.37,,6.58,1.0
770529628,1092545,Laird Manufacturing,Laird Mfg LLC (TSC),TULARE,CA,8113,Agricultural machinery and equipment repair and maintenance services,1-19,15,32152,0,7,19,43.54,43.54,9.5,285,0.00,1.89,23.10,,9.05,1.0
041592601,1415494,The Portland Group Inc,Providence,PROVIDENCE,RI,4237,"Boilers (e.g., heating, hot water, power, steam) merchant wholesalers",20-49,23,23636,0,6,351,50.77,50.77,58.5,1043,0.00,2.21,22.95,,12.77,1.0
260339713,1220553,Royal Business Bank,Buena Park,BUENA PARK,CA,5221,"Banks, commercial",20-49,40,83200,0,8,30,19.23,19.23,3.8,47,0.00,0.85,22.74,,6.32,1.0
822465485,954238,Blue Sprig Pediatrics Inc,Weatherford TX,WEATHERFORD,TX,6211,ABA Therapy,20-49,22,31217,0,5,26,32.03,32.03,13.0,913,0.00,1.42,22.62,,6.44,0.9897
863399702,1130815,"Neosho Smoke, LLC","Neosho Smoke, LLC",NEOSHO,MO,4239,"Wood products (e.g., chips, posts, shavings, ties) merchant wholesalers",20-49,40,92456,0,23,56,49.75,69.22,28.0,577,0.00,2.21,22.56,,11.55,1.0
990115254,675170,Research Corporation of the University of Hawaii (RCUH),Pacific Coop Studies Unit,HONOLULU,HI,5417,Research,250-999,347,537666,0,26,291,9.67,9.67,22.4,65,0.12,0.43,22.50,77.83,7.22,1.0
010510855,580507,"Allenfarm Fence Company, inc.","Allenfarm Fence Company, inc.",HERMON,ME,2389,Fencing contractors (except electronic containment fencing for pets),20-49,41,79181,0,12,0,30.31,30.31,,1483,0.00,1.36,22.24,,9.26,1.0
352144332,1096672,Clean Fuels National,Clean Fuels National,KEYSTONE,IN,2131,Lease tank cleaning and repairing on a contract basis,100-249,103,122317,0,5,0,8.18,8.18,,57,0.25,0.37,21.82,32.16,6.88,1.0
410941504,1129074,Slumberland,00394-SR72,DES MOINES,IA,4421,"Furniture stores (e.g., household, office, outdoor)",1-19,19,27359,0,5,0,36.55,36.55,,392,0.00,1.68,21.74,,8.77,1.0
