COMPANY_NAME,EIN,CIK,SIC,LATEST_FY,ESTABLISHMENTS,EMPLOYEES,HOURS,TOTAL_CASES,DEATHS,INJURY_RATE_PER_100_FTE,SEC_FILINGS,INSIDER_FILINGS,FORM4_FILINGS,LATEST_INSIDER_FILING,HOURS_FLOOR_500K
SOUTHWEST AIRLINES CO,741563240,92380,4512,2024,140,83456,103952844,6221,0,11.97,8,15,15,2026-03-24,True
CARVANA CO.,814549921,1690820,5500,2024,14,5048,7244948,379,0,10.46,8,30,30,2026-03-16,True
TRACTOR SUPPLY CO /DE/,133139732,916365,5200,2024,623,14313,18475381,912,0,9.87,8,37,35,2026-02-26,True
SIX FLAGS ENTERTAINMENT CORP,133995059,701374,7990,2024,2,1691,1903139,87,0,9.14,6,0,0,,True
FORD MOTOR CO,380549190,37996,3711,2024,53,60717,116069436,4933,0,8.5,8,31,31,2026-03-05,True
UNITED PARCEL SERVICE INC,582480149,1090727,4210,2024,1358,432004,591308798,23080,10,7.81,8,19,19,2026-02-13,True
MARRIOTT INTERNATIONAL INC /MD/,522055918,1048286,7011,2024,8,2642,3856238,137,0,7.11,8,43,40,2026-03-26,True
CASEYS GENERAL STORES INC,420935283,726958,5500,2025,4,1433,2145158,75,0,6.99,8,5,5,2026-03-19,True
SUNRUN INC.,262841711,1469367,3690,2024,45,6283,11939990,409,0,6.85,8,31,27,2026-03-17,True
"SABRA HEALTH CARE REIT, INC.",272560479,1492298,6798,2024,21,518,835179,28,0,6.71,8,23,22,2026-03-26,True
