SPECIALTY,PAY_BUCKET,N_PRESCRIBERS,MEDIAN_INDUSTRY_DOLLARS,BUCKET_MIN_DOLLARS,BUCKET_MAX_DOLLARS,BRAND_CLAIM_SHARE_PCT,BRAND_COST_SHARE_PCT,MEDIAN_PRESCRIBER_BRAND_SHARE_PCT,AVG_TOTAL_DRUG_COST,MEDIAN_TOTAL_DRUG_COST,MEDIAN_CLAIMS
Dentist,D08,1065,1713.0,1370.0,2281.0,0.11,24.94,0.0,948.0,509.0,99.0
Dentist,D09,814,2988.0,2287.0,4307.0,0.12,5.24,0.0,823.0,527.0,105.0
Dentist,D10,586,8553.0,4313.0,1926559.0,0.09,1.97,0.0,855.0,537.0,106.0
Dermatology,00: no payment,1248,0.0,,0.0,11.0,92.81,10.71,330195.0,212458.0,606.0
Dermatology,D01,337,20.0,5.0,34.0,10.23,93.76,9.52,413618.0,242186.0,701.0
Dermatology,D02,414,61.0,34.0,91.0,9.12,92.9,7.92,335883.0,182434.0,706.0
Dermatology,D03,570,125.0,91.0,165.0,9.35,93.42,8.65,336095.0,189483.0,620.0
Dermatology,D04,555,224.0,165.0,291.0,9.73,93.16,8.63,341682.0,210606.0,664.0
Dermatology,D05,656,392.0,292.0,498.0,8.7,92.87,7.89,349472.0,196076.0,627.0
Dermatology,D06,775,648.0,499.0,829.0,8.89,93.05,8.23,339871.0,196746.0,652.0
Dermatology,D07,933,1072.0,829.0,1366.0,8.64,93.73,7.81,375209.0,206874.0,703.0
Dermatology,D08,1077,1777.0,1366.0,2282.0,7.73,93.39,7.4,368198.0,226779.0,772.0
Dermatology,D09,1599,3157.0,2286.0,4307.0,8.43,93.45,7.83,382935.0,244173.0,807.0
Dermatology,D10,2660,8127.0,4308.0,2775022.0,10.49,94.93,9.09,644891.0,391835.0,939.0
Emergency Medicine,00: no payment,8198,0.0,,0.0,11.35,74.46,7.42,15509.0,4587.0,237.0
Emergency Medicine,D01,1878,19.0,1.0,34.0,9.93,72.32,6.96,19171.0,4678.0,263.0
Emergency Medicine,D02,1228,54.0,34.0,91.0,10.24,74.39,7.04,24122.0,5023.0,270.0
Emergency Medicine,D03,1011,124.0,91.0,165.0,12.0,80.56,7.11,29869.0,4800.0,265.0
Emergency Medicine,D04,703,217.0,165.0,291.0,10.99,75.56,7.14,57135.0,5221.0,276.0
Obstetrics & Gynecology,D08,1504,1734.0,1366.0,2285.0,17.87,74.22,16.3,44137.0,20966.0,229.0
Obstetrics & Gynecology,D09,977,2914.0,2286.0,4307.0,19.59,81.03,17.22,67251.0,24752.0,246.0
Obstetrics & Gynecology,D10,1040,9034.0,4311.0,764311.0,19.72,77.88,17.19,66205.0,23068.0,229.0
Ophthalmology,00: no payment,1539,0.0,,0.0,30.29,78.54,31.58,81512.0,37813.0,531.0
Ophthalmology,D01,542,21.0,1.0,34.0,31.06,80.89,31.95,122817.0,69344.0,852.0
Ophthalmology,D02,775,60.0,34.0,91.0,31.9,80.58,32.22,126124.0,67549.0,825.0
Ophthalmology,D03,1004,126.0,91.0,165.0,33.36,81.88,33.25,125813.0,74068.0,840.0
Ophthalmology,D04,1248,224.0,165.0,292.0,33.94,83.46,33.98,142329.0,80544.0,920.0
Ophthalmology,D05,1617,390.0,292.0,498.0,35.23,84.48,35.65,162097.0,94862.0,962.0
Ophthalmology,D06,1884,650.0,498.0,829.0,35.95,85.27,35.67,184765.0,109014.0,1073.0
Ophthalmology,D07,2147,1067.0,829.0,1366.0,37.12,86.14,37.31,229341.0,144336.0,1190.0
Ophthalmology,D08,2222,1754.0,1366.0,2285.0,38.69,88.35,38.2,270223.0,156083.0,1240.0
Ophthalmology,D09,1771,2975.0,2287.0,4307.0,40.6,89.86,39.05,344477.0,185609.0,1347.0
Ophthalmology,D10,2217,12397.0,4310.0,4060062.0,42.63,91.4,40.22,376197.0,140839.0,1033.0
Optometry,00: no payment,2361,0.0,,0.0,32.48,84.1,32.1,29740.0,15046.0,190.0
Optometry,D01,1089,20.0,3.0,34.0,33.36,86.34,33.33,35979.0,18777.0,206.0
Optometry,D02,1647,60.0,35.0,91.0,33.3,86.99,32.99,41539.0,21333.0,222.0
Optometry,D03,1898,125.0,91.0,165.0,34.14,87.59,34.47,40673.0,20384.0,205.0
Optometry,D04,2421,224.0,165.0,291.0,35.54,88.46,35.86,46884.0,23757.0,202.0
Optometry,D05,2920,384.0,292.0,498.0,36.95,89.58,36.66,51484.0,25419.0,201.0
Gastroenterology,D03,564,125.0,91.0,165.0,17.66,90.76,18.13,300419.0,167062.0,529.0
Gastroenterology,D04,649,227.0,165.0,292.0,17.52,91.39,17.98,328874.0,155004.0,537.0
Gastroenterology,D05,785,382.0,292.0,498.0,17.72,91.34,18.18,315738.0,179702.0,596.0
Gastroenterology,D06,862,649.0,498.0,829.0,18.14,91.08,18.77,320819.0,188861.0,620.0
Gastroenterology,D07,993,1065.0,829.0,1366.0,18.32,90.92,17.97,330778.0,201593.0,649.0
Gastroenterology,D08,1260,1797.0,1367.0,2285.0,18.23,92.28,18.31,411566.0,250421.0,743.0
Gastroenterology,D09,1706,3150.0,2286.0,4305.0,19.09,91.82,18.81,448439.0,310912.0,843.0
Gastroenterology,D10,2339,8670.0,4307.0,1161825.0,21.16,93.86,20.6,669130.0,421294.0,834.0
Internal Medicine,00: no payment,22518,0.0,,0.0,12.58,81.87,12.62,303106.0,158510.0,1477.0
Internal Medicine,D01,5576,20.0,0.0,34.0,12.81,82.31,12.62,406579.0,249913.0,2590.0
Internal Medicine,D02,4938,57.0,34.0,91.0,13.41,83.5,12.89,427972.0,260650.0,2484.0
Internal Medicine,D03,5123,125.0,91.0,165.0,13.22,83.16,12.99,417480.0,245150.0,2289.0
Internal Medicine,D04,4596,223.0,165.0,292.0,13.36,84.18,13.0,476666.0,291244.0,2505.0
Internal Medicine,D05,4293,382.0,292.0,498.0,13.55,83.73,13.19,513848.0,352510.0,3274.0
Internal Medicine,D06,4192,641.0,498.0,829.0,13.82,84.46,13.36,580002.0,399283.0,3716.0
Internal Medicine,D07,4018,1070.0,829.0,1366.0,14.09,85.01,13.62,683352.0,520055.0,4788.0
Internal Medicine,D08,4080,1756.0,1366.0,2285.0,14.12,85.72,13.9,775148.0,608278.0,5340.0
Internal Medicine,D09,4370,3089.0,2286.0,4306.0,14.66,86.37,14.08,946203.0,750548.0,6351.0
Internal Medicine,D10,4623,7040.0,4307.0,2040293.0,16.68,88.55,15.81,1405266.0,989693.0,6471.0
Optometry,D06,3143,648.0,498.0,829.0,38.88,91.47,38.81,70475.0,32714.0,212.0
Optometry,D07,3030,1054.0,829.0,1366.0,40.56,92.17,40.68,82236.0,37013.0,215.0
Optometry,D08,2472,1725.0,1366.0,2285.0,43.99,93.91,42.62,124466.0,48140.0,258.0
Optometry,D09,1551,2893.0,2286.0,4304.0,47.19,94.94,46.18,157989.0,60507.0,252.0
Optometry,D10,808,7862.0,4308.0,1403765.0,52.17,97.0,49.24,288109.0,68270.0,265.0
Pharmacist,00: no payment,14552,0.0,,0.0,66.52,96.88,100.0,67296.0,20284.0,99.0
Physician Assistant,00: no payment,12630,0.0,,0.0,12.02,84.26,9.74,125814.0,13163.0,352.0
Physician Assistant,D01,4078,20.0,1.0,34.0,12.38,85.8,9.77,150693.0,17409.0,400.0
Physician Assistant,D02,4221,57.0,34.0,91.0,12.61,86.08,10.0,164992.0,23158.0,450.0
Physician Assistant,D03,4288,125.0,91.0,165.0,12.79,86.82,10.14,165950.0,26578.0,421.0
Physician Assistant,D04,4332,221.0,165.0,292.0,13.52,87.28,10.44,186656.0,35731.0,480.0
Physician Assistant,D05,4472,383.0,292.0,498.0,13.53,87.96,11.24,211025.0,54989.0,530.0
Physician Assistant,D06,4337,647.0,498.0,829.0,14.48,88.69,11.89,238142.0,83321.0,621.0
Physician Assistant,D07,4673,1070.0,829.0,1365.0,14.44,88.75,12.16,262682.0,113378.0,703.0
Physician Assistant,D08,4915,1761.0,1366.0,2285.0,14.8,89.88,12.46,331213.0,172047.0,879.0
Physician Assistant,D09,5397,3085.0,2285.0,4307.0,15.0,90.38,12.67,400117.0,233902.0,975.0
Physician Assistant,D10,5379,6536.0,4308.0,1185772.0,17.29,92.78,12.99,616479.0,363501.0,1021.0
Psychiatry,00: no payment,5963,0.0,,0.0,4.52,73.77,4.28,124635.0,58257.0,723.0
Psychiatry,D01,1018,20.0,6.0,34.0,4.93,77.9,4.97,180473.0,87549.0,955.0
Emergency Medicine,D05,446,386.0,293.0,497.0,11.9,76.24,7.44,68431.0,5705.0,290.0
Emergency Medicine,D06,249,625.0,501.0,824.0,18.86,83.51,8.35,179979.0,6297.0,305.0
Emergency Medicine,D07,167,1015.0,831.0,1363.0,12.82,82.94,8.7,166016.0,8188.0,275.0
Emergency Medicine,D08,96,1656.0,1368.0,2285.0,13.82,59.85,9.52,483553.0,12215.0,331.0
Emergency Medicine,D09,87,3160.0,2317.0,4307.0,13.65,83.33,10.48,404054.0,36311.0,464.0
Emergency Medicine,D10,99,10781.0,4324.0,701218.0,14.63,84.24,9.47,377231.0,9548.0,271.0
Family Practice,00: no payment,23533,0.0,,0.0,11.93,80.83,11.66,299073.0,216755.0,2878.0
Family Practice,D01,6822,20.0,1.0,34.0,12.08,82.62,12.06,381639.0,293655.0,3503.0
Family Practice,D02,6004,56.0,34.0,91.0,12.42,82.51,12.12,405741.0,310758.0,3716.0
Family Practice,D03,5139,125.0,91.0,165.0,12.41,82.86,12.16,418792.0,320977.0,3765.0
Family Practice,D04,4537,220.0,165.0,292.0,12.35,82.94,12.24,446609.0,347488.0,4009.0
Family Practice,D05,4111,379.0,292.0,498.0,12.58,83.59,12.37,487967.0,388458.0,4438.0
Family Practice,D06,3916,644.0,498.0,829.0,12.57,83.67,12.36,535190.0,440020.0,4961.0
Family Practice,D07,3938,1064.0,829.0,1366.0,14.41,84.88,12.6,649101.0,512225.0,5508.0
Family Practice,D08,4151,1756.0,1366.0,2285.0,13.46,84.91,12.62,706526.0,574358.0,6081.0
Family Practice,D09,4524,3092.0,2286.0,4307.0,14.35,85.69,12.8,855684.0,694636.0,7168.0
Family Practice,D10,3801,6198.0,4307.0,3083709.0,14.32,86.4,13.55,1121482.0,903157.0,8316.0
Gastroenterology,00: no payment,1007,0.0,,0.0,17.19,90.64,17.46,298432.0,143702.0,487.0
Gastroenterology,D01,353,21.0,5.0,34.0,16.24,89.05,16.75,285108.0,161523.0,596.0
Gastroenterology,D02,457,59.0,35.0,91.0,17.01,89.69,16.49,260368.0,133097.0,529.0
Cardiology,00: no payment,1338,0.0,,0.0,17.03,92.95,17.05,481695.0,293586.0,1492.0
Cardiology,D01,559,20.0,1.0,34.0,16.77,92.39,16.62,551281.0,421445.0,2207.0
Cardiology,D02,707,57.0,35.0,91.0,16.38,92.41,16.45,590319.0,430304.0,2407.0
Cardiology,D03,755,129.0,91.0,165.0,16.64,92.43,16.79,579065.0,430230.0,2340.0
Cardiology,D04,1053,223.0,165.0,291.0,16.06,92.19,16.2,608977.0,475311.0,2568.0
Cardiology,D05,1100,384.0,292.0,498.0,16.52,92.13,16.37,630774.0,484315.0,2654.0
Cardiology,D06,1338,651.0,498.0,828.0,16.49,92.41,16.5,638838.0,457308.0,2505.0
Cardiology,D07,1473,1071.0,829.0,1366.0,16.41,92.27,16.64,710594.0,540315.0,2918.0
Cardiology,D08,1823,1781.0,1366.0,2285.0,17.06,92.59,17.14,754404.0,573171.0,2980.0
Cardiology,D09,2246,3063.0,2286.0,4304.0,17.3,92.32,17.45,818820.0,677131.0,3488.0
Cardiology,D10,3604,9685.0,4308.0,11696366.0,19.95,93.89,18.81,1024121.0,605560.0,2732.0
Dentist,00: no payment,9596,0.0,,0.0,0.16,9.96,0.0,719.0,445.0,94.0
Dentist,D01,4197,18.0,1.0,34.0,0.12,7.3,0.0,670.0,455.0,96.0
Dentist,D02,4698,58.0,34.0,91.0,0.07,3.31,0.0,657.0,466.0,97.0
Dentist,D03,3746,125.0,91.0,165.0,0.08,8.71,0.0,687.0,458.0,96.0
Dentist,D04,3757,218.0,165.0,292.0,0.09,7.65,0.0,690.0,461.0,95.0
Dentist,D05,2969,372.0,292.0,498.0,0.17,30.39,0.0,956.0,479.0,99.0
Dentist,D06,2070,626.0,498.0,829.0,0.13,12.65,0.0,783.0,487.0,101.0
Dentist,D07,1378,1032.0,830.0,1365.0,0.09,7.53,0.0,793.0,523.0,105.0
Psychiatry,D02,963,57.0,34.0,91.0,5.19,77.26,4.91,198678.0,97149.0,1078.0
