STATE,PLAN_KIND,FINAL_FILINGS,PARTICIPANTS,ASSETS_EOY
CA,pension,216,52463,
TX,pension,193,55618,
FL,pension,109,8916,
NY,pension,101,12966,
OH,pension,77,27665,
NC,pension,74,17603,
PA,pension,73,12859,
IL,pension,66,3728,
MA,pension,62,33679,
TX,welfare/other,61,31134,
MI,pension,61,9457,
NY,welfare/other,54,10677,
VA,pension,51,19120,
GA,pension,51,3745,
WA,pension,49,3836,
CO,pension,45,2064,
PA,welfare/other,44,10892,
NJ,pension,43,5536,
MD,pension,41,7562,
CA,welfare/other,41,10847,
AZ,pension,40,5034,
AL,pension,36,3951,
FL,welfare/other,36,40690,
MN,welfare/other,33,6599,
MO,pension,33,7015,
IL,welfare/other,33,10632,
MN,pension,33,1168,
SC,pension,32,1383,
TN,pension,31,8290,
CT,pension,31,5177,
OH,welfare/other,31,8614,
MA,welfare/other,28,5235,
WI,pension,28,2221,
UT,pension,26,3680,
WI,welfare/other,25,6902,
IN,pension,25,2254,
IN,welfare/other,25,4760,
GA,welfare/other,24,14290,
MI,welfare/other,23,3050,
OR,pension,23,1072,
IA,welfare/other,21,6660,
(none),pension,20,227,
ID,pension,19,1751,
NH,pension,18,3258,
IA,pension,17,3045,
OK,pension,15,557,
NC,welfare/other,15,4689,
KY,pension,14,2473,
TN,welfare/other,13,2389,
MD,welfare/other,13,4130,
OR,welfare/other,12,2814,
LA,welfare/other,12,5124,
CT,welfare/other,11,2812,
AZ,welfare/other,11,3844,
NV,pension,11,168,
LA,pension,11,898,
AL,welfare/other,11,2841,
WA,welfare/other,10,2438,
SD,welfare/other,10,1754,
VA,welfare/other,10,2749,
KS,pension,10,426,
VT,pension,9,1101,
NV,welfare/other,9,239,
NE,pension,9,1480,
CO,welfare/other,8,4891,
NH,welfare/other,8,1743,
RI,pension,8,3513,
KY,welfare/other,8,1624,
NE,welfare/other,7,2956,
DE,pension,7,2266,
KS,welfare/other,7,2757,
ME,pension,7,286,
PR,pension,7,10,
NJ,welfare/other,7,1502,
UT,welfare/other,6,890,
MS,pension,6,1014,
SD,pension,6,1080,
AR,pension,6,466,
MS,welfare/other,5,543,
HI,pension,5,1042,
AK,pension,5,92,
MO,welfare/other,4,816,
ID,welfare/other,4,1133,
MT,pension,4,17,
NM,pension,4,260,
ME,welfare/other,4,766,
AR,welfare/other,4,2642,
DC,pension,4,662,
WY,pension,4,115,
RI,welfare/other,3,1791,
DE,welfare/other,3,336,
SC,welfare/other,3,698,
ND,welfare/other,2,303,
(none),welfare/other,2,47898,
ND,pension,2,3,
MT,welfare/other,2,295,
WY,welfare/other,2,0,
VT,welfare/other,2,483,
OK,welfare/other,1,113,
NM,welfare/other,1,397,
WV,welfare/other,1,83,
WV,pension,1,237,
GU,welfare/other,1,3,
