model,family,class,n_rows,date_min,date_max,span_years,clock_verdict,time_columns_present,epoch1970,far_future,dup_ratio
case_queue,organization,noun,899,,,,NO_CLOCK,,0,0,0.0
civil_rights__fed_nara_wra_aad,dataset,noun,1,,,,UNMEASURED_CLOCK,DATE,0,0,0.0
cohort_queue,unresolved,event,903,2026-07-30,2026-07-30 10:27:37.676000,0.0,SHORT_SPAN,LEAD_AS_OF_DATE,0,0,0.0
consumer_protection__fed_cfpb_complaints,complaint,event,17168287,2011-01-01,2026-07-23 17:19:21,15.6,CLEAN,DATE RECEIVED|DATE SENT TO COMPANY|TIMELY RESPONSE?,0,0,0.0
consumer_safety__fed_cpsc_neiss,case,event+noun,9794971,1999-01-01,56571662-04-06 21:41:58.000,,UNMEASURED_CLOCK,TREATMENT_DATE|_SRC_YEAR,0,9794971,0.0
consumer_safety__fed_nhtsa_complaints,complaint,event,2227941,0003-10-20,2203-07-26,2199.7,CORRUPT_RANGE,,5,6,0.0
consumer_safety__fed_nhtsa_investigations,role,link,154209,1972-03-10,2026-07-24 00:43:24,54.4,CLEAN,,0,0,0.0
consumer_safety__fed_nhtsa_recalls,recall,event+noun,242993,0022-07-29,3019-05-14,2996.7,CORRUPT_RANGE,,0,11,0.0
corporate_registry__fed_icij_offshoreleaks_addresses,place,noun,402246,56596958-03-20 14:46:15.000,56596958-03-20 14:46:15.000,,NO_CLOCK,,0,402246,0.0
corporate_registry__fed_icij_offshoreleaks_entities,organization,noun,814344,0199-04-25,56596956-06-04 02:56:43.000,,UNMEASURED_CLOCK,INCORPORATION_DATE|INACTIVATION_DATE|STRUCK_OFF_DATE|DORM_DATE,1904,814348,0.0
corporate_registry__fed_icij_offshoreleaks_intermediaries,organization,noun,26768,56596958-12-22 15:04:19.000,56596958-12-22 15:04:19.000,,NO_CLOCK,,0,26768,0.0
corporate_registry__fed_icij_offshoreleaks_officers,role,link,771315,56596957-07-30 19:18:27.000,56596957-07-30 19:18:27.000,,NO_CLOCK,,0,771315,0.0
corporate_registry__fed_icij_offshoreleaks_others,organization,noun,2989,1933-08-05,56596959-07-23 16:04:31.000,,UNMEASURED_CLOCK,INCORPORATION_DATE|STRUCK_OFF_DATE|CLOSED_DATE,3,2989,0.0
corporate_registry__fed_icij_offshoreleaks_relationships,role,link,3339267,0003-06-24,56596959-11-04 22:24:53.000,,UNMEASURED_CLOCK,START_DATE|END_DATE,137,3339303,0.0025
corporate_registry__fed_irs_eo_bmf,organization,noun,1983563,1900-01-01,2026-11-01,126.8,CLEAN,TAX_PERIOD|TAX_PERIOD,11975,0,0.0
corporate_registry__intl_es_borme,organization,noun,3,2026-01-01,2026-06-01,0.4,SHORT_SPAN,DATE,0,0,0.0
corporate_registry__intl_ie_cro,organization,noun,821693,1753-01-01,2033-06-30,280.5,CORRUPT_RANGE,COMPANY_REG_DATE|LAST_AR_DATE|COMP_DISSOLVED_DATE|LAST_ACCOUNTS_DATE|COMPANY_STATUS_DATE|COMPANY_NAME_EFF_DATE,2029,1,0.0
corporate_registry__intl_uk_companies_house,organization,noun,5734780,1327-01-01,2026-07-27 20:53:42,699.6,CORRUPT_RANGE,,2237,0,0.0
corporate_registry__uk_companies_house_psc,organization,noun,7000000,1776-07-04,2026-08-04,250.1,CORRUPT_RANGE,DOB_MONTH|DOB_YEAR,3,0,0.0
criminal_justice__fed_bjs_data,accident,event,1000,,,,UNMEASURED_CLOCK,YEARQ|YEAR,0,0,0.044
economics__fed_bls_qcew,place,noun,3619437,,,,UNMEASURED_CLOCK,YEAR|QTR,0,0,0.0
economics__fed_dol_form5500,filing,event+noun,33484,1878-01-01,2026-01-01,148.0,CORRUPT_RANGE,FORM_YEAR|PLAN_YEAR_BEGIN_DATE|PLAN_YEAR_END_DATE|DATE_RECEIVED|FORM_PLAN_YEAR_BEGIN_DATE|PLAN_EFF_DATE,71,0,0.0
economics__fed_fac_single_audit,inspection,event,411638,2002-07-01,2026-07-26,24.1,CLEAN,AUDIT_YEAR|FY_START_DATE|FY_END_DATE|FAC_ACCEPTED_DATE,0,0,0.0
economics__fed_fdic_failed_banks,organization,noun,3584,1970-02-22,2026-07-30 12:06:15.635000-07:00,56.4,CLEAN,RESDATE|PTRDATE|FAILYR|FAILDATE|BRDATE|INSDATE,7,0,0.0
economics__fed_foreignassistance,trade,event,95658,,,,UNMEASURED_CLOCK,FISCAL_YEAR,0,0,0.0
economics__fed_grants_gov,award,event+noun,100,2026-06-25,2027-06-07,1.0,CLEAN,POSTED_DATE|CLOSE_DATE|LAST_UPDATED_DATE|ARCHIVE_DATE,0,0,0.0
economics__fed_irs_990,organization,noun,200,,,,UNMEASURED_CLOCK,TAXPERIODBEGINDT|TAXPERIODENDDT|TAXYR,0,0,0.0
economics__fed_irs_990_efile_index,measurement,event,5544626,1970-01-01,2020-01-28,50.1,CLEAN,TAX_PERIOD|SUB_DATE,3192934,0,0.0
economics__fed_irs_auto_revocations,enforcement,event,1207295,2010-05-15,2026-08-04,16.2,CLEAN,REVOCATION_DATE|REVOCATION_POSTING_DATE|REINSTATEMENT_DATE,0,0,0.0
economics__fed_irs_bmf,organization,noun,1974830,,,,UNMEASURED_CLOCK,TAX_PERIOD,0,0,0.0
economics__fed_irs_eo_pr,post,event,2587,,,,UNMEASURED_CLOCK,TAX_PERIOD,0,0,0.0
economics__fed_irs_pub78_eligible_donees,organization,noun,1435544,,,,NO_CLOCK,,0,0,0.0
economics__fed_irs_revocation,organization,noun,1187367,,,,UNMEASURED_CLOCK,REVOCATION_DATE|REVOCATION_POSTING_DATE|EXEMPTION_REINSTATEMENT_DATE,0,0,0.0
economics__fed_irs_soi_charities,organization,noun,2450,,,,UNMEASURED_CLOCK,TAX_PERIOD,0,0,0.0
economics__fed_pbgc_data,aggregate,aggregate,140454,,,,UNMEASURED_CLOCK,DATA_YEAR|PUBLICATION_DATE,0,0,0.0421
economics__fed_sba_loans,loan,event+noun,2174502,1987-04-01,2028-06-18,41.2,CLEAN,ASOFDATE|APPROVALDATE|FIRSTDISBURSEMENTDATE|TERMINMONTHS|PAIDINFULLDATE|CHARGEOFFDATE,0,0,0.0011
economics__fed_sba_ppp,loan,event+noun,968524,2020-04-03,2024-09-30,4.5,CLEAN,DATEAPPROVED|LOANSTATUSDATE|FORGIVENESSDATE,0,0,0.0
economics__fed_sec_edgar,filing,event+noun,200,,,,UNMEASURED_CLOCK,REPORTDATE|FISCALYEAREND,0,0,0.0
economics__fed_sec_edgar_company_tickers,instrument,noun,10414,,,,NO_CLOCK,,0,0,0.0
economics__fed_treasury_avg_interest_rates,measurement,event,4961,2001-01-01,2026-05-31,25.4,CLEAN,RECORD_DATE|RECORD_FISCAL_YEAR|RECORD_FISCAL_QUARTER|RECORD_CALENDAR_YEAR|RECORD_CALENDAR_QUARTER|RECORD_CALENDAR_MONTH,0,0,0.0
economics__fed_treasury_debt_outstanding,instrument,noun,237,1790-01-01,2025-09-30,235.7,CORRUPT_RANGE,RECORD_DATE|RECORD_FISCAL_YEAR|RECORD_FISCAL_QUARTER|RECORD_CALENDAR_YEAR|RECORD_CALENDAR_QUARTER|RECORD_CALENDAR_MONTH,1,0,0.0
economics__fed_treasury_debt_to_penny,instrument,noun,8329,1993-04-01,2026-06-15,33.2,CLEAN,RECORD_DATE|RECORD_FISCAL_YEAR|RECORD_FISCAL_QUARTER|RECORD_CALENDAR_YEAR|RECORD_CALENDAR_QUARTER|RECORD_CALENDAR_MONTH,0,0,0.0
economics__fed_treasury_dts_deposits,payment,event,478149,2005-10-03,2026-08-07,20.8,CLEAN,RECORD_CALENDAR_MONTH|RECORD_CALENDAR_QUARTER|RECORD_CALENDAR_YEAR|RECORD_DATE|RECORD_FISCAL_QUARTER|RECORD_FISCAL_YEAR,0,0,0.0
economics__fed_treasury_mts_receipts,contribution,event,7490,2015-03-31,2026-06-30,11.2,CLEAN,RECORD_DATE|CURRENT_MONTH_GROSS_RCPT_AMT|CURRENT_MONTH_REFUND_AMT|CURRENT_MONTH_NET_RCPT_AMT|RECORD_FISCAL_YEAR|RECORD_FISCAL_QUARTER,0,0,0.0
economics__fed_us_sec_edgar,filing,event+noun,48984,1995-05-19,2026-07-01,31.1,CLEAN,PERIOD_OF_REPORT,0,0,0.0
economics__fed_us_usaspending_api,award,event+noun,300,1978-09-15,2100-12-31,122.3,CORRUPT_RANGE,START_DATE|END_DATE|LAST_MODIFIED_DATE|FISCAL_YEAR,0,13,0.0
