schema	table	column	type	regex_tag	regex_verdict	real_tag	real_tier	real_verdict	sampled	filled	distinct	regex_shape_pct	real_shape_pct	value_looks_like	name_hint	names_holds	fips_level	examples
CONSUMER_PROTECTION	CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	COMPLAINT_ID	TEXT						2000	2000	2000							"[""17991679"", ""1799168"", ""17991680""]"
CONSUMER_PROTECTION	CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	STATE	TEXT	STATE	PASS	STATE	GEO	PASS	2000	1996	50	100.0	100.0					"[""SC"", ""GA"", ""NJ""]"
CONSUMER_PROTECTION	CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	ZIP_CODE	TEXT	ZIP	PASS	ZIP	GEO	PASS	2000	2000	884	92.5	92.5					"[""29204"", ""30281"", ""29576""]"
CONSUMER_PROTECTION	CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	COMPANY	TEXT			NAME	PROBABILISTIC	PASS	2000	2000	195					organizations		"[""EQUIFAX, INC."", ""CL Holdings LLC"", ""BANK OF AMERICA, NATIONAL ASSOCIATION""]"
CONSUMER_PROTECTION	CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	DATE_RECEIVED	DATE						2000	2000	36							"[""2025-12-12"", ""2016-02-22"", ""2025-12-02""]"
CONSUMER_PROTECTION	CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	DATE_SENT_TO_COMPANY	DATE						2000	2000	43							"[""2025-12-12"", ""2016-02-22"", ""2016-02-24""]"
CONSUMER_PROTECTION	CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	DAYS_RECEIVED_TO_COMPANY	NUMBER			NAME	PROBABILISTIC	FAIL	2000	2000	32					numbers		"[""0"", ""2"", ""1""]"
CONSUMER_PROTECTION	CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	RECEIVED_MONTH	DATE						2000	2000	7							"[""2025-12-01"", ""2016-02-01"", ""2025-11-01""]"
CONSUMER_PROTECTION	CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	RECEIVED_YEAR	DATE						2000	2000	3							"[""2025-01-01"", ""2016-01-01"", ""2012-01-01""]"
CONSUMER_PROTECTION	CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	PRODUCT	TEXT						2000	2000	15							"[""Credit reporting or other personal consumer reports"", ""Debt collection"", ""Checking or savings account""]"
CONSUMER_PROTECTION	CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	SUB_PRODUCT	TEXT						2000	1968	50							"[""Credit reporting"", ""Non-federal student loan"", ""Checking account""]"
CONSUMER_PROTECTION	CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	ISSUE	TEXT						2000	2000	77							"[""Incorrect information on your report"", ""Disclosure verification of debt"", ""Closing an account""]"
CONSUMER_PROTECTION	CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	SUB_ISSUE	TEXT						2000	1882	122							"[""Information belongs to someone else"", ""Not given enough info to verify debt"", ""Company closed your account""]"
CONSUMER_PROTECTION	CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	SUBMITTED_VIA	TEXT						2000	2000	4							"[""Web"", ""Referral"", ""Phone""]"
CONSUMER_PROTECTION	CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	COMPANY_RESPONSE	TEXT			NAME	PROBABILISTIC	PASS	2000	2000	6					names, org or person unclear		"[""Closed with non-monetary relief"", ""Closed with monetary relief"", ""Closed with explanation""]"
CONSUMER_PROTECTION	CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	COMPANY_PUBLIC_RESPONSE	TEXT			NAME	PROBABILISTIC	PASS	2000	1049	7					organizations		"[""Company has responded to the consumer and the CFPB and chooses not to provide a public response"", ""Company believes complaint caused principally by actions of third party outside the control or direction of the company"", ""Company believes it acted appropriately as authorized by contract or law""]"
CONSUMER_PROTECTION	CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	IS_TIMELY	BOOLEAN						2000	2000	2							"[""True"", ""False""]"
CONSUMER_PROTECTION	CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	HAS_NARRATIVE	BOOLEAN						2000	2000	2							"[""False"", ""True""]"
CONSUMER_PROTECTION	CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	TAGS	TEXT						2000	99	3							"[""Older American"", ""Older American, Servicemember"", ""Servicemember""]"
CONSUMER_PROTECTION	CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	COMPLAINT_NARRATIVE	TEXT						2000	145	145							"[""I recently pulled my credit report and had XXXX acct listed as being in collections, I wanted to gather information about the debt so I contacted the collections agency listed on my CR. The company Je"", ""I am writing to express the extreme frustration and distress caused by discovering an unverified debt on my credit report that I have no knowledge of or association with. \nThis situation has led to re"", ""Fraudulent Debt Collection Complaint Citi ThankYou Card I am filing this complaint to document repeated and fraudulent debt collection attempts related to my Citi XXXX XXXX  account. \n\n- * * Long Stan""]"
CONSUMER_PROTECTION	CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	IS_CLOSED	BOOLEAN						2000	2000	2							"[""True"", ""False""]"
CONSUMER_PROTECTION	CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	SOURCE_ID	TEXT						2000	2000	1							"[""fed_cfpb_complaints""]"
CONSUMER_PROTECTION	CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	_INGESTED_AT	TIMESTAMP_NTZ						2000	2000	1							"[""2026-09-06 16:33:56""]"
CONSUMER_PROTECTION	CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS	_SOURCE_RUN_ID	TEXT						2000	2000	1							"[""259653fa-b0fd-49c4-877a-1572d6fd54b8""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_CPSC_NEISS	CASE_NUMBER	TEXT						2000	2000	2000							"[""251118175"", ""240240348"", ""201047433""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_CPSC_NEISS	TREATMENT_DATE	DATE						2000	2000	1802							"[""2025-11-16"", ""2024-01-22"", ""2020-10-18""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_CPSC_NEISS	DATA_YEAR	NUMBER						2000	2000	27							"[""2025"", ""2024"", ""2020""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_CPSC_NEISS	AGE	NUMBER						2000	2000	121							"[""89"", ""17"", ""51""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_CPSC_NEISS	SEX_CODE	TEXT						2000	2000	2							"[""1"", ""2""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_CPSC_NEISS	RACE_CODE	TEXT						2000	1983	6							"[""1"", ""2"", ""0""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_CPSC_NEISS	HISPANIC_CODE	TEXT						2000	529	3							"[""2"", ""0"", ""1""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_CPSC_NEISS	BODY_PART_CODE	TEXT						2000	2000	26							"[""31"", ""89"", ""82""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_CPSC_NEISS	DIAGNOSIS_CODE	TEXT						2000	2000	31							"[""57"", ""71"", ""59""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_CPSC_NEISS	DISPOSITION_CODE	TEXT						2000	2000	7							"[""4"", ""1"", ""9""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_CPSC_NEISS	LOCATION_CODE	TEXT						2000	2000	7							"[""1"", ""9"", ""0""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_CPSC_NEISS	FIRE_INVOLVEMENT	TEXT						2000	2000	4							"[""0"", ""3"", ""1""]"
CONSUMER_SAFETY	CONSUMER_SAFETY__FED_CPSC_NEISS	PRODUCT_CODE_1	TEXT						2000	2000	331							"[""4074"", ""1217"", ""464""]"
