id,family,status,question,tables,join_grade,join_plan,bridge_needed,filter_columns,no_key_pairs,manual_note
1,HEALTH+IMMIGRATION,part done,Are doctors banned from Medicare still showing up on hospice paperwork?,HEALTH__FED_HHS_OIG_LEIE | HEALTH__FED_CMS_FACILITY_AFFILIATION | IMMIGRATION__FED_CMS_HOSPICE_ENROLLMENTS | HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS,A measured,HEALTH__FED_HHS_OIG_LEIE.NPI = HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI [measured 15 shared] ; HEALTH__FED_HHS_OIG_LEIE.NPI = IMMIGRATION__FED_CMS_HOSPICE_ENROLLMENTS.NPI [NPI] ; HEALTH__FED_HHS_OIG_LEIE.NPI = HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.NPI [NPI] ; HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI = IMMIGRATION__FED_CMS_HOSPICE_ENROLLMENTS.NPI [NPI] ; HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI = HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.NPI [NPI] ; IMMIGRATION__FED_CMS_HOSPICE_ENROLLMENTS.NPI = HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.NPI [NPI],,HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.INCORPORATION_DATE | HEALTH__FED_HHS_OIG_LEIE.EXCLUSION_DATE | HEALTH__FED_HHS_OIG_LEIE.REINSTATEMENT_DATE | IMMIGRATION__FED_CMS_HOSPICE_ENROLLMENTS.INCORPORATION_DATE,,
2,HEALTH,found something,"Which nursing home owners get fined the most per home, and does it repeat?",HEALTH__FED_NURSINGHOME411 | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES | HEALTH__FED_CMS_NURSING_HOME_PENALTIES,B hard ID,HEALTH__FED_NURSINGHOME411.CMS_CERTIFICATION_NUMBER_CCN = HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.CMS_CERTIFICATION_NUMBER_CCN [CCN] ; HEALTH__FED_NURSINGHOME411.CMS_CERTIFICATION_NUMBER_CCN = HEALTH__FED_CMS_NURSING_HOME_PENALTIES.CMS_CERTIFICATION_NUMBER_CCN [CCN] ; HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.CMS_CERTIFICATION_NUMBER_CCN = HEALTH__FED_CMS_NURSING_HOME_PENALTIES.CMS_CERTIFICATION_NUMBER_CCN [CCN],,HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.CORRECTION_DATE | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.SURVEY_DATE | HEALTH__FED_CMS_NURSING_HOME_PENALTIES.PAYMENT_DENIAL_START_DATE | HEALTH__FED_CMS_NURSING_HOME_PENALTIES.PENALTY_DATE | HEALTH__FED_NURSINGHOME411.DATE_FIRST_APPROVED_TO_PROVIDE_MEDICARE_AND_MEDICAID_SERVICES | HEALTH__FED_NURSINGHOME411.PROBLEM_FACILITIES_SFFS_CANDIDATES_ONE_STAR,,
3,ENVIRONMENT+HOUSING,nothing there,Do banks that lend money also own the polluting sites?,HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF | ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,B hard ID,HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF.LEI_2018 = ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK.MATCHED_LEI [LEI],,,,
4,HEALTH+RAW,found something,Do addiction doctors get paid more by drugmakers when they prescribe more?,HEALTH__FED_CMS_OPIOID_TREATMENT_PROGRAM_PROVIDERS | FED_CMS_PARTD_PRESCRIBER_DRUG | HEALTH__FED_CMS_OPEN_PAYMENTS_2022,B hard ID,HEALTH__FED_CMS_OPIOID_TREATMENT_PROGRAM_PROVIDERS.NPI = FED_CMS_PARTD_PRESCRIBER_DRUG.Prscrbr_NPI [NPI] ; HEALTH__FED_CMS_OPIOID_TREATMENT_PROGRAM_PROVIDERS.NPI = HEALTH__FED_CMS_OPEN_PAYMENTS_2022.NPI [NPI] ; FED_CMS_PARTD_PRESCRIBER_DRUG.Prscrbr_NPI = HEALTH__FED_CMS_OPEN_PAYMENTS_2022.NPI [NPI],,HEALTH__FED_CMS_OPEN_PAYMENTS_2022.DATE_OF_PAYMENT | HEALTH__FED_CMS_OPEN_PAYMENTS_2022.PROGRAM_YEAR | HEALTH__FED_CMS_OPIOID_TREATMENT_PROGRAM_PROVIDERS.MEDICARE_ID_EFFECTIVE_DATE,,
5,HOUSING,part done,Do people get worse loan terms right after a hurricane or flood?,HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS | HOUSING__FED_CFPB_HMDA_HISTORIC,C geo,HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.FIPS = HOUSING__FED_CFPB_HMDA_HISTORIC.COUNTY_CODE [COUNTY_FIPS],,HOUSING__FED_CFPB_HMDA_HISTORIC.AS_OF_YEAR | HOUSING__FED_CFPB_HMDA_HISTORIC.SOURCE_YEAR | HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.APPLIED_DATE | HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.DECLARATION_DATE,,
6,HEALTH,part done,Do dialysis chains that dominate a rural area have worse patient outcomes?,HEALTH__FED_CMS_DIALYSIS | HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES | HEALTH__FED_CMS_FACILITY_AFFILIATION | HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE | HEALTH__FED_CMS_OPEN_PAYMENTS,A measured,HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES.NPI = HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI [measured 34 shared] ; HEALTH__FED_CMS_OPEN_PAYMENTS.NPI = HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI [measured 500450 shared] ; HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE.NPI = HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI [measured 326347 shared] ; HEALTH__FED_CMS_DIALYSIS.CCN = HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES.CCN [CCN] ; HEALTH__FED_CMS_DIALYSIS.CCN = HEALTH__FED_CMS_FACILITY_AFFILIATION.CCN [CCN] ; HEALTH__FED_CMS_DIALYSIS.CCN = HEALTH__FED_CMS_OPEN_PAYMENTS.CCN [CCN] ; HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES.NPI = HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE.NPI [NPI] ; HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES.NPI = HEALTH__FED_CMS_OPEN_PAYMENTS.NPI [NPI] ; HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE.NPI = HEALTH__FED_CMS_OPEN_PAYMENTS.NPI [NPI],HEALTH__FED_CMS_DIALYSIS.CCN = HEALTH__FED_CMS_FACILITY_AFFILIATION.CCN [CCN] then HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI = HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE.NPI [NPI],HEALTH__FED_CMS_DIALYSIS.CERTIFICATION_DATE | HEALTH__FED_CMS_DIALYSIS.FIVE_STAR_DATE | HEALTH__FED_CMS_OPEN_PAYMENTS.DATE_OF_PAYMENT | HEALTH__FED_CMS_OPEN_PAYMENTS.PROGRAM_YEAR,,
7,HEALTH,found something,Are banned doctors working at clinics serving poor neighborhoods?,HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES | HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS | HEALTH__FED_HHS_OIG_LEIE,B hard ID,HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.HEALTH_CENTER_ZIP_CODE = HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS.ZIP_CODE [ZIP] ; HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.HEALTH_CENTER_ZIP_CODE = HEALTH__FED_HHS_OIG_LEIE.ZIP [ZIP] ; HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS.NPI = HEALTH__FED_HHS_OIG_LEIE.NPI [NPI],,HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS.OPTOUT_EFFECTIVE_DATE | HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS.OPTOUT_END_DATE | HEALTH__FED_HHS_OIG_LEIE.EXCLUSION_DATE | HEALTH__FED_HHS_OIG_LEIE.REINSTATEMENT_DATE | HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.RECORD_CREATE_DATE | HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES.SITE_ADDED_TO_SCOPE_DATE,,
8,HEALTH+JUSTICE,part done,"When a county's jail population spikes, does drug overdose rise later?",JUSTICE__XC_VERA_INCARCERATION_TRENDS | HEALTH__FED_HRSA_SHORTAGE_AREAS | HEALTH__FED_CDC_DRUG_POISONING_COUNTY,C geo,JUSTICE__XC_VERA_INCARCERATION_TRENDS.COUNTY_NAME = HEALTH__FED_HRSA_SHORTAGE_AREAS.COMMON_COUNTY_NAME [COUNTY_NAME] ; JUSTICE__XC_VERA_INCARCERATION_TRENDS.COUNTY_FIPS = HEALTH__FED_CDC_DRUG_POISONING_COUNTY.FIPS [COUNTY_FIPS] ; HEALTH__FED_HRSA_SHORTAGE_AREAS.COMMON_COUNTY_NAME = HEALTH__FED_CDC_DRUG_POISONING_COUNTY.COUNTY [COUNTY_NAME],,HEALTH__FED_CDC_DRUG_POISONING_COUNTY.YEAR | HEALTH__FED_HRSA_SHORTAGE_AREAS.HPSA_DESIGNATION_DATE | HEALTH__FED_HRSA_SHORTAGE_AREAS.HPSA_DESIGNATION_LAST_UPDATE_DATE | JUSTICE__XC_VERA_INCARCERATION_TRENDS.YEAR,,
9,CROSS 3+,part done,Do the biggest polluters also pay their workers the least?,ENVIRONMENT__FED_EPA_GHGRP_FACILITY | ECONOMICS__FED_BLS_QCEW | HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,C geo +gap,ENVIRONMENT__FED_EPA_GHGRP_FACILITY.STATE = ECONOMICS__FED_BLS_QCEW.STATE_FIPS [STATE] ; ENVIRONMENT__FED_EPA_GHGRP_FACILITY.COUNTY_FIPS = HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY.GEOID [COUNTY_FIPS],,ECONOMICS__FED_BLS_QCEW.YEAR | ENVIRONMENT__FED_EPA_GHGRP_FACILITY.REPORTING_YEAR | HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY.TTM_DATE_RANGE,ECONOMICS__FED_BLS_QCEW x HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,
10,HEALTH,part done,Are the suppliers who bill the most also getting kickback-like payments?,HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_REFER,single table,,,,,
