id	status	score	a	a_key	c	c_key	a_schema	c_schema	a_rows	c_rows	via	via_count	tags	look_for	charts	traps	found	finding_ids	by	date
H:ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL~ENVIRONMENT__FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS	probed	12.5	ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	UEI	ENVIRONMENT__FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS	FRS_ID	ECONOMICS	ENVIRONMENT	128155142	10411826	UEI to FRS_ID via XC_EPA_CORPORATE_CROSSWALK	1	HARM MONEY PEOPLE CROSS HOP	does it land: share of FED_USASPENDING_ASSISTANCE_FULL UEI values that reach a FRS_ID through the crosswalk, and on to FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS :: flow diagram | gap: FEDERAL_ACTION_OBLIGATION in FED_USASPENDING_ASSISTANCE_FULL for matched vs unmatched :: paired bars | gap: share of FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS rows with a POLLUTANT_NAME, matched vs unmatched :: paired bars	flow_diagram paired_bars	reach-is-not-a-usable-join	6,407 of 354,619 UEIs hit XC, 857 reach air; UEI only on 29M of 128M rows; 1M/yr cap so $ are floors; XC was matched to contractors, not grantees		sweep-c	2026-09-24
H:ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2~ENVIRONMENT__FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS	probed	12.5	ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2	UEI	ENVIRONMENT__FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS	FRS_ID	ECONOMICS	ENVIRONMENT	93119582	10411826	UEI to FRS_ID via XC_EPA_CORPORATE_CROSSWALK	1	HARM MONEY PEOPLE CROSS HOP	does it land: share of FED_USASPENDING_CONTRACTS_FULL_R2 UEI values that reach a FRS_ID through the crosswalk, and on to FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS :: flow diagram | gap: FEDERAL_ACTION_OBLIGATION in FED_USASPENDING_CONTRACTS_FULL_R2 for matched vs unmatched :: paired bars | gap: share of FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS rows with a POLLUTANT_NAME, matched vs unmatched :: paired bars	flow_diagram paired_bars	reach-is-not-a-usable-join	31,349 of 582,656 UEIs hit XC (XC built from CONTRACTS_FULL); 3,535 reach air; $631B to them vs $10.7T rest; median $633K vs $52K = big-firm effect; usable join, no story yet		sweep-c	2026-09-24
H:ECONOMICS__FED_USASPENDING_CONTRACTS_FULL~ENVIRONMENT__FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS	probed	12.5	ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	UEI	ENVIRONMENT__FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS	FRS_ID	ECONOMICS	ENVIRONMENT	20000000	10411826	UEI to FRS_ID via XC_EPA_CORPORATE_CROSSWALK	1	HARM MONEY PEOPLE CROSS HOP	does it land: share of FED_USASPENDING_CONTRACTS_FULL UEI values that reach a FRS_ID through the crosswalk, and on to FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS :: flow diagram | gap: FEDERAL_ACTION_OBLIGATION in FED_USASPENDING_CONTRACTS_FULL for matched vs unmatched :: paired bars | gap: share of FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS rows with a POLLUTANT_NAME, matched vs unmatched :: paired bars	flow_diagram paired_bars	reach-is-not-a-usable-join	100% of XC's 31,685 UEIs land here because XC was built from this table (circular); 3,560 reach air, 3,748 facilities, 223K of 10.4M air rows; 19/20 names agree; POLLUTANT_NAME 100% filled, no gap		sweep-c	2026-09-24
H:ECONOMICS__FED_USASPENDING_CONTRACTS~ENVIRONMENT__FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS	probed	12.4	ECONOMICS__FED_USASPENDING_CONTRACTS	UEI	ENVIRONMENT__FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS	FRS_ID	ECONOMICS	ENVIRONMENT	6325622	10411826	UEI to FRS_ID via XC_EPA_CORPORATE_CROSSWALK	1	HARM MONEY PEOPLE CROSS HOP	does it land: share of FED_USASPENDING_CONTRACTS UEI values that reach a FRS_ID through the crosswalk, and on to FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS :: flow diagram | gap: FEDERAL_ACTION_OBLIGATION in FED_USASPENDING_CONTRACTS for matched vs unmatched :: paired bars | gap: share of FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS rows with a POLLUTANT_NAME, matched vs unmatched :: paired bars	flow_diagram paired_bars	reach-is-not-a-usable-join	8,778 of 92,833 UEIs hit XC; 1,206 reach air (1.3%); 19/20 names agree; median $210K vs $71K, big-firm effect. POLLUTANT_NAME 100% filled, no gap. XC.PARENT_UEI is really recipient UEI name-matched from CONTRACTS_FULL		sweep-c	2026-09-24
H:HEALTH__FED_CMS_OPEN_PAYMENTS_2022~LABOR__FED_OSHA_ITA_CASE_DETAIL_2023	probed	12.0	HEALTH__FED_CMS_OPEN_PAYMENTS_2022	CCN	LABOR__FED_OSHA_ITA_CASE_DETAIL_2023	EIN	HEALTH	LABOR	13306564	890934	CCN to EIN via XWALK_HOSPITAL_CCN_EIN	1	HARM MONEY PEOPLE CROSS HOP	does it land: share of FED_CMS_OPEN_PAYMENTS_2022 CCN values that reach a EIN through the crosswalk, and on to FED_OSHA_ITA_CASE_DETAIL_2023 :: flow diagram | gap: TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS in FED_CMS_OPEN_PAYMENTS_2022 for matched vs unmatched :: paired bars | gap: ANNUAL_AVERAGE_EMPLOYEES in FED_OSHA_ITA_CASE_DETAIL_2023 for matched vs unmatched :: paired bars	flow_diagram paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	1,217 CCNs, 606 hit XWALK, 291 reach OSHA23 (24%); OP year 2022 vs OSHA 2023 misaligned. CCN only on 0.2% of OP rows (teaching hospitals). Names 20/20 at org level, ZIP 12/20: EIN is the health system, so Kaiser = 26 OSHA sites. Payment and headcount gaps = bigger systems		sweep-c	2026-09-24
H:HEALTH__FED_CMS_OPEN_PAYMENTS_2023~LABOR__FED_OSHA_ITA_CASE_DETAIL_2023	probed	12.0	HEALTH__FED_CMS_OPEN_PAYMENTS_2023	CCN	LABOR__FED_OSHA_ITA_CASE_DETAIL_2023	EIN	HEALTH	LABOR	14700786	890934	CCN to EIN via XWALK_HOSPITAL_CCN_EIN	1	HARM MONEY PEOPLE CROSS HOP	does it land: share of FED_CMS_OPEN_PAYMENTS_2023 CCN values that reach a EIN through the crosswalk, and on to FED_OSHA_ITA_CASE_DETAIL_2023 :: flow diagram | gap: TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS in FED_CMS_OPEN_PAYMENTS_2023 for matched vs unmatched :: paired bars | gap: ANNUAL_AVERAGE_EMPLOYEES in FED_OSHA_ITA_CASE_DETAIL_2023 for matched vs unmatched :: paired bars	flow_diagram paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	1,207 CCNs, 611 hit XWALK, 293 reach OSHA23 (24%); years align. CCN only on 0.2% of OP rows (teaching hospitals). Names 20/20 at org level, ZIP 12/20: EIN is the health system, so Kaiser = 26 OSHA sites. Payment and headcount gaps = bigger systems		sweep-c	2026-09-24
H:HEALTH__FED_CMS_OPEN_PAYMENTS~LABOR__FED_OSHA_ITA_CASE_DETAIL_2023	probed	12.0	HEALTH__FED_CMS_OPEN_PAYMENTS	CCN	LABOR__FED_OSHA_ITA_CASE_DETAIL_2023	EIN	HEALTH	LABOR	15385047	890934	CCN to EIN via XWALK_HOSPITAL_CCN_EIN	1	HARM MONEY PEOPLE CROSS HOP	does it land: share of FED_CMS_OPEN_PAYMENTS CCN values that reach a EIN through the crosswalk, and on to FED_OSHA_ITA_CASE_DETAIL_2023 :: flow diagram | gap: TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS in FED_CMS_OPEN_PAYMENTS for matched vs unmatched :: paired bars | gap: ANNUAL_AVERAGE_EMPLOYEES in FED_OSHA_ITA_CASE_DETAIL_2023 for matched vs unmatched :: paired bars	flow_diagram paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	1,251 CCNs (2024), 638 hit XWALK, 303 reach OSHA23 (24%); years off by one. CCN only on 0.2% of OP rows (teaching hospitals). Names 20/20 at org level, ZIP 12/20: EIN is the health system, so Kaiser = 26 OSHA sites. Payment and headcount gaps = bigger systems		sweep-c	2026-09-24
H:HEALTH__FED_CMS_OPEN_PAYMENTS_2022~LABOR__FED_OSHA_ITA_CASE_DETAIL_2024	probed	11.9	HEALTH__FED_CMS_OPEN_PAYMENTS_2022	CCN	LABOR__FED_OSHA_ITA_CASE_DETAIL_2024	EIN	HEALTH	LABOR	13306564	688649	CCN to EIN via XWALK_HOSPITAL_CCN_EIN	1	HARM MONEY PEOPLE CROSS HOP	does it land: share of FED_CMS_OPEN_PAYMENTS_2022 CCN values that reach a EIN through the crosswalk, and on to FED_OSHA_ITA_CASE_DETAIL_2024 :: flow diagram | gap: TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS in FED_CMS_OPEN_PAYMENTS_2022 for matched vs unmatched :: paired bars | gap: ANNUAL_AVERAGE_EMPLOYEES in FED_OSHA_ITA_CASE_DETAIL_2024 for matched vs unmatched :: paired bars	flow_diagram paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	314 of 1,217 teaching-hospital CCNs reach OSHA CD2024 (26%); years 2 apart; matched $ swings on Penn's $726M alone; EIN is system-wide, so it matches the company not the building (company name 19/20)		sweep2-c	2026-09-24
H:HEALTH__FED_CMS_OPEN_PAYMENTS_2023~LABOR__FED_OSHA_ITA_CASE_DETAIL_2024	probed	11.9	HEALTH__FED_CMS_OPEN_PAYMENTS_2023	CCN	LABOR__FED_OSHA_ITA_CASE_DETAIL_2024	EIN	HEALTH	LABOR	14700786	688649	CCN to EIN via XWALK_HOSPITAL_CCN_EIN	1	HARM MONEY PEOPLE CROSS HOP	does it land: share of FED_CMS_OPEN_PAYMENTS_2023 CCN values that reach a EIN through the crosswalk, and on to FED_OSHA_ITA_CASE_DETAIL_2024 :: flow diagram | gap: TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS in FED_CMS_OPEN_PAYMENTS_2023 for matched vs unmatched :: paired bars | gap: ANNUAL_AVERAGE_EMPLOYEES in FED_OSHA_ITA_CASE_DETAIL_2024 for matched vs unmatched :: paired bars	flow_diagram paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	318 of 1,207 CCNs reach CD2024 (26%); median $ matched 20.9K vs 23.6K crosswalk-not-OSHA: no gap; EIN is system-wide, so it matches the company not the building (company name 19/20)		sweep2-c	2026-09-24
H:HEALTH__FED_CMS_OPEN_PAYMENTS~LABOR__FED_OSHA_ITA_CASE_DETAIL_2024	probed	11.9	HEALTH__FED_CMS_OPEN_PAYMENTS	CCN	LABOR__FED_OSHA_ITA_CASE_DETAIL_2024	EIN	HEALTH	LABOR	15385047	688649	CCN to EIN via XWALK_HOSPITAL_CCN_EIN	1	HARM MONEY PEOPLE CROSS HOP	does it land: share of FED_CMS_OPEN_PAYMENTS CCN values that reach a EIN through the crosswalk, and on to FED_OSHA_ITA_CASE_DETAIL_2024 :: flow diagram | gap: TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS in FED_CMS_OPEN_PAYMENTS for matched vs unmatched :: paired bars | gap: ANNUAL_AVERAGE_EMPLOYEES in FED_OSHA_ITA_CASE_DETAIL_2024 for matched vs unmatched :: paired bars	flow_diagram paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	326 of 1,251 2024 CCNs reach CD2024 (26%), years line up; matched hospitals median 2,177 employees vs 157 all OSHA: size, not signal; EIN is system-wide, so it matches the company not the building (company name 19/20)		sweep2-c	2026-09-24
