id	status	score	key	key_is	a	b	a_schema	b_schema	a_col	b_col	a_rows	b_rows	tags	look_for	charts	traps	found	finding_ids	by	date
P:EIN:FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS~LABOR__FED_OSHA_ITA_CASE_DETAIL_2023	dead	13.0	EIN	nonprofit or company tax ID	FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS	LABOR__FED_OSHA_ITA_CASE_DETAIL_2023	FINANCE	LABOR	EIN	EIN	9701952	890934	HARM MONEY PEOPLE CROSS	land rate: how many EIN values, each a nonprofit or company tax ID, sit on both sides; check a name or state agrees :: overlap bar | gap: CONTRIBUTION_AMOUNT in FED_IRS527_SCHEDULE_A_CONTRIBUTIONS for matched vs unmatched :: paired bars | gap: ANNUAL_AVERAGE_EMPLOYEES in FED_OSHA_ITA_CASE_DETAIL_2023 for matched vs unmatched :: paired bars	overlap_bar paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	0 shared EINs after 9-digit padding. The 527 EIN is the political group's own (3,299 groups: RGA, DGA, ActBlue, union PAC funds), not the donor's employer; political groups don't file OSHA injury logs. Donor employer is free text, no EIN.		sweep-b	2026-09-24
P:EIN:FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS~LABOR__FED_OSHA_ITA_CASE_DETAIL_2024	dead	12.9	EIN	nonprofit or company tax ID	FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS	LABOR__FED_OSHA_ITA_CASE_DETAIL_2024	FINANCE	LABOR	EIN	EIN	9701952	688649	HARM MONEY PEOPLE CROSS	land rate: how many EIN values, each a nonprofit or company tax ID, sit on both sides; check a name or state agrees :: overlap bar | gap: CONTRIBUTION_AMOUNT in FED_IRS527_SCHEDULE_A_CONTRIBUTIONS for matched vs unmatched :: paired bars | gap: ANNUAL_AVERAGE_EMPLOYEES in FED_OSHA_ITA_CASE_DETAIL_2024 for matched vs unmatched :: paired bars	overlap_bar paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	0 shared EINs after 9-digit padding. The 527 EIN is the political group's own (3,299 groups: RGA, DGA, ActBlue, union PAC funds), not the donor's employer; political groups don't file OSHA injury logs. Donor employer is free text, no EIN.		sweep-b	2026-09-24
P:EIN:HEALTH__HOSPITAL_OFFICER_PAY~LABOR__FED_OSHA_ITA_CASE_DETAIL_2023	probed	12.9	EIN	nonprofit or company tax ID	HEALTH__HOSPITAL_OFFICER_PAY	LABOR__FED_OSHA_ITA_CASE_DETAIL_2023	HEALTH	LABOR	EIN	EIN	526374	890934	HARM MONEY PEOPLE CROSS	land rate: how many EIN values, each a nonprofit or company tax ID, sit on both sides; check a name or state agrees :: overlap bar | gap: OTHER_COMPENSATION in HOSPITAL_OFFICER_PAY for matched vs unmatched :: paired bars | gap: ANNUAL_AVERAGE_EMPLOYEES in FED_OSHA_ITA_CASE_DETAIL_2023 for matched vs unmatched :: paired bars	overlap_bar paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	949 hospital EINs, 87,547 injury cases; state agrees 90%, name 55%. 1 death case. Join usable for case-level (what hurt workers) by hospital; no gap tested past land rate.		sweep-b	2026-09-24
P:EIN:HEALTH__HOSPITAL_OFFICER_PAY~LABOR__FED_OSHA_ITA_CASE_DETAIL_2024	probed	12.9	EIN	nonprofit or company tax ID	HEALTH__HOSPITAL_OFFICER_PAY	LABOR__FED_OSHA_ITA_CASE_DETAIL_2024	HEALTH	LABOR	EIN	EIN	526374	688649	HARM MONEY PEOPLE CROSS	land rate: how many EIN values, each a nonprofit or company tax ID, sit on both sides; check a name or state agrees :: overlap bar | gap: OTHER_COMPENSATION in HOSPITAL_OFFICER_PAY for matched vs unmatched :: paired bars | gap: ANNUAL_AVERAGE_EMPLOYEES in FED_OSHA_ITA_CASE_DETAIL_2024 for matched vs unmatched :: paired bars	overlap_bar paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	934 hospital EINs, 70,817 cases; state agrees 91%. DATE_OF_DEATH is empty in all of 2024 (201 deaths only show as INCIDENT_OUTCOME=1). Join usable; no gap tested.		sweep-b	2026-09-24
P:EIN:JUSTICE__FED_COURTLISTENER_SCHOOLS~REVOKED_BUT_DEDUCTIBLE	skip	12.9	EIN	nonprofit or company tax ID	JUSTICE__FED_COURTLISTENER_SCHOOLS	REVOKED_BUT_DEDUCTIBLE	JUSTICE	FINDINGS	EIN	EIN	6011	22512	DERIVED HARM MONEY OFFICIALS CROSS	land rate: how many EIN values, each a nonprofit or company tax ID, sit on both sides; check a name or state agrees :: overlap bar | gap: REVENUE_AMT in REVOKED_BUT_DEDUCTIBLE for matched vs unmatched :: paired bars	overlap_bar paired_bars	ein-and-cik-width-mismatch	auto-skip at build: built on a prior hunt's output table in FINDINGS; shave its source tables instead		build	2026-09-24
P:EIN:FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS~LABOR__FED_OSHA_ITA_300A_SUMMARY_2023	dead	12.8	EIN	nonprofit or company tax ID	FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS	LABOR__FED_OSHA_ITA_300A_SUMMARY_2023	FINANCE	LABOR	EIN	EIN	9701952	394234	HARM MONEY PEOPLE CROSS	land rate: how many EIN values, each a nonprofit or company tax ID, sit on both sides; check a name or state agrees :: overlap bar | gap: CONTRIBUTION_AMOUNT in FED_IRS527_SCHEDULE_A_CONTRIBUTIONS for matched vs unmatched :: paired bars | gap: TOTAL_DEATHS in FED_OSHA_ITA_300A_SUMMARY_2023 for matched vs unmatched :: paired bars	overlap_bar paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	0 shared EINs after 9-digit padding. The 527 EIN is the political group's own (3,299 groups: RGA, DGA, ActBlue, union PAC funds), not the donor's employer; political groups don't file OSHA injury logs. Donor employer is free text, no EIN.		sweep-b	2026-09-24
P:EIN:FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS~LABOR__FED_OSHA_ITA_300A_SUMMARY_2024	dead	12.8	EIN	nonprofit or company tax ID	FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS	LABOR__FED_OSHA_ITA_300A_SUMMARY_2024	FINANCE	LABOR	EIN	EIN	9701952	398620	HARM MONEY PEOPLE CROSS	land rate: how many EIN values, each a nonprofit or company tax ID, sit on both sides; check a name or state agrees :: overlap bar | gap: CONTRIBUTION_AMOUNT in FED_IRS527_SCHEDULE_A_CONTRIBUTIONS for matched vs unmatched :: paired bars | gap: TOTAL_DEATHS in FED_OSHA_ITA_300A_SUMMARY_2024 for matched vs unmatched :: paired bars	overlap_bar paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	0 shared EINs after 9-digit padding. The 527 EIN is the political group's own (3,299 groups: RGA, DGA, ActBlue, union PAC funds), not the donor's employer; political groups don't file OSHA injury logs. Donor employer is free text, no EIN.		sweep-b	2026-09-24
P:EIN:FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS~LABOR__FED_OSHA_ITA_300A_SUMMARY_2025	dead	12.8	EIN	nonprofit or company tax ID	FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS	LABOR__FED_OSHA_ITA_300A_SUMMARY_2025	FINANCE	LABOR	EIN	EIN	9701952	383283	HARM MONEY PEOPLE CROSS	land rate: how many EIN values, each a nonprofit or company tax ID, sit on both sides; check a name or state agrees :: overlap bar | gap: CONTRIBUTION_AMOUNT in FED_IRS527_SCHEDULE_A_CONTRIBUTIONS for matched vs unmatched :: paired bars | gap: TOTAL_DEATHS in FED_OSHA_ITA_300A_SUMMARY_2025 for matched vs unmatched :: paired bars	overlap_bar paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	0 shared EINs after 9-digit padding. The 527 EIN is the political group's own (3,299 groups: RGA, DGA, ActBlue, union PAC funds), not the donor's employer; political groups don't file OSHA injury logs. Donor employer is free text, no EIN.		sweep-b	2026-09-24
P:EIN:FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS~LABOR__FED_OSHA_ITA_CASE_DETAIL_2025	dead	12.8	EIN	nonprofit or company tax ID	FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS	LABOR__FED_OSHA_ITA_CASE_DETAIL_2025	FINANCE	LABOR	EIN	EIN	9701952	330447	HARM MONEY PEOPLE CROSS	land rate: how many EIN values, each a nonprofit or company tax ID, sit on both sides; check a name or state agrees :: overlap bar | gap: CONTRIBUTION_AMOUNT in FED_IRS527_SCHEDULE_A_CONTRIBUTIONS for matched vs unmatched :: paired bars | gap: ANNUAL_AVERAGE_EMPLOYEES in FED_OSHA_ITA_CASE_DETAIL_2025 for matched vs unmatched :: paired bars	overlap_bar paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	0 shared EINs after 9-digit padding. The 527 EIN is the political group's own (3,299 groups: RGA, DGA, ActBlue, union PAC funds), not the donor's employer; political groups don't file OSHA injury logs. Donor employer is free text, no EIN.		sweep-b	2026-09-24
P:EIN:HEALTH__HOSPITAL_OFFICER_PAY~LABOR__FED_OSHA_ITA_300A_SUMMARY_2023	probed	12.8	EIN	nonprofit or company tax ID	HEALTH__HOSPITAL_OFFICER_PAY	LABOR__FED_OSHA_ITA_300A_SUMMARY_2023	HEALTH	LABOR	EIN	EIN	526374	394234	HARM MONEY PEOPLE CROSS	land rate: how many EIN values, each a nonprofit or company tax ID, sit on both sides; check a name or state agrees :: overlap bar | gap: OTHER_COMPENSATION in HOSPITAL_OFFICER_PAY for matched vs unmatched :: paired bars | gap: TOTAL_DEATHS in FED_OSHA_ITA_300A_SUMMARY_2023 for matched vs unmatched :: paired bars	overlap_bar paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	Join works: 1,249 of 3,918 hospital EINs (32%) in 300A 2023; state agrees 91%, name 57% (misses are system vs campus names, 20-row eyeball ~all real). Matched hospitals' top pay avg $3.1M vs $1.9M unmatched = size. Open: injury rate vs exec pay; top days-away rates (Barton 26.8/100 FTE) have DAFW > injuries, so illness counting.		sweep-b	2026-09-24
P:EIN:HEALTH__HOSPITAL_OFFICER_PAY~LABOR__FED_OSHA_ITA_300A_SUMMARY_2024	probed	12.8	EIN	nonprofit or company tax ID	HEALTH__HOSPITAL_OFFICER_PAY	LABOR__FED_OSHA_ITA_300A_SUMMARY_2024	HEALTH	LABOR	EIN	EIN	526374	398620	HARM MONEY PEOPLE CROSS	land rate: how many EIN values, each a nonprofit or company tax ID, sit on both sides; check a name or state agrees :: overlap bar | gap: OTHER_COMPENSATION in HOSPITAL_OFFICER_PAY for matched vs unmatched :: paired bars | gap: TOTAL_DEATHS in FED_OSHA_ITA_300A_SUMMARY_2024 for matched vs unmatched :: paired bars	overlap_bar paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	Join works: 1,230 hospital EINs in 300A 2024, state agrees 92%, name 59%. Same shape as 2023; 1 death on matched sites. Open: injury rate vs exec pay.		sweep-b	2026-09-24
P:EIN:HEALTH__HOSPITAL_OFFICER_PAY~LABOR__FED_OSHA_ITA_300A_SUMMARY_2025	probed	12.8	EIN	nonprofit or company tax ID	HEALTH__HOSPITAL_OFFICER_PAY	LABOR__FED_OSHA_ITA_300A_SUMMARY_2025	HEALTH	LABOR	EIN	EIN	526374	383283	HARM MONEY PEOPLE CROSS	land rate: how many EIN values, each a nonprofit or company tax ID, sit on both sides; check a name or state agrees :: overlap bar | gap: OTHER_COMPENSATION in HOSPITAL_OFFICER_PAY for matched vs unmatched :: paired bars | gap: TOTAL_DEATHS in FED_OSHA_ITA_300A_SUMMARY_2025 for matched vs unmatched :: paired bars	overlap_bar paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	Join works: 1,195 hospital EINs in 300A 2025, state agrees 91%, name 58%. Same shape as 2023. Open: injury rate vs exec pay.		sweep-b	2026-09-24
P:EIN:HEALTH__HOSPITAL_OFFICER_PAY~LABOR__FED_OSHA_ITA_CASE_DETAIL_2025	probed	12.8	EIN	nonprofit or company tax ID	HEALTH__HOSPITAL_OFFICER_PAY	LABOR__FED_OSHA_ITA_CASE_DETAIL_2025	HEALTH	LABOR	EIN	EIN	526374	330447	HARM MONEY PEOPLE CROSS	land rate: how many EIN values, each a nonprofit or company tax ID, sit on both sides; check a name or state agrees :: overlap bar | gap: OTHER_COMPENSATION in HOSPITAL_OFFICER_PAY for matched vs unmatched :: paired bars | gap: ANNUAL_AVERAGE_EMPLOYEES in FED_OSHA_ITA_CASE_DETAIL_2025 for matched vs unmatched :: paired bars	overlap_bar paired_bars	ein-and-cik-width-mismatch reach-is-not-a-usable-join	694 hospital EINs, 46,582 cases (2025 partial); state agrees 89%. Join usable; no gap tested.		sweep-b	2026-09-24
P:UEI:ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL~PROCUREMENT__FED_SAM_EXCLUSIONS	probed	12.6	UEI	federal contractor	ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	PROCUREMENT__FED_SAM_EXCLUSIONS	ECONOMICS	PROCUREMENT	RECIPIENT_UEI, RECIPIENT_PARENT_UEI	UEI	128155142	168328	HARM MONEY PEOPLE CROSS	land rate: how many UEI values, each a federal contractor, sit on both sides; check a name or state agrees :: overlap bar | gap: FEDERAL_ACTION_OBLIGATION in FED_USASPENDING_ASSISTANCE_FULL for matched vs unmatched :: paired bars | gap: share of FED_SAM_EXCLUSIONS rows with a EXCLUSION_TYPE, matched vs unmatched :: paired bars | after: does FED_USASPENDING_ASSISTANCE_FULL keep going after ACTIVATION_DATE in FED_SAM_EXCLUSIONS :: before-after line	before-after_line overlap_bar paired_bars	reach-is-not-a-usable-join	Only 77 of 38,427 excluded UEIs got grants or loans, 95% name agree. 15 paid in the ban window, gross +$4.6M: Overseas Shipholding $2.9M (EPA 2007), Amerihost $1.54M (EPA 2021), both facility-specific EPA listings. EcoHealth after its HHS debarment: clawbacks only. Table now 128M rows over full fiscal years, no longer capped.		sweep-b	2026-09-24
