id	status	score	schema	table	rows	level	geo_col	all_levels	metrics	a	b	tags	look_for	charts	traps	hunt_trap	found	finding_ids	by	date
G:ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	probed	15.7	ECONOMICS	ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	20000000	county	PRIME_AWARD_TRANSACTION_RECIPIENT_COUNTY_FIPS_CODE, PRIME_AWARD_TRANSACTION_PLACE_OF_PERFORMANCE_COUNTY_FIPS_CODE	county, ZIP code, state, state, country	FEDERAL_ACTION_OBLIGATION, TOTAL_DOLLARS_OBLIGATED, TOTAL_OUTLAYED_AMOUNT_FOR_OVERALL_AWARD, BASE_AND_EXERCISED_OPTIONS_VALUE, CURRENT_TOTAL_VALUE_OF_AWARD, BASE_AND_ALL_OPTIONS_VALUE +25			MONEY PEOPLE MAP DEMOGRAPHIC OUTCOME TEXT	rank every county by FEDERAL_ACTION_OBLIGATION per person, using CORE.DIM_COUNTY population :: choropleth map | correlate against every other county number; see the county panel rows :: scatter | which places moved most over ACTION_DATE :: slope chart | top and bottom tenth: name them, then name the boring reason :: decile staircase	choropleth_map decile_staircase scatter slope_chart	reach-is-not-a-usable-join	capped at 1M rows per FY, 43-120 days, mostly Jul-Sep; use _FULL_R2	Rolled to place-of-performance county: $2.48T of $2.80T lands on a DIM county. Top per person: Brewster TX $459k (border wall, Fisher Sand & Gravel), Los Alamos $385k, Spotsylvania $254k. Boring reason: defense and nuclear towns. Catch: table is exactly 1M rows per FY and each FY covers only 43-120 days, mostly Aug-Sep, so county totals are samples. Recipient county is 76% blank before FY2015.		sweep-d	2026-09-24
G:HOUSING__FED_CFPB_HMDA_HISTORIC	probed	14.8	HOUSING	HOUSING__FED_CFPB_HMDA_HISTORIC	44992667	state	STATE_ABBR	state	LOAN_AMOUNT_000S, APPLICANT_INCOME_000S, TRACT_TO_MSAMD_INCOME, RATE_SPREAD, POPULATION, MINORITY_POPULATION +6			MONEY HARM MAP DEMOGRAPHIC OUTCOME TEXT	rank every state by LOAN_AMOUNT_000S per person :: choropleth map | correlate against every other state number; see the county panel rows :: scatter | top and bottom tenth: name them, then name the boring reason :: decile staircase	choropleth_map decile_staircase scatter	hmda-historic-originations-only		Originated loan $ per resident per year, 2015-17: DC $13.5k, CO $12.0k, CA $11.0k at the top; PR $726, MS $2.4k, WV $2.5k at the bottom. Denial rate PR 36%, MS 29%, NM 29% vs CO 17%. Boring reason: house prices and income. 718k rows have no state.		sweep-d	2026-09-24
G:PROCUREMENT__FED_USASPENDING_BULK	skip	14.3	PROCUREMENT	PROCUREMENT__FED_USASPENDING_BULK	50000	county	PRIME_AWARD_TRANSACTION_RECIPIENT_COUNTY_FIPS_CODE, PRIME_AWARD_TRANSACTION_PLACE_OF_PERFORMANCE_COUNTY_FIPS_CODE	county, ZIP code, state, state, country	FEDERAL_ACTION_OBLIGATION, TOTAL_DOLLARS_OBLIGATED, TOTAL_OUTLAYED_AMOUNT_FOR_OVERALL_AWARD, BASE_AND_EXERCISED_OPTIONS_VALUE, CURRENT_TOTAL_VALUE_OF_AWARD, BASE_AND_ALL_OPTIONS_VALUE +13			MONEY PEOPLE MAP DEMOGRAPHIC OUTCOME TEXT	rank every county by FEDERAL_ACTION_OBLIGATION per person, using CORE.DIM_COUNTY population :: choropleth map | correlate against every other county number; see the county panel rows :: scatter | which places moved most over PERIOD_OF_PERFORMANCE_CURRENT_END_DATE :: slope chart | top and bottom tenth: name them, then name the boring reason :: decile staircase	choropleth_map decile_staircase scatter slope_chart	reach-is-not-a-usable-join		50,000-row sample covering 10 days (2026-05-26 to 06-04). Per-county totals would be meaningless; CONTRACTS_FULL covers the same columns.		sweep-d	2026-09-24
G:ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	probed	14.1	ECONOMICS	ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	128155142	county	PRIME_AWARD_TRANSACTION_RECIPIENT_COUNTY_FIPS_CODE, PRIME_AWARD_TRANSACTION_PLACE_OF_PERFORMANCE_COUNTY_FIPS_CODE	county, ZIP code, state, state, country	FEDERAL_ACTION_OBLIGATION, TOTAL_OBLIGATED_AMOUNT, TOTAL_OUTLAYED_AMOUNT_FOR_OVERALL_AWARD, INDIRECT_COST_FEDERAL_SHARE_AMOUNT, NON_FEDERAL_FUNDING_AMOUNT, TOTAL_NON_FEDERAL_FUNDING_AMOUNT +14			MONEY PEOPLE MAP OUTCOME TEXT	rank every county by FEDERAL_ACTION_OBLIGATION per person, using CORE.DIM_COUNTY population :: choropleth map | correlate against every other county number; see the county panel rows :: scatter | which places moved most over ACTION_DATE :: slope chart | top and bottom tenth: name them, then name the boring reason :: decile staircase	choropleth_map decile_staircase scatter slope_chart	reach-is-not-a-usable-join		Rolled to place-of-performance county: $45.3T of $61.3T lands; 24% has no county. Top per person: Cass ND $3.9M, Cumberland PA $3.6M, Richland SC $1.8M, all MULTIPLE RECIPIENTS rows booked where the Medicare contractors sit, plus state capitals. CT comes out lowest only because DIM_COUNTY uses 2022 planning regions. The table is no longer capped: every FY has all 365 days.		sweep-d	2026-09-24
G:HEALTH__FED_HRSA_NPDB	probed	14.1	HEALTH	HEALTH__FED_HRSA_NPDB	1911185	state	WORK_STATE, HOME_STATE, LICENSE_STATE	state	TOTAL_PAYMENT, PRIOR_EXCLUSION_REPORTS, AA_LENGTH, ACCRUED_REPORT_COUNT, PRIOR_MALPRACTICE_REPORTS, PRIOR_LICENSE_REPORTS +5			MONEY HARM MAP DEMOGRAPHIC OUTCOME TEXT	rank every state by TOTAL_PAYMENT per person :: choropleth map | correlate against every other state number; see the county panel rows :: scatter | top and bottom tenth: name them, then name the boring reason :: decile staircase	choropleth_map decile_staircase scatter	three-tables-not-what-they-look-like	TOTAL_PAYMENT is null on all 1.91M rows; dollars sit in PAYMENT_FLAG as '$' text	TOTAL_PAYMENT is null on all 1.91M rows; the dollars sit in PAYMENT_FLAG as '$' text. Malpractice paid per resident by work state: NY $963, DC $840, PA $816, NJ $677 vs AL $149, MN $159, TX $172. Boring reason: state damage caps and tort law.		sweep-d	2026-09-24
G:HOUSING__FED_CFPB_HMDA	skip	13.2	HOUSING	HOUSING__FED_CFPB_HMDA	28301	state	STATE_CODE	state	LOAN_AMOUNT, TOTAL_LOAN_COSTS, PREPAYMENT_PENALTY_TERM, INTEREST_ONLY_PAYMENT, BALLOON_PAYMENT, INCOME +9			MONEY HARM MAP DEMOGRAPHIC OUTCOME TEXT	rank every state by LOAN_AMOUNT per person :: choropleth map | correlate against every other state number; see the county panel rows :: scatter | top and bottom tenth: name them, then name the boring reason :: decile staircase	choropleth_map decile_staircase scatter			One state: DC only, 2022, 28,301 rows. A state ranking needs more than one state.		sweep-d	2026-09-24
G:HOUSING__FED_CFPB_HMDA_DC_ONLY	skip	13.2	HOUSING	HOUSING__FED_CFPB_HMDA_DC_ONLY	28301	state	STATE_CODE	state	LOAN_AMOUNT, TOTAL_LOAN_COSTS, PREPAYMENT_PENALTY_TERM, INTEREST_ONLY_PAYMENT, BALLOON_PAYMENT, INCOME +9			MONEY HARM MAP DEMOGRAPHIC OUTCOME TEXT	rank every state by LOAN_AMOUNT per person :: choropleth map | correlate against every other state number; see the county panel rows :: scatter | top and bottom tenth: name them, then name the boring reason :: decile staircase	choropleth_map decile_staircase scatter		a row-for-row copy of HOUSING__FED_CFPB_HMDA	One state: DC only, 2022, 28,301 rows; row-for-row the same size as FED_CFPB_HMDA.		sweep-d	2026-09-24
G:IMMIGRATION__FED_ICE_DETENTION_STINTS	finding	13.2	IMMIGRATION	IMMIGRATION__FED_ICE_DETENTION_STINTS	2571975	state	STATE	state, country	INITIAL_BOND_SET_AMOUNT, BOND_POSTED_AMOUNT, INITIAL_BOND_SET_AMOUNT_LOWEST_SEEN, BOND_POSTED_AMOUNT_LOWEST_SEEN, MSC_SENTENCE_DAYS, MSC_SENTENCE_MONTHS +2			MONEY HARM MAP DEMOGRAPHIC OUTCOME	rank every state by INITIAL_BOND_SET_AMOUNT per person :: choropleth map | correlate against every other state number; see the county panel rows :: scatter | which places moved most over STAY_BOOK_IN_AT :: slope chart | top and bottom tenth: name them, then name the boring reason :: decile staircase	choropleth_map decile_staircase scatter slope_chart			2023-25 detention stays: the share with any bond recorded is NM 3.7%, LA 4.1%, TX 5.0% vs PA 29.6%, VA 28.1%, CO 17.4% (a 7x gap). LA has 7,562 stints per 100k residents. Boring reasons: border arrivals can't get bond, and the bond field may only fill when bond is posted (posted/set is about 93%). // F-025 B: ICE detainees arrested 2+ years after entry got bond 7% of the time in Louisiana and 12% in Texas, vs 29% in Pennsylvania, 2023-25	F-025	claude	2026-09-24
G:HOUSING__FED_CFPB_HMDA_LAR	skip	13.1	HOUSING	HOUSING__FED_CFPB_HMDA_LAR	17474	state	STATE_CODE	state	LOAN_AMOUNT, TOTAL_LOAN_COSTS, TOTAL_POINTS_AND_FEES, ORIGINATION_CHARGES, LOAN_TERM_MONTHS, PREPAYMENT_PENALTY_TERM +20			MONEY HARM MAP DEMOGRAPHIC OUTCOME TEXT	rank every state by LOAN_AMOUNT per person :: choropleth map | correlate against every other state number; see the county panel rows :: scatter | top and bottom tenth: name them, then name the boring reason :: decile staircase	choropleth_map decile_staircase scatter			One state: DC 2023 sample, 17,474 rows.		sweep-d	2026-09-24
G:OPIOID_PRESCRIBER_PAID_HIGH_RX	skip	12.9	FINDINGS	OPIOID_PRESCRIBER_PAID_HIGH_RX	6020	county	COUNTY_FIPS_2015	county, ZIP code, state	OPIOID_PAY_USD, OPIOID_RATE, OPIOID_CLAIMS, TOTAL_CLAIMS, RATE_PCTILE_IN_SPECIALTY, OPIOID_PAY_COUNT +2			MONEY HARM PEOPLE MAP DERIVED	rank every county by OPIOID_PAY_USD per person, using CORE.DIM_COUNTY population :: choropleth map | correlate against every other county number; see the county panel rows :: scatter | top and bottom tenth: name them, then name the boring reason :: decile staircase	choropleth_map decile_staircase scatter	reach-is-not-a-usable-join		auto-skip at build: built on a prior hunt's output table in FINDINGS; shave its source tables instead		build	2026-09-24
