SPONSOR_NAME,PLAN_NAME,STATE,PARTICIPANTS,TERM_DATE,TRUSTEE_DATE,CIK,ISSUER_NAME,OWNER_NAMES,TITLES,OWNER_COUNT,LEG,TRANSACTION_CODE,TRANSACTION_DATE,SHARES,PRICE_PER_SHARE,TRANSACTION_VALUE,DAYS_BEFORE_TERMINATION
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,GOINGS E V,Chairman and CEO,1,common,S,2016-07-22,150000.0,62.5,9375000.0,2992
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,GOINGS E V,Chairman and CEO,1,common,S,2017-05-09,54456.0,72.67,3957317.52,2701
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,GOINGS E V,Chairman and CEO,1,common,S,2017-11-01,44600.0,59.26,2642996.0,2525
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,Fernandez Calero Miguel Angel,Chief Executive Officer,1,common,F,2021-04-06,55816.0,26.4,1473542.4,1273
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,ROEHLK THOMAS M,EVP & Chief Legal Officer,1,common,S,2017-03-02,22078.0,61.5,1357797.0,2769
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,HEMUS SIMON C,Vice Chairman,1,common,F,2017-12-29,20975.0,62.7,1315132.5,2467
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,OLeary Christopher D,,1,common,F,2020-11-12,43280.0,29.96,1296668.8,1418
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,Fernandez Calero Miguel Angel,Chief Executive Officer,1,common,F,2022-04-06,55364.0,18.88,1045272.32,908
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,ROEHLK THOMAS M,EVP & Chief Legal Officer,1,common,S,2017-06-02,10684.0,72.75,777261.0,2677
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,GOINGS E V,Chairman and CEO,1,common,M,2017-11-01,44600.0,17.36,774256.0,2525
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,ROEHLK THOMAS M,EVP & Chief Legal Officer,1,common,M,2017-03-02,22078.0,33.77,745574.06,2769
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,PARKER DAVID R,,1,common,S,2017-02-03,12230.0,60.12,735267.6,2796
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,GARCIA LILLIAN D,Exec. Vice President,1,common,S,2017-02-10,11050.0,61.0,674050.0,2789
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,MARTINEZ ANGEL R,,1,common,S,2016-07-25,10000.0,62.23,622300.0,2989
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,HEMUS SIMON C,Vice Chairman,1,common,S,2018-04-17,14000.0,43.19,604660.0,2358
RITE AID CORPORATION,THE RITE AID PENSION PLAN,PA,6106.0000,2025-07-31,2025-08-04,84129,RITE AID CORP,Donigan Heyward R,President and CEO,1,common,F,2020-08-12,39034.0,14.81,578093.54,1814
RITE AID CORPORATION,THE RITE AID PENSION PLAN,PA,6106.0000,2025-07-31,2025-08-04,84129,RITE AID CORP,Donigan Heyward R,President and CEO,1,common,F,2021-08-12,37370.0,15.34,573255.8,1449
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,GARCIA LILLIAN D,Exec. Vice President,1,common,S,2017-02-03,9550.0,60.0,573000.0,2796
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,GOINGS E V,Chairman and CEO,1,common,F,2018-02-21,11082.0,50.51,559751.82,2413
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,GARCIA LILLIAN D,Exec. Vice President,1,common,M,2017-02-10,11050.0,47.31,522775.5,2789
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,GARCIA LILLIAN D,Exec. Vice President,1,common,M,2017-02-03,9550.0,48.3,461265.0,2796
RITE AID CORPORATION,THE RITE AID PENSION PLAN,PA,6106.0000,2025-07-31,2025-08-04,84129,RITE AID CORP,Konrad Jocelyn Z,Executive VP,1,common,S,2021-07-29,28384.0,15.42,437681.27999999997,1463
RITE AID CORPORATION,THE RITE AID PENSION PLAN,PA,6106.0000,2025-07-31,2025-08-04,84129,RITE AID CORP,Donigan Heyward R,President and CEO,1,common,F,2022-08-12,37370.0,11.05,412938.5,1084
RITE AID CORPORATION,THE RITE AID PENSION PLAN,PA,6106.0000,2025-07-31,2025-08-04,84129,RITE AID CORP,STANDLEY JOHN T,Chairman/CEO,1,common,F,2018-07-17,194525.0,1.67,324856.75,2571
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,GOINGS E V,Executive Chairman,1,common,F,2019-02-20,10414.0,30.9,321792.6,2049
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,DANDO ALLAN,Group President,1,common,S,2017-04-27,4300.0,72.51,311793.0,2713
RITE AID CORPORATION,THE RITE AID PENSION PLAN,PA,6106.0000,2025-07-31,2025-08-04,84129,RITE AID CORP,Donigan Heyward R,President and CEO,1,common,F,2021-07-08,19720.0,14.67,289292.4,1484
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,STITZEL PATRICIA A,President & COO,1,common,S,2017-04-27,3500.0,72.48,253680.0,2713
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,ROEHLK THOMAS M,EVP & Chief Legal Officer,1,common,M,2017-06-02,12250.0,17.54,214865.0,2677
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,GOINGS E V,Chairman and CEO,1,common,F,2017-02-28,3552.0,60.39,214505.28,2771
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,HAJEK JOSEF,"SVP, Tax & Gov't Relations",1,common,S,2017-06-09,2900.0,71.59,207611.0,2670
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,OTERO MADELINE,"SVP, Chief Accounting Officer",1,common,S,2022-03-04,10500.0,19.22,201810.0,941
RITE AID CORPORATION,THE RITE AID PENSION PLAN,PA,6106.0000,2025-07-31,2025-08-04,84129,RITE AID CORP,Donigan Heyward R,President and CEO,1,common,F,2022-07-07,27026.0,7.42,200532.91999999998,1120
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,DANDO ALLAN,Group President,1,common,M,2017-04-27,2667.0,61.03,162767.01,2713
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,HAJEK JOSEF,"SVP, Tax & Gov't Relations",1,common,M,2017-06-09,2950.0,54.92,162014.0,2670
RITE AID CORPORATION,THE RITE AID PENSION PLAN,PA,6106.0000,2025-07-31,2025-08-04,84129,RITE AID CORP,STANDLEY JOHN T,Chairman/CEO,1,common,M,2018-10-02,168800.0,0.89,150232.0,2494
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,HEMUS SIMON C,Vice Chairman,1,common,F,2018-02-21,2929.0,50.51,147943.79,2413
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,ROEHLK THOMAS M,EVP & Chief Legal Officer,1,common,S,2017-06-01,2000.0,71.94,143880.0,2678
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,ROEHLK THOMAS M,EVP & Chief Legal Officer,1,common,S,2017-05-01,2000.0,71.5,143000.0,2709
RITE AID CORPORATION,THE RITE AID PENSION PLAN,PA,6106.0000,2025-07-31,2025-08-04,84129,RITE AID CORP,Donigan Heyward R,President and CEO,1,common,F,2022-07-08,19719.0,7.07,139413.33000000002,1119
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,GARCIA LILLIAN D,Exec. Vice President,1,common,S,2017-04-27,1900.0,72.38,137522.0,2713
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,HARRIS CASSANDRA,CFO & COO,1,common,F,2021-02-18,4215.0,31.55,132983.25,1320
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,ROEHLK THOMAS M,"EVP, Chief Legal Officer & Sec",1,common,S,2016-10-03,2000.0,65.84,131680.0,2919
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,ROEHLK THOMAS M,"EVP, Chief Legal Officer & Sec",1,common,S,2016-09-01,2000.0,64.94,129880.0,2951
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,DANDO ALLAN,Group President,1,common,M,2017-04-27,1980.0,63.98,126680.4,2713
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,ROEHLK THOMAS M,EVP & Chief Legal Officer,1,common,S,2017-04-03,2000.0,62.58,125160.0,2737
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,ROEHLK THOMAS M,"EVP, Chief Legal Officer & Sec",1,common,S,2016-08-01,2000.0,62.5,125000.0,2982
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,ROEHLK THOMAS M,EVP & Chief Legal Officer,1,common,S,2018-01-02,2000.0,62.43,124860.0,2463
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,ROEHLK THOMAS M,EVP & Chief Legal Officer,1,common,S,2017-10-02,2000.0,61.56,123120.0,2555
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,ROEHLK THOMAS M,EVP & Chief Legal Officer,1,common,S,2017-03-01,2000.0,61.12,122240.0,2770
RITE AID CORPORATION,THE RITE AID PENSION PLAN,PA,6106.0000,2025-07-31,2025-08-04,84129,RITE AID CORP,Konrad Jocelyn Z,Executive VP,1,common,F,2020-07-17,7666.0,15.8,121122.8,1840
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,ROEHLK THOMAS M,EVP & Chief Legal Officer,1,common,S,2017-08-01,2000.0,60.49,120980.0,2617
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,ROEHLK THOMAS M,EVP & Chief Legal Officer,1,common,S,2017-11-01,2000.0,59.39,118780.0,2525
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,POTESHMAN MICHAEL S,Executive Vice President & CFO,1,common,S,2017-05-05,1634.0,72.65,118710.1,2705
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,ROEHLK THOMAS M,EVP & Chief Legal Officer,1,common,S,2017-03-01,1922.0,61.5,118203.0,2770
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,ROEHLK THOMAS M,EVP & Chief Legal Officer,1,common,S,2017-09-01,2000.0,58.54,117080.0,2586
RITE AID CORPORATION,THE RITE AID PENSION PLAN,PA,6106.0000,2025-07-31,2025-08-04,84129,RITE AID CORP,Robson Dan,"President, EnvisionRXOptions",1,common,F,2020-12-16,6744.0,17.11,115389.84,1688
RITE AID CORPORATION,THE RITE AID PENSION PLAN,PA,6106.0000,2025-07-31,2025-08-04,84129,RITE AID CORP,STANDLEY JOHN T,Chairman/CEO,1,common,F,2018-06-22,56418.0,2.02,113964.36,2596
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,ROEHLK THOMAS M,"EVP, Chief Legal Officer & Sec",1,common,S,2016-12-01,2000.0,55.1,110200.0,2860
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,ROEHLK THOMAS M,"EVP, Chief Legal Officer & Sec",1,common,S,2017-01-04,2000.0,55.0,110000.0,2826
RITE AID CORPORATION,THE RITE AID PENSION PLAN,PA,6106.0000,2025-07-31,2025-08-04,84129,RITE AID CORP,Crawford Kermit R,President and COO,1,common,F,2018-10-02,94082.0,1.15,108194.29999999999,2494
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,ROEHLK THOMAS M,EVP & Chief Legal Officer,1,common,S,2017-06-02,1466.0,72.76,106666.16,2677
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,HARRIS CASSANDRA,CFO & COO,1,common,F,2022-04-01,5382.0,19.47,104787.54,913
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,BERTINI CATHERINE ANN,,1,common,S,2017-03-08,1729.0,60.44,104500.76,2763
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,WRIGHT WILLIAM J,"EVP, Global Supply Chain",1,common,M,2016-11-28,2100.0,48.3,101430.0,2863
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,SHEEHAN KAREN M,"EVP, CLO & Secretary",1,common,F,2021-02-18,2895.0,31.55,91337.25,1320
RITE AID CORPORATION,THE RITE AID PENSION PLAN,PA,6106.0000,2025-07-31,2025-08-04,84129,RITE AID CORP,Konrad Jocelyn Z,Executive VP,1,common,D,2021-07-17,5801.0,14.58,84578.58,1475
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,Fernandez Calero Miguel Angel,Chief Executive Officer,1,common,F,2023-04-06,34540.0,2.42,83586.8,543
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,Poucher Nicholas K.,SVP & Controller,1,common,S,2017-05-09,1100.0,72.73,80003.0,2701
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,HEMUS SIMON C,Vice Chairman,1,common,F,2017-02-28,1306.0,60.39,78869.34,2771
RITE AID CORPORATION,THE RITE AID PENSION PLAN,PA,6106.0000,2025-07-31,2025-08-04,84129,RITE AID CORP,Peters James J,Chief Operating Officer,1,common,F,2021-07-08,5352.0,14.67,78513.84,1484
RITE AID CORPORATION,THE RITE AID PENSION PLAN,PA,6106.0000,2025-07-31,2025-08-04,84129,RITE AID CORP,Schroeder Matt,"EVP, Chief Financial Officer",1,common,F,2020-07-17,4938.0,15.8,78020.40000000001,1840
RITE AID CORPORATION,THE RITE AID PENSION PLAN,PA,6106.0000,2025-07-31,2025-08-04,84129,RITE AID CORP,STANDLEY JOHN T,Chief Executive Officer,1,common,F,2019-07-17,9727.0,7.79,75773.33,2206
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,HARRIS CASSANDRA,CFO & COO,1,common,F,2022-02-18,4311.0,17.31,74623.40999999999,955
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,POTESHMAN MICHAEL S,Executive Vice President & CFO,1,common,F,2018-02-21,1383.0,50.51,69855.33,2413
RITE AID CORPORATION,THE RITE AID PENSION PLAN,PA,6106.0000,2025-07-31,2025-08-04,84129,RITE AID CORP,Karst Darren W,Senior Executive VP,1,common,F,2018-07-17,41085.0,1.67,68611.95,2571
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,POTESHMAN MICHAEL S,Executive Vice President & CFO,1,common,S,2017-05-05,900.0,72.66,65394.0,2705
TUPPERWARE BRANDS CORPORATION,TUPPERWARE BRANDS CORPORATION BASE RETIREMENT PLAN,FL,584.0000,2024-09-30,2024-11-12,1008654,TUPPERWARE BRANDS CORP,ROEHLK THOMAS M,EVP & Chief Legal Officer,1,common,M,2017-03-01,1922.0,33.77,64905.94000000001,2770
RITE AID CORPORATION,THE RITE AID PENSION PLAN,PA,6106.0000,2025-07-31,2025-08-04,84129,RITE AID CORP,Schroeder Matt,"EVP, Chief Financial Officer",1,common,F,2022-07-07,8224.0,7.42,61022.08,1120
RITE AID CORPORATION,THE RITE AID PENSION PLAN,PA,6106.0000,2025-07-31,2025-08-04,84129,RITE AID CORP,Peters James J,Chief Operating Officer,1,common,F,2020-10-07,5858.0,10.31,60395.98,1758
RITE AID CORPORATION,THE RITE AID PENSION PLAN,PA,6106.0000,2025-07-31,2025-08-04,84129,RITE AID CORP,POTTER MYRTLE S,,1,common,S,2017-10-03,28189.0,2.09,58915.009999999995,2858
RITE AID CORPORATION,THE RITE AID PENSION PLAN,PA,6106.0000,2025-07-31,2025-08-04,84129,RITE AID CORP,Schroeder Matt,"EVP, Chief Financial Officer",1,common,F,2021-07-08,3961.0,14.67,58107.87,1484
