EIN,COMPANY,ESTABLISHMENT,CITY,STATE,NAICS,INDUSTRY,SIZE_BAND,EMPLOYEES,HOURS,DEATHS,DART_CASES,DAFW_DAYS,DART_RATE,TRIR,DAYS_PER_CASE,COHORT_N,COHORT_MEDIAN_DART,COHORT_POOLED_DART,FOLD_VS_POOLED,FOLD_VS_MEDIAN,Z_SCORE,PCT_RANK_IN_COHORT
133957095,The New York and Presbyterian Hospital NYP MORGAN STANLEY CHILDREN S HOSPIT,92030016 NYP MORGAN STANLEY CHILDREN S HOSPITAL,NEW YORK,NY,6221,,50-99,70,89261,0,38,1398,85.14,161.32,36.8,283,0.00,1.37,61.99,,15.73,1.0
943263409,Quality behavioral Outcomes LLC,Aurora Jane TBC CO,AURORA,CO,6211,ABA Therapy,20-49,20,29042,0,12,68,82.64,103.30,13.6,913,0.00,1.42,58.35,,17.15,1.0
201176170,"BluSky Restoration Contractors, LLC",BluSky Restoration Contractors Toledo,WATERVILLE,OH,2362,Commercial and Institutional Building Construction,20-49,36,74722,0,26,195,69.59,69.59,7.5,1852,0.00,1.29,54.02,,19.68,1.0
465146944,Renew it Group LLC,Renew it Group LLC,CHARLEVOIX,MI,2383,"Deck construction, residential-type",20-49,25,37480,0,18,16,96.05,96.05,1.0,1036,0.00,2.18,44.11,,19.2,1.0
262841711,Sunrun Inc,BRANCH - CT - Connecticut Central,ROCKY HILL,CT,2382,"Photovoltaic solar energy generation systems and battery energy storage products,primarily for residential customers",20-49,22,39274,0,18,38,91.66,106.94,7.6,3387,0.00,2.08,43.99,,22.8,1.0
956000776,city of san diego,SD Lifeguards Dispatch,SAN DIEGO,CA,5611,Business management services,250-999,406,466756,0,55,287,23.57,30.42,13.7,54,0.00,0.55,42.47,,7.02,1.0
042931951,J Polep Distribution Services,J Polep Wilmington,WLIMINGTON,MA,4244,General-line groceries merchant wholesalers,20-49,20,44628,0,31,0,138.93,138.93,,812,2.21,3.65,38.02,62.84,19.57,1.0
133487573,Smartsign,Smartsign,OXFORD,NC,2362,"Warehouse construction (e.g., commercial, industrial, manufacturing, private)",20-49,40,42000,0,10,0,47.62,47.62,,1852,0.00,1.29,36.96,,13.35,0.9978
943263409,Quality behavioral Outcomes LLC,Aurora CO,AURORA,CO,6211,ABA Therapy,20-49,24,35759,0,8,7,44.74,61.52,3.5,913,0.00,1.42,31.59,,9.13,0.9948
932285682,"Prishaan & Priyam Logistics, LLC","Prishaan & Priyam Logistics, LLC",GLASTONBURY,CT,5416,Customs consulting services,100-249,122,105139,0,15,943,28.53,28.53,62.9,50,0.00,0.91,31.44,,6.29,1.0
