domain,dataset_name,url,access_shape,size_class,row_count_note,id_names
Banking & Depository Institutions,FHFA Federal Home Loan Bank (FHLBank) Membership Data (quarterly),https://www.fhfa.gov/data/fhlb-membership,bulk-file,small,,Federal Home Loan Bank (FHLB) Member ID
Banking & Depository Institutions,"HMDA Legacy Panel/LAR data (2017 and prior), identified by Agency Code + Respondent ID; ARID2017-to-LEI reference table",https://ffiec.cfpb.gov/documentation/faq/identifiers-faq,bulk-file,medium,,HMDA Legacy Respondent ID (Agency Code + Respondent ID)
Banking & Depository Institutions,IRS FATCA Foreign Financial Institution (FFI) List Search and Download Tool,https://www.irs.gov/businesses/corporations/fatca-foreign-financial-institution-list-search-and-download-tool,bulk-file,large,,FATCA GIIN (Global Intermediary Identification Number)
Banking & Depository Institutions,"NCUA Credit Union and Corporate Call Report Data (quarterly, includes charter number)",https://ncua.gov/analysis/credit-union-corporate-call-report-data,bulk-file,small,,NCUA Charter Number
Banking & Depository Institutions,"OCC Financial Institution Lists (National Banks, Federal Savings Associations & Trust Banks, by charter number)",https://www.occ.treas.gov/topics/charters-and-licensing/financial-institution-lists/index-financial-institution-lists.html,bulk-file,small,,OCC Charter Number
Banking & Depository Institutions,SBA Paycheck Protection Program (PPP) FOIA loan-level data / SBA 7(a) & 504 FOIA loan data reports (data.sba.gov),https://data.sba.gov/dataset/ppp-foia,bulk-file,large,,SBA 7(a)/PPP Lender ID (SBA Lender Number)
Consumer Protection & Product Safety,AccessGUDID (FDA/NLM Global Unique Device Identification Database),https://accessgudid.nlm.nih.gov/,bulk-file,large,,Unique Device Identifier (UDI-DI) / GUDID
Consumer Protection & Product Safety,DailyMed SPL (Structured Product Labeling) Drug Label Repository,https://dailymed.nlm.nih.gov/dailymed/spl-resources-all-drug-labels.cfm,bulk-file,large,,FDA Structured Product Labeling Set ID
Consumer Protection & Product Safety,EPA TRI (Toxics Release Inventory) Basic Data Files,https://www.epa.gov/toxics-release-inventory-tri-program/tri-basic-data-files-calendar-years-1987-present,bulk-file,large,,EPA Toxics Release Inventory Facility ID
Consumer Protection & Product Safety,FDA CAERS (CFSAN Adverse Event Reporting System) via openFDA Food Event API,https://open.fda.gov/apis/food/event/,api-open,medium,data spanning 2004 onward.,FDA CAERS Report Number
Consumer Protection & Product Safety,FDA MAUDE (Manufacturer and User Facility Device Experience) via openFDA Device Event API,https://open.fda.gov/apis/device/event/,api-open,large,,FDA MAUDE Report / MDR Report Key
Consumer Protection & Product Safety,JPML Pending MDLs List,https://www.jpml.uscourts.gov/pending-mdls-0,bulk-file,small,,Judicial Panel on Multidistrict Litigation (JPML) MDL Number
Consumer Protection & Product Safety,NHTSA Recalls Database (api.nhtsa.gov Recalls API / NHTSA.gov Recall Search),https://api.nhtsa.gov/recalls/campaignNumber,api-open,large,,NHTSA Recall Campaign Number
Consumer Protection & Product Safety,OEHHA Proposition 65 List of Chemicals,https://oehha.ca.gov/proposition-65/proposition-65-list,bulk-file,small,,California Proposition 65 Listed Chemical
Consumer Protection & Product Safety,openFDA Device 510(k) Clearances API & PMA (Premarket Approval) API,https://open.fda.gov/apis/device/510k/,api-open,large,records from 1976 onward for both endpoints.,FDA 510(k) Premarket Notification Number & PMA (Premarket Approval) Number
Consumer Protection & Product Safety,"openFDA Enforcement Reports (sourced from FDA's Recall Enterprise System, RES) -- food, drug, and device enforcement endpoints",https://open.fda.gov/apis/food/enforcement/,api-open,large,records from 2004-present.,FDA Recall Event Number
Corporate Registration & Beneficial Ownership,Companies House Persons with Significant Control (PSC) Snapshot,https://download.companieshouse.gov.uk/en_pscdata.html,bulk-file,large,,UK Companies House PSC (Persons with Significant Control) Reference
Corporate Registration & Beneficial Ownership,"Consolidated Screening List (CSL) — includes BIS Entity List, Denied Persons List, Unverified List",https://www.trade.gov/consolidated-screening-list,bulk-file,medium,,BIS Entity List / Denied Persons List / Unverified List
Corporate Registration & Beneficial Ownership,"ICIJ Offshore Leaks Database (Offshore Leaks, Panama Papers, Bahamas Leaks, Paradise Papers, Pandora Papers)",https://offshoreleaks.icij.org/pages/database,bulk-file,large,"more than 810,000 offshore entities across 200+ countries/territories",ICIJ Offshore Leaks Database (Panama/Paradise/Pandora/Bahamas Papers) entity & beneficial-owner records
Corporate Registration & Beneficial Ownership,NCUA Chartering and Mergers data (Research a Credit Union charter-number spreadsheets),https://ncua.gov/analysis/chartering-mergers,bulk-file,small,,NCUA Federal Credit Union Charter Number
Corporate Registration & Beneficial Ownership,OCC Financial Institution Lists — National Banks by Name/State (charter number field),https://www.occ.treas.gov/topics/charters-and-licensing/financial-institution-lists/index-financial-institution-lists.html,bulk-file,small,,OCC National Bank Charter Number
Corporate Registration & Beneficial Ownership,OpenFIGI (Financial Instrument Global Identifier) mapping service,https://www.openfigi.com/api/documentation,api-open,large,,FIGI (Financial Instrument Global Identifier)
Corporate Registration & Beneficial Ownership,OpenSanctions Default dataset (entity ID scheme: NK-IDs / Q-IDs),https://www.opensanctions.org/docs/identifiers/,bulk-file,large,,OpenSanctions Entity ID
Corporate Registration & Beneficial Ownership,UN Security Council Consolidated Sanctions List,https://main.un.org/securitycouncil/content/un-sc-consolidated-list,bulk-file,medium,,UN Security Council Consolidated List Reference Number
Criminal Justice & Court Systems,Biographical Directory of Article III Federal Judges -- Export,https://www.fjc.gov/history/judges/biographical-directory-article-iii-federal-judges-export,bulk-file,small,,FJC Judge NID (Biographical Directory ID)
Criminal Justice & Court Systems,Federal Firearms Licensees listing (ATF),https://catalog.data.gov/dataset/federal-firearms-licensees,bulk-file,medium,,ATF Federal Firearms License (FFL) Number
Education,CIP - Classification of Instructional Programs (NCES),https://nces.ed.gov/ipeds/cipcode/,bulk-file,small,,CIP Code (Classification of Instructional Programs)
Education,"Federal Student Aid / College Scorecard institutional data (OPEID identifier, crosswalked to IPEDS UnitID)",https://collegescorecard.ed.gov/data/,bulk-file,medium,,OPEID (Office of Postsecondary Education ID)
"Energy, Utilities & Pipeline Safety",BOEM Offshore Lease & Serial Register Data (Lease Data online queries and ASCII downloads),https://www.data.boem.gov/,bulk-file,medium,,BOEM Offshore Lease Number
"Energy, Utilities & Pipeline Safety",EIA-860 Annual Electric Generator Report — Generator file,https://www.eia.gov/electricity/data/eia860/,bulk-file,medium,,EIA-860 Generator ID
"Energy, Utilities & Pipeline Safety",EIA-860 Annual Electric Generator Report — Plant file,https://www.eia.gov/electricity/data/eia860/,bulk-file,medium,,EIA Plant Code
"Energy, Utilities & Pipeline Safety",EIA-860 Annual Electric Generator Report — Utility file,https://www.eia.gov/electricity/data/eia860/,bulk-file,small,,EIA Utility ID
"Energy, Utilities & Pipeline Safety",EIA-861 Annual Electric Power Industry Report — Balancing Authority data,https://www.eia.gov/electricity/data/eia861/,bulk-file,small,,Balancing Authority ID
"Energy, Utilities & Pipeline Safety",FracFocus Chemical Disclosure Registry well data (keyed to the state-assigned API Well Number) plus underlying state oil & gas commission well records,https://fracfocus.org/data-download,bulk-file,large,,API Well Number
Environment & Natural Resources,EPA Air Quality System (AQS) / AirData Pre-Generated Data Files,https://aqs.epa.gov/aqsweb/airdata/download_files.html,bulk-file,medium,,EPA AQS Site ID (Air Quality System monitor)
Environment & Natural Resources,EPA Clean Air Markets Program Data (CAMPD) — facility & unit attributes (ORISPL Facility ID + Unit ID),https://campd.epa.gov/data/custom-data-download,bulk-file,small,,EPA CAMD/CAMPD ORISPL Facility ID + Unit ID
Environment & Natural Resources,EPA Greenhouse Gas Reporting Program (GHGRP) Data Sets,https://www.epa.gov/ghgreporting/data-sets,bulk-file,small,,EPA GHGRP Facility ID (Greenhouse Gas Reporting Program)
Environment & Natural Resources,EPA ICIS-Air (successor to AFS/AIRS) and ICIS-NPDES (successor to PCS) bulk downloads via ECHO,https://echo.epa.gov/tools/data-downloads,bulk-file,large,,Legacy EPA AIRS/AFS Facility ID and PCS (Permit Compliance System) ID
Environment & Natural Resources,EPA Superfund Enterprise Management System (SEMS) site data — successor to CERCLIS,https://www.epa.gov/superfund/superfund-data-and-reports,bulk-file,medium,,CERCLIS / SEMS Site ID (Superfund)
Environment & Natural Resources,EPA Toxics Release Inventory (TRI) Basic Data Files,https://www.epa.gov/toxics-release-inventory-tri-program/tri-basic-data-files-calendar-years-1987-present,bulk-file,medium,,TRI Facility ID
Environment & Natural Resources,FEMA NFIP Community Status Book dataset,https://www.fema.gov/openfema-data-page/nfip-community-status-book-v1,bulk-file,medium,,FEMA National Flood Insurance Program (NFIP) Community ID Number
Environment & Natural Resources,Integrated Taxonomic Information System (ITIS),https://www.itis.gov/,bulk-file,large,,ITIS TSN (Taxonomic Serial Number)
Environment & Natural Resources,National Inventory of Dams (NID),https://nid.sec.usace.army.mil/,bulk-file,medium,,National Inventory of Dams (NID) ID
Environment & Natural Resources,National List of Active EPA-Registered Foreign and Domestic Pesticide and/or Device-Producing Establishments,https://www.epa.gov/compliance/national-list-active-epa-registered-foreign-and-domestic-pesticide-andor-device,bulk-file,small,,EPA Pesticide Producing-Establishment Number
Environment & Natural Resources,National Response Center (NRC) spills and incident reports database,https://nrc.uscg.mil/,bulk-file,large,,National Response Center (NRC) Incident/Sequence Number
