table,key_a,col_a,key_b,col_b,rows,a_populated,b_populated,copopulated,copop_pct,distinct_pairs,max_fanout,sample,reject_reason
FED_CMS_NURSING_HOME,CCN,CMS_CERTIFICATION_NUMBER__CCN,NPI,NPI,14700,14449,0,0,0.0,0,0,,"0 rows carry both ids (CCN populated on 14,449, NPI on 0) -- schema pair, not a crosswalk"
FED_CMS_OPEN_PAYMENTS,CCN,CCN,NPI,NPI,15385047,34391,15336988,0,0.0,0,0,,"0 rows carry both ids (CCN populated on 34,391, NPI on 15,336,988) -- schema pair, not a crosswalk"
FED_CMS_OPEN_PAYMENTS_2022,CCN,CCN,NPI,NPI,13250000,38853,13198870,0,0.0,0,0,,"0 rows carry both ids (CCN populated on 38,853, NPI on 13,198,870) -- schema pair, not a crosswalk"
FED_CMS_OPEN_PAYMENTS_2023,CCN,CCN,NPI,NPI,14700786,31400,14656553,0,0.0,0,0,,"0 rows carry both ids (CCN populated on 31,400, NPI on 14,656,553) -- schema pair, not a crosswalk"
FED_SAM_EXCLUSIONS,NPI,NPI,UEI,UEI,9000,0,3208,0,0.0,0,0,,"0 rows carry both ids (NPI populated on 0, UEI on 3,208) -- schema pair, not a crosswalk"
FED_SEC_EDGAR,CIK,CIK,EIN,EIN,200,200,190,190,95.0,19,1,0001652044>611767919 | 0000320193>942404110 | 0000050863>941672743,only 19 distinct pair(s)
FED_US_SEC_EDGAR,CIK,CIK,EIN,EIN,48990,48990,48400,48400,98.8,24,1,0000789019>911144442 | 0001045810>943177549 | 0000320193>942404110,only 24 distinct pair(s)
XC_EPA_CORPORATE_CROSSWALK,CIK,PARENT_CIK,FRS_ID,EPA_REGISTRY_ID,5300149,8442,5300149,8442,0.16,8442,247,0000354707>110055387567 | 0001393311>110030918915 | 0000027904>110070563773,only 0.16% of rows carry both ids
XC_EPA_CORPORATE_CROSSWALK,CIK,PARENT_CIK,LEI,MATCHED_LEI,5300149,8442,73948,8442,0.16,978,29,0000916076>5299005MZ4WZECVATV08 | 0000100493>549300I1CLQX5OHBSZ21 | 0001067983>5493007M02M6CT9EXE41,only 0.16% of rows carry both ids
XC_EPA_CORPORATE_CROSSWALK,CIK,PARENT_CIK,UEI,PARENT_UEI,5300149,8442,37934,340,0.01,275,13,0001996862>DZ32SJGP82W9 | 0001443669>CU6KWKXT8NS1 | 0000072903>E7HNAKCPCV84,only 0.01% of rows carry both ids
XC_EPA_CORPORATE_CROSSWALK,FRS_ID,EPA_REGISTRY_ID,UEI,PARENT_UEI,5300149,5300149,37934,37934,0.72,37934,1,110072101836>QKSVDELK5638 | 110010706922>NJN3MXD1DJT7 | 110009741315>TFKWJH1PWUB5,only 0.72% of rows carry both ids
XC_EPA_CORPORATE_CROSSWALK,LEI,MATCHED_LEI,UEI,PARENT_UEI,5300149,73948,37934,3490,0.07,2945,22,549300XT768R6F7K5081>D4HLJYH8MCB8 | 5493005QBUXEFIDZ7616>LRA8P1HDBLN1 | 5493005NTOCU0CX6IL72>FR3PVZ8T9CS5,only 0.07% of rows carry both ids
