n,company,domain,table,col,rows,distinct,sample
0,Walmart,companies,CORPORATE_REGISTRY__FED_IRS_EO_BMF,SORT_NAME,4,4,2306456 EMPOWERING WALMART LEADERS | 7492878 WALMART BAY BLITZER | 1198003 WALMART ECOMMUNICATORS | 3599126 INVESTING IN WALMART LDRS
1,HCA Healthcare,money,FINANCE__FED_SEC_DERA_SUB_2025Q1,NAME,1,1,"HCA HEALTHCARE, INC."
2,Peabody Energy,money,FINANCE__FED_SEC_DERA_SUB_2024Q3,NAME,1,1,PEABODY ENERGY CORP
3,CVS Health,money,PROCUREMENT__INTL_EC_SERCOP,PARTIES_NAME,3,3,"FUERZA TERRESTRE |DESARROLLO, TECNOLOGÍA & SISTEMAS S.A. DESARTECSIS|CONSULTORIA VALOR Y SEGURIDAD INFORMATICA CVS S.A. | CONTRALORIA GENERAL DEL ESTADO|ALDEBERAN CIA. LTDA.|ASAP-BUSINESS S.A.|AKEA S.A.|DAMAJU S.A.|NESISCON S.A.|NOVIGOTEK CIA LTDA|CONSULTORIA VALOR Y SEGURIDAD INFORMATICA CVS S.A.|IST AMERICAS INTEGRACION DE SOLUCIONES TRIGIO C.L.|SIKKER CSC S.A.S. | HOSPITAL GENERAL MONTE SINAI|D"
4,Chevron,money,ECONOMICS__FED_USASPENDING_CONTRACTS,RECIPIENT_PARENT_NAME,262,7,"CHEVRON CORPORATION | CHEVRON BAHRAIN TRADING COMPANY W.L.L | AIRPORT CHEVRON AND TOWING, INC. | INVERSIONES CHEVRON, LIMITADA DE CAPITAL VARIABLE | CHEVRON U.S.A. INC | CHEVRON GUATEMALA INC."
5,CVS Health,health,HEALTH__FED_FDA_DRUG_ENFORCEMENT,MANUFACTURER_NAME_LIST,11,6,"AMERICAN SALES COMPANY, CVS PHARMACY, WAL-MART STORES INC, WALGREEN COMPANY | OHM LABORATORIES INC., CVS PHARMACY, INC | CVS PHARMACY, INC. | CVS PHARMACY | RITE AID CORPORATION, THE KROGER CO., HARRIS TEETER, CVS PHARMACY, INC. | UNITED NATURAL FOODS, INC. DBA UNFI, AMERISOURCE BERGEN, DOLGENCORP, LLC, HYVEE INC, CVS PHARMACY, TOPCO ASSOCIATES LLC"
6,Chevron,environment,ENVIRONMENT__FED_FRACFOCUS_DISCLOSURE_LIST,OPERATOR_NAME,4077,1,CHEVRON USA INC.
7,CVS Health,immigration,IMMIGRATION__FED_DOL_OFLC,EMPLOYER_ADDRESS1,507,1,ONE CVS DRIVE
8,Tyson Foods,money,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME_RAW,875,7,"TYSON FOODS | TYSON FRESH MEATS LOS ANGELES | TYSON FOODS, INC. TYSON | TYSON FOODS, INC. | TYSON FOODS INC. | TYSON FOODS TRADING INC"
9,Tyson Foods,transport,TRANSPORT__FED_FRA_EQUIPMENT_ACCIDENTS,MAINTENANCE_RAILROAD_NAME,19,2,"TYSON FEED MILL OF TYSON FOODS | TYSON FOODS, INC. (XTYF)"
10,Bank of America,companies,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_INTERMEDIARIES,NAME,1,1,BANK OF AMERICA TRUST AND BANKING CORPORATION (CAYMAN) LIMITED
11,UnitedHealth,money,FINANCE__FED_SEC_DERA_SUB_2025Q2,NAME,1,1,UNITEDHEALTH GROUP INC
12,Wells Fargo,health,HEALTH__FED_CMS_HOME_HEALTH_OWNERS,OWNER_NAME,152,3,"WELLS FARGO BANK | WELLS FARGO BANK, NATIONAL ASSOCIATION | WELLS FARGO BANK, N.A."
13,Boeing,money,FINANCE__FED_SEC_DERA_SUB_2024Q1,NAME,1,1,BOEING CO
14,UnitedHealth,money,ECONOMICS__FED_FAC_SINGLE_AUDIT,AUDITEE_NAME,1,1,UNITED HEALTH CENTERS FKA SOUTHSIDE UNITED HEALTHCARE
15,Eli Lilly,immigration,IMMIGRATION__FED_DOL_OFLC,SECONDARY_ENTITY_BUSINESS_NAME_1,282,12,INFOSYS & ELI LILLY AND COMPANY | ELI LILLY AND  COMPANY | ELI LILLY AND COMPANY GLOBAL HEADQUARTERS | ELI LILLY & CO. | ELI LILLY AND COMPANY CORPORATE CENTER | ELI LILLY
16,Walmart,health,HEALTH__FED_CMS_NPPES,PARENT_ORGANIZATION_LBN,944,21,"WAL-MART STORES. INC. | WAL-MART STORES, INC. | WAL-MART STORES, INC.L | WAL-MART PHARMACY | WAL-MART STORES EAST, LP | WALMART PHARMACY"
