n,grade,reason
0,CLEAN,mostly Land O'Lakes; one Florida place leak
1,CLEAN,company or subsidiary name in party column
2,CLEAN,company or subsidiary name in party column
3,CLEAN,company or subsidiary name in party column
4,WRONG,"Keystone, Mavis, JC: other tire shops share the phrase"
5,CLEAN,company or subsidiary name in party column
6,CLEAN,company or subsidiary name in party column
7,CLEAN,company or subsidiary name in party column
8,CLEAN,company or subsidiary name in party column
9,WRONG,"Compass Limited offshore shell, not Compass Group"
10,CLEAN,company or subsidiary name in party column
11,CLEAN,company or subsidiary name in party column
12,CLEAN,company or subsidiary name in party column
13,CLEAN,UTC and its PAC; one Penn United namesake
14,CLEAN,company or subsidiary name in party column
15,CLEAN,company or subsidiary name in party column
16,CLEAN,company or subsidiary name in party column
17,CLEAN,company or subsidiary name in party column
18,CLEAN,company or subsidiary name in party column
19,CLEAN,company or subsidiary name in party column
20,CLEAN,company or subsidiary name in party column
21,CLEAN,company or subsidiary name in party column
22,CLEAN,company or subsidiary name in party column
23,CLEAN,company or subsidiary name in party column
24,CLEAN,company or subsidiary name in party column
25,CLEAN,company or subsidiary name in party column
26,CLEAN,company or subsidiary name in party column
27,CLEAN,"public university, entity matches"
28,CLEAN,company or subsidiary name in party column
29,WRONG,"community health net clinic, not Health Net Inc"
30,CLEAN,company or subsidiary name in party column
31,CLEAN,company or subsidiary name in party column
32,CLEAN,company or subsidiary name in party column
33,CLEAN,city itself; CTA and school board ride along
34,CLEAN,company or subsidiary name in party column
35,CLEAN,company or subsidiary name in party column
36,WRONG,road name column; Cargill private crossing
37,CLEAN,company or subsidiary name in party column
38,CLEAN,company or subsidiary name in party column
39,RELATED,GE employee credit unions
40,CLEAN,company or subsidiary name in party column
41,CLEAN,company or subsidiary name in party column
42,UNCLEAR,Mr Cooper facility; mortgage firm or namesake unknown
43,CLEAN,company or subsidiary name in party column
44,WRONG,"local nursing homes named Providence, not Providence system"
45,CLEAN,company or subsidiary name in party column
46,CLEAN,company or subsidiary name in party column
47,CLEAN,company or subsidiary name in party column
48,CLEAN,company or subsidiary name in party column
49,CLEAN,Mayo units; one Marriott at Mayo leak
50,CLEAN,company or subsidiary name in party column
51,CLEAN,company or subsidiary name in party column
52,WRONG,"Casella and county solid waste districts, generic phrase"
53,CLEAN,company or subsidiary name in party column
54,CLEAN,company or subsidiary name in party column
55,WRONG,"Sierra Nevada Brewing, not Sierra Nevada Corp"
56,CLEAN,company or subsidiary name in party column
57,CLEAN,company or subsidiary name in party column
58,CLEAN,company or subsidiary name in party column
59,CLEAN,company or subsidiary name in party column
60,CLEAN,company or subsidiary name in party column
61,CLEAN,company or subsidiary name in party column
62,CLEAN,company or subsidiary name in party column
63,CLEAN,company or subsidiary name in party column
64,RELATED,UST Global Foundation
65,CLEAN,company or subsidiary name in party column
66,CLEAN,company or subsidiary name in party column
67,CLEAN,company or subsidiary name in party column
68,CLEAN,company or subsidiary name in party column
69,CLEAN,company or subsidiary name in party column
70,CLEAN,company or subsidiary name in party column
71,CLEAN,company or subsidiary name in party column
72,CLEAN,company or subsidiary name in party column
73,CLEAN,company or subsidiary name in party column
74,CLEAN,company or subsidiary name in party column
75,CLEAN,company or subsidiary name in party column
76,CLEAN,company or subsidiary name in party column
77,CLEAN,company or subsidiary name in party column
78,CLEAN,company or subsidiary name in party column
79,CLEAN,company or subsidiary name in party column
80,CLEAN,company or subsidiary name in party column
81,CLEAN,company or subsidiary name in party column
82,CLEAN,company or subsidiary name in party column
83,CLEAN,company or subsidiary name in party column
84,CLEAN,company or subsidiary name in party column
85,CLEAN,company or subsidiary name in party column
86,CLEAN,company or subsidiary name in party column
87,CLEAN,company or subsidiary name in party column
88,CLEAN,company or subsidiary name in party column
