company,lists,domain,schema,table,col,rows,distinct,sample
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_ENVIROFACTS,FACILITY_NAME,3,3,3M CO CHELMSFORD | 3M CO | 3M CO ELECTRICAL PRODUCTS DIV
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_FACILITY,PARENT_CO_NAME,78,2,3M CO | 3M CO INC
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_FACILITY,FACILITY_NAME,57,51,3M CO - CYNTHIANA | 3M CO - WAUSAU DOWNTOWN | 3M CO - NEW ULM | 3M CO HEBRON | 3M CO - GUIN | 3M CO - BROWNWOOD
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_FACILITY,STANDARDIZED_PARENT_COMPANY,54,1,3M CO
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_FACILITY,MAIL_NAME,52,47,3M CO - LITTLE ROCK | 3M CO SCIENTIFIC ANGLERS | 3M CO-PRAIRIE DU CHIEN BLDG 50 | 3M CO HEBRON | 3M CO DATA STORAGE PRODUCTS DIV | 3M CO - HARTFORD CITY
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_BASIC_2023,C_17_STANDARD_PARENT_CO_NAME,240,1,3M CO
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_BASIC_2023,C_15_PARENT_CO_NAME,240,1,3M CO
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_BASIC_2023,C_4_FACILITY_NAME,137,27,3M CO - GUIN | 3M CO - NEW ULM | 3M CO - LITTLE ROCK | 3M CO - TONAWANDA | 3M CO - KNOXVILLE | 3M CO -  WAUSAU - GREYSTONE
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__EPA_PENALTY_GAP,FACILITY_NAME,3,3,3M CO DEKALB DISTRIBUTION CENTER (DEKALB NORTH) | 3M CO - WAUSAU DOWNTOWN | 3M CO - GUIN
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_GHGRP_FACILITY,FACILITY_NAME,42,3,3M CO - GUIN | 3M CO - WAUSAU DOWNTOWN | 3M CO
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_GHGRP_FACILITY,PARENT_COMPANY,121,1,3M CO (100%)
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES,FACILITY_NAME,4,3,3M CO WAUSAU PLT | 3M CO - GREYSTONE | 3M CO
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,PWS_NAME,1,1,3M CO GREYSTONE PLANT
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_NPDES_ICIS_FACILITIES,FACILITY_NAME,2,2,3M CO DECATUR SPECIALTY CHEMIC | BORROW AREA 3M CO VOL CLEANUP
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_RCRA_FACILITIES,FACILITY_NAME,16,13,3M CO WAUSAU PLT | 3M CO PRAIRIE DU CHIEN BLDG 49 | 3M CO | 3M CO - GREYSTONE | 3M CO BOSTON BRANCH SALES CTR | 3M CO MEDICAL PRODUCTS DIV
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_ECHO,FACILITY_NAME,34,25,3M CO - SPRINGFIELD FACILITY | 3M CO - PITTSBORO | 3M CO PINE COUNTY-KERRICK | 3M CO ELECTRONIC PRODUCTS DIV | 3M CO SPRINGFIELD DYNACOLOR | 3M CO EAU CLAIRE
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FRS_FACILITIES,FAC_NAME,38,29,3M CO ST. PAUL INDUSTRIAL ABRASIVES | BORROW AREA 3M CO VOL CLEANUP | 3M CO SPRINGFIELD DYNACOLOR | 3M CO BOSTON BRANCH SALES CTR | 3M CO PRAIRIE DU CHIEN BS AND CP | 3M CO STATIC CONTROL SYSTEMS
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FRS_PROGRAM_LINKS,PRIMARY_NAME,123,74,3M CO - LITTLE ROCK | 3M CO DATA STORAGE PRODUCTS DIV | 3M CO GREYSTONE PLANT | 3M CO-ALEXANDRIA | 3M CO -  WAUSAU - GREYSTONE | 3M CO - TONAWANDA
3M,toxic_release,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FACILITIES,FACILITY_NAME,48,35,"3M CO, NEW BRIGHTON PLANT | 3M CO - GUIN | 3M CO STAPLES PLANT | 3M CO OPTICAL RECORDING DEPT | 3M CO - PSD PILOT PLANT | 3M CO - SPRINGFIELD FACILITY"
