company,ticker,ciks,eins,ueis
Pfizer,PFE,78003,135315170,DP7KL2MKRSB5 EXTSXD68CMK7 GGMVLJCDL569 H4LLV5LPHA37 HGNKDH1DLM86 J1C9WY9JYTJ6 J7MQXASJ2NF5 L1AADQAKJM53 LYXPMLF136U4 MHBQULRMEEJ5 N4A8X52DCND5 S2FWJSYBNUD4 SKBBXM18NQX9 T1X3QSYFTN81 V4XFAW56JGZ3 VBM4PLZ9VBC4 WKLTW76GDS46 X1AJH57XBFK3 ZEFHQN761XB1
Johnson & Johnson,JNJ,200406,221024240,C4N1VP5PJ993 CDACRW7YFNR7 CDVHC3LBW5X8 G8XGKTUWPM14 H7TKMH25XXJ4 J7CNQJE9KN13 JG5JF2JQJ121 KJKQHJEBJPN7 LU6KBGZ1A362 LW9YG72NA7T3 M3W4J3U6VQW8 M6NHUY4K26P4 QK8PNJB8N9M7 RF5VKMTKK4K4 RTA8MUAQW6N1 TLESKPJKSUL6 TVJCF48T79L9 VRE2EKNJTJJ4
Eli Lilly,LLY,59478,350470950,KG1GFEVXNGE3 UHHVNTY54K68
AbbVie,ABBV,1551152,320375147,CQDKHZ83XTH6 HC62HHL8JKY3 MAB9Y43Z1US6 U1FJNN5XQM15
Merck,MRK,310158,221918501,CKN1EA1PBRK3 DGEELN7LRBZ9 FCFDA78HKKG2 JGKZHRUNYH54 MFAYJ9CMFSA4 Q71YHFJ1EEP2 ZWPLPA442NJ6
Lockheed Martin,LMT,936468,521893632,CQWLW9XRQTH5 CWM4UN76ZQW8 FYHNA5WC8XD7 G4KDGE4JFFK7 G9CZJMSCRR28 H11HD5VHGHN3 H7PNSVNN5827 HJP4JZG1FUL9 JKVWEPKJRR65 KDT2YLB34NT6 KMEVRAKJVBD3 LTKKCY4XML96 LUJEPCRRT377 MJENSFHZJP11 MNZVFP9BH766 NMHFLDYJJ4C5 SJDEB3MKJEW5 UTJWTSLMFNG4 XFJMYSYFJEK4
Boeing,BA,12927,910425694,E466BXU4KJH8 HLWWEH2CCXW5 HM6DJZDU1591 JHFZTG8ZC9V2 JJM4FRDZJDX1 K3PKBHDAELM8 LAJJQWA1PF31 M25AW7P5S7K7 M6BRZ1FHEZQ1 M8JLMEHJADQ5 MF2LE5RK6L84 MY47WV32XFM1 N7N4W13PCRU5 NJVNVWQJMPA4 NU3MATKPALM4 QXMUHJ7XTF89 SML4NN2CT556 UEGFHX6R6KJ1 WZWRLY4G3PL8 XM8ZJ6ML9CW7
RTX Raytheon,RTX,101829,060570975,ENC9Y8JGL3E9 F24UGAM8N397 GJJCW7W8HCF5 GMBYU6KAN9J3 HEBCLD22EJD1 JLWLJXQ3M995 JVT2KW1LE2S3 K1H5GGQPBLV5 LD3EGJJJTTP6 LWF3QUSCDNG1 M1BVCGDKJ1L7 MZK8TCNF24G2 NBSLHP77ZJQ1 QF4VA87ST9F7 VTEWM5QSE598 WGB7GAKM7A68 X6H8KDBJJGD9 XSV6AZJ6SDJ7 Y5ZZFR2AQC63 YD6LTFVUZNG1
General Dynamics,GD,40533,131673581,D93YKLC3MK67 E7BEKJ4V9528 FNEJKBCACXL1 FREEMCLKFXE3 HAWKSQF848W7 HTY9WJRUKPK1 J1FCJLK5LGU5 JHY6AZA6H191 LFK5WLJ8KT48 LKMMNBMPUNH7 MWDRZJ2ZVPV7 NYM8TAUFLXP3 Q85KVUK3JBF5 Q9SBTF8ELUP4 SMNWM6HN79X5 UKN6CJ49WB54 Z2L7LVNEAPC3 ZSFKCCEB18G4
Northrop Grumman,NOC,1133421,800640649,D8QQPFNYJD63 DJUCEANK2KP4 E4X3BLZPPPX3 F19YS5JXPYH8 F9PAEKAAXGB6 FNBAMFZ3GD53 GRJJTMCRKJD1 GUVUU89P78Q3 H9M6J1PND9M3 JRVLDEXMYDK8 KSQMLDMZDZ64 LALWKM623MU7 N5F4BM883LB5 PDKLLA6Q11N4 PK8PM2GNVMP8 QCJNUT2JTAW9 VSBAFMDKTWL4 X1MRDHSQMJ58
