core,pattern,n_lists,lists,cik,raw_names
AMAZON COM,AMAZON\s+COM,3,injuries lobbying visas,1018724,"AMAZON.COM SERVICES LLC | AMAZON.COM SERVICES, INC. | Amazon.com Services LLC"
BOEING,BOEING,3,contracts injuries lobbying,12927,BOEING COMPANY | THE BOEING COMPANY | The Boeing Company
HONEYWELL INTERNATIONAL,HONEYWELL\s+INTERNATIONAL,3,contracts lobbying toxic_release,773840,HONEYWELL INTERNATIONAL | HONEYWELL INTERNATIONAL INC
JPMORGAN CHASE,JPMORGAN\s+CHASE,3,complaints pacs visas,19617,JPMORGAN CHASE & CO.
PFIZER,PFIZER,3,contracts doctor_payments lobbying,78003,PFIZER INC | PFIZER INC.
AMGEN,AMGEN,2,doctor_payments lobbying,318154,AMGEN INC | Amgen Inc.
BANK OF AMERICA,BANK\s+OF\s+AMERICA,2,pacs visas,,BANK OF AMERICA CORPORATION | BANK OF AMERICA N.A.
CITIBANK,CITIBANK,2,complaints visas,,"CITIBANK, N.A."
ELI LILLY,ELI\s+LILLY,2,doctor_payments lobbying,59478,ELI LILLY AND COMPANY | Eli Lilly and Company
EXXON MOBIL,EXXON\s+MOBIL,2,lobbying toxic_release,,EXXON MOBIL CORP
FEDEX,FEDEX,2,contracts lobbying,1048911,FEDEX CORP | FEDEX CORPORATION
FORD MOTOR,FORD\s+MOTOR,2,injuries lobbying,37996,FORD MOTOR COMPANY | Ford Motor Company
GENENTECH,GENENTECH,2,doctor_payments lobbying,,"GENENTECH INC | Genentech USA, Inc. | Genentech, Inc."
GENERAL DYNAMICS,GENERAL\s+DYNAMICS,2,contracts lobbying,40533,GENERAL DYNAMICS CORP
GENERAL MOTORS,GENERAL\s+MOTORS,2,lobbying toxic_release,1467858,GENERAL MOTORS COMPANY | GENERAL MOTORS CORP
GOLDMAN SACHS,GOLDMAN\s+SACHS,2,complaints visas,886982,GOLDMAN SACHS & CO. LLC | GOLDMAN SACHS BANK USA | GOLDMAN SACHS SERVICES LLC
LOCKHEED MARTIN,LOCKHEED\s+MARTIN,2,contracts lobbying,936468,LOCKHEED MARTIN CORP | LOCKHEED MARTIN CORPORATION
MICROSOFT,MICROSOFT,2,lobbying visas,789019,MICROSOFT CORPORATION
NORTHROP GRUMMAN,NORTHROP\s+GRUMMAN,2,contracts lobbying,,NORTHROP GRUMMAN CORPORATION
OTSUKA AMERICA PHARMACEUTICAL,OTSUKA\s+AMERICA\s+PHARMACEUTICAL,2,doctor_payments pacs,,"OTSUKA AMERICA PHARMACEUTICAL, INC | Otsuka America Pharmaceutical, Inc."
PAYPAL,PAYPAL,2,complaints visas,1633917,"PAYPAL, INC. | Paypal Holdings, Inc"
PRUDENTIAL FINANCIAL,PRUDENTIAL\s+FINANCIAL,2,lobbying pacs,1137774,"PRUDENTIAL FINANCIAL INC | PRUDENTIAL FINANCIAL, INC."
T MOBILE,T\s+MOBILE,2,lobbying visas,1283699,"T-MOBILE USA, INC."
TESLA,TESLA,2,injuries visas,1318605,"TESLA, INC. | Tesla"
TEXTRON,TEXTRON,2,contracts toxic_release,217346,TEXTRON INC
TRUIST FINANCIAL,TRUIST\s+FINANCIAL,2,complaints pacs,92230,TRUIST FINANCIAL CORPORATION
U S BANCORP,U\s+S\s+BANCORP,2,complaints pacs,,U.S. BANCORP
WALMART,WALMART,2,injuries lobbying,104169,WALMART INC | Walmart Inc | Walmart Inc.
WELLS FARGO,WELLS\s+FARGO,2,complaints pacs,,WELLS FARGO & COMPANY | WELLS FARGO AND COMPANY
3M,3M\s+CO,1,toxic_release,66740,3M CO
A2Z DEVELOPMENT CENTER,A2Z\s+DEVELOPMENT\s+CENTER,1,visas,,"A2Z DEVELOPMENT CENTER, INC."
AARP,AARP,1,lobbying,,AARP
ABBOTT LABORATORIES,ABBOTT\s+LABORATORIES,1,doctor_payments,1800,Abbott Laboratories
ABBVIE,ABBVIE,1,doctor_payments,1551152,ABBVIE INC.
ABIOMED,ABIOMED,1,doctor_payments,,ABIOMED
ABM,ABM,1,injuries,,ABM
ACADIA HEALTHCARE MANAGEMENT,ACADIA\s+HEALTHCARE\s+MANAGEMENT,1,injuries,,Acadia Healthcare Management Company Inc
ACCENTURE,ACCENTURE,1,visas,1467373,ACCENTURE LLP
ACCENTURE PUBLIC,ACCENTURE\s+PUBLIC,1,contracts,,ACCENTURE PUBLIC LIMITED COMPANY
ADOBE,ADOBE,1,visas,796343,ADOBE INC.
ADS TACTICAL,ADS\s+TACTICAL,1,contracts,,"ADS TACTICAL, INC."
ADVANCED ACCELERATOR APPLICATIONS,ADVANCED\s+ACCELERATOR\s+APPLICATIONS,1,doctor_payments,,Advanced Accelerator Applications
ADVENTIST HEALTH SYSTEM,ADVENTIST\s+HEALTH\s+SYSTEM,1,injuries,,Adventist Health System
AECOM,AECOM,1,contracts,868857,AECOM
AECOM GLOBAL II,AECOM\s+GLOBAL\s+II,1,contracts,,"AECOM GLOBAL II, LLC"
AEROSPACE,AEROSPACE,1,contracts,,THE AEROSPACE CORPORATION
AES PHEAA,AES\s+PHEAA,1,complaints,,AES/PHEAA
AFFIRM,AFFIRM,1,complaints,1820953,"Affirm Holdings, Inc"
AIR PRODUCTS & CHEMICALS,AIR\s+PRODUCTS\s+&\s+CHEMICALS,1,toxic_release,2969,AIR PRODUCTS & CHEMICALS INC
AIRGAS,AIRGAS,1,toxic_release,,AIRGAS INC
ALBERTSONS,ALBERTSONS,1,injuries,,Albertsons LLC
ALCOA,ALCOA,1,toxic_release,1675149,ALCOA INC
