schema,table,column,data_type,row_count,non_null,non_null_pct,distinct_count,distinct_ratio,blank_string,min_value,max_value,top_5_values,top_5_sampled,error
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,COMPLAINT_ID,TEXT,17168287,17168287,100.0,17011509,0.990868,1,,9999997,,,
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,STATE,TEXT,17168287,17105558,99.63,63,4e-06,0,AA,WY,TX 68858 | FL 68394 | CA 49569 | GA 36990 | NY 28955,Y,
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,ZIP_CODE,TEXT,17168287,17166119,99.99,36864,0.002147,0,(1352,XXXXX,,,
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,COMPANY,TEXT,17168287,17168287,100.0,8088,0.000471,0,"(Former)Shapiro, Swertfeger & Hasty, LLP"," Lippman Recupero, LLC",,,
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,DATE_RECEIVED,DATE,17168287,17168287,100.0,5336,0.000311,,2011-12-01,2026-07-23,,,
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,DATE_SENT_TO_COMPANY,DATE,17168287,17051764,99.32,5268,0.000307,,2011-12-01,2026-07-23,,,
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,DAYS_RECEIVED_TO_COMPANY,NUMBER,17168287,17051764,99.32,545,3.2e-05,,-1,1962,,,
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,RECEIVED_MONTH,DATE,17168287,17168287,100.0,176,1e-05,,2011-12-01,2026-07-01,,,
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,RECEIVED_YEAR,DATE,17168287,17168287,100.0,16,1e-06,,2011-01-01,2026-01-01,2025-01-01 155681 | 2026-01-01 133033 | 2024-01-01 79757 | 2023-01-01 37096 | 2022-01-01 24486,Y,
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,PRODUCT,TEXT,17168287,17168287,100.0,23,1e-06,0,Bank account or service,Virtual currency,"Credit reporting or other personal consumer reports 338592 | Credit reporting, credit repair services, or other personal consumer reports 63001 | Debt collection 34835 | Mortgage 13563 | Checking or savings account 11122",Y,
