staging_model,source_name,raw_table,raw_exists,raw_row_count,raw_bytes
stg_ca_lobby__amendments,ripple_raw,CA_LOBBY_AMENDMENTS,yes,25249,1454592
stg_ca_lobby__chg_log,ripple_raw,CA_LOBBY_CHG_LOG,yes,85765,4879360
stg_ca_lobby__contributions,ripple_raw,CA_LOBBY_CONTRIBUTIONS,yes,6505,140800
stg_ca_lobby__cover2,ripple_raw,CA_LOBBY_COVER2,yes,206493,2412544
stg_ca_lobby__emp_lobbyist,ripple_raw,CA_LOBBY_EMP_LOBBYIST,yes,1500,40448
stg_ca_lobby__employer,ripple_raw,CA_LOBBY_EMPLOYER,yes,1730,103424
stg_ca_lobby__employer_firms,ripple_raw,CA_LOBBY_EMPLOYER_FIRMS,yes,524,11776
stg_ca_lobby__firm,ripple_raw,CA_LOBBY_FIRM,yes,256,18944
stg_ca_lobby__firm_employer,ripple_raw,CA_LOBBY_FIRM_EMPLOYER,yes,170,14848
stg_ca_lobby__firm_lobbyist,ripple_raw,CA_LOBBY_FIRM_LOBBYIST,yes,577,22528
stg_ca_lobby_cover__filings,ripple_raw,CA_LOBBY_COVER,yes,568988,37172736
stg_fed_bia_tribal_geo__bia_geospatial_features,ripple_raw,FED_BIA_TRIBAL_GEO,yes,100,11264
stg_fed_bjs_data__bjs_data_collections,ripple_raw,FED_BJS_DATA,yes,1000,46592
stg_fed_bls_qcew__records,ripple_raw,FED_BLS_QCEW,yes,3619437,135891456
stg_fed_bop_statistics__records,ripple_raw,FED_BOP_STATISTICS,yes,50,3584
stg_fed_cbp_encounters__records,ripple_raw,FED_CBP_ENCOUNTERS,yes,9,2560
stg_fed_cdc_anxiety_depression__records,ripple_raw,FED_CDC_ANXIETY_DEPRESSION,yes,16794,512512
stg_fed_cdc_data_portal__records,ripple_raw,FED_CDC_DATA_PORTAL_FULL,yes,1471,1773056
stg_fed_cdc_drug_poisoning_county__rates,ripple_raw,FED_CDC_DRUG_POISONING_COUNTY,yes,53387,1548288
stg_fed_cdc_health_insurance__records,ripple_raw,FED_CDC_HEALTH_INSURANCE,yes,16056,501760
stg_fed_cdc_injury_violence_county__rates,ripple_raw,FED_CDC_INJURY_VIOLENCE_COUNTY,yes,132000,3540992
stg_fed_cdc_leading_causes_state__all,ripple_raw,FED_CDC_LEADING_CAUSES_STATE,yes,10868,180736
stg_fed_cdc_overdose__records,ripple_raw,FED_CDC_OVERDOSE,yes,83790,1778688
stg_fed_cdc_suicide_rates__records,ripple_raw,FED_CDC_SUICIDE_RATES,yes,6390,111104
stg_fed_cdc_wonder__records,ripple_raw,FED_CDC_WONDER,yes,880,18944
stg_fed_cfpb_complaints__complaints,ripple_raw,FED_CFPB_COMPLAINTS,yes,17179788,1298101248
stg_fed_cfpb_hmda__loans,ripple_raw,FED_CFPB_HMDA,yes,28301,2366464
stg_fed_cfpb_hmda_arid2017_lei_xref__xref,ripple_raw,FED_CFPB_HMDA_ARID2017_LEI_XREF,yes,5399,342528
stg_fed_cfpb_hmda_historic__lar_records,ripple_raw,FED_CFPB_HMDA_HISTORIC,yes,19136434,1012290048
stg_fed_cfpb_hmda_lar__lar_records,ripple_raw,FED_CFPB_HMDA_LAR,yes,17474,1346560
stg_fed_cisa_kev__records,ripple_raw,FED_CISA_KEV,yes,1631,245760
stg_fed_clinicaltrials__clinical_trials,ripple_raw,FED_CLINICALTRIALS,yes,500,1310720
