model,family,class,slot,status
case_queue,organization,noun,how_many,ready
case_queue,organization,noun,row_count_vs_published,ready
case_queue,organization,noun,freshness,ready
case_queue,organization,noun,grain_integrity,ready
case_queue,organization,noun,id_integrity,ready
case_queue,organization,noun,rank_in_family,ready
case_queue,organization,noun,share_of_family,ready
case_queue,organization,noun,by_time,hole:no-date-column
case_queue,organization,noun,first_last,hole:no-date-column
case_queue,organization,noun,gaps,hole:no-date-column
case_queue,organization,noun,seasonality,hole:no-date-column
case_queue,organization,noun,births,hole:no-date-column
case_queue,organization,noun,deaths,hole:no-date-column
case_queue,organization,noun,age_distribution,hole:no-date-column
case_queue,organization,noun,by_state,hole:no-geo-column
case_queue,organization,noun,by_county_city,hole:no-geo-column
case_queue,organization,noun,map_points,hole:no-geo_point-column
case_queue,organization,noun,geo_concentration,hole:no-geo-column
case_queue,organization,noun,mix_by_code,ready
case_queue,organization,noun,mix_over_time,hole:no-date-column
case_queue,organization,noun,code_concentration,ready
case_queue,organization,noun,total_money,hole:no-money-column
case_queue,organization,noun,typical_money,hole:no-money-column
case_queue,organization,noun,money_distribution,hole:no-money-column
case_queue,organization,noun,money_top_share,hole:no-money-column
case_queue,organization,noun,round_numbers,hole:no-money-column
case_queue,organization,noun,size_distribution,ready
case_queue,organization,noun,per_person,hole:no-population-column
case_queue,organization,noun,flag_rates,hole:no-flag-column
civil_rights__fed_nara_wra_aad,dataset,noun,how_many,ready
civil_rights__fed_nara_wra_aad,dataset,noun,row_count_vs_published,ready
civil_rights__fed_nara_wra_aad,dataset,noun,freshness,ready
civil_rights__fed_nara_wra_aad,dataset,noun,grain_integrity,ready
civil_rights__fed_nara_wra_aad,dataset,noun,id_integrity,ready
civil_rights__fed_nara_wra_aad,dataset,noun,rank_in_family,ready
civil_rights__fed_nara_wra_aad,dataset,noun,share_of_family,ready
civil_rights__fed_nara_wra_aad,dataset,noun,by_time,ready
civil_rights__fed_nara_wra_aad,dataset,noun,first_last,ready
civil_rights__fed_nara_wra_aad,dataset,noun,gaps,ready
civil_rights__fed_nara_wra_aad,dataset,noun,seasonality,ready
civil_rights__fed_nara_wra_aad,dataset,noun,births,ready
civil_rights__fed_nara_wra_aad,dataset,noun,deaths,ready
civil_rights__fed_nara_wra_aad,dataset,noun,age_distribution,ready
civil_rights__fed_nara_wra_aad,dataset,noun,by_state,ready
civil_rights__fed_nara_wra_aad,dataset,noun,by_county_city,ready
civil_rights__fed_nara_wra_aad,dataset,noun,map_points,hole:no-geo_point-column
civil_rights__fed_nara_wra_aad,dataset,noun,geo_concentration,ready
civil_rights__fed_nara_wra_aad,dataset,noun,mix_by_code,ready
civil_rights__fed_nara_wra_aad,dataset,noun,mix_over_time,ready
civil_rights__fed_nara_wra_aad,dataset,noun,code_concentration,ready
civil_rights__fed_nara_wra_aad,dataset,noun,total_money,hole:no-money-column
civil_rights__fed_nara_wra_aad,dataset,noun,typical_money,hole:no-money-column
civil_rights__fed_nara_wra_aad,dataset,noun,money_distribution,hole:no-money-column
civil_rights__fed_nara_wra_aad,dataset,noun,money_top_share,hole:no-money-column
civil_rights__fed_nara_wra_aad,dataset,noun,round_numbers,hole:no-money-column
civil_rights__fed_nara_wra_aad,dataset,noun,size_distribution,hole:no-quantity-column
civil_rights__fed_nara_wra_aad,dataset,noun,per_person,hole:no-population-column
civil_rights__fed_nara_wra_aad,dataset,noun,flag_rates,hole:no-flag-column
cohort_queue,unresolved,event,how_many,ready
cohort_queue,unresolved,event,row_count_vs_published,ready
cohort_queue,unresolved,event,freshness,ready
cohort_queue,unresolved,event,grain_integrity,ready
cohort_queue,unresolved,event,id_integrity,ready
cohort_queue,unresolved,event,rank_in_family,ready
cohort_queue,unresolved,event,share_of_family,ready
cohort_queue,unresolved,event,by_time,ready
cohort_queue,unresolved,event,first_last,ready
cohort_queue,unresolved,event,gaps,ready
cohort_queue,unresolved,event,seasonality,ready
cohort_queue,unresolved,event,by_state,hole:no-geo-column
cohort_queue,unresolved,event,by_county_city,hole:no-geo-column
cohort_queue,unresolved,event,map_points,hole:no-geo_point-column
cohort_queue,unresolved,event,geo_concentration,hole:no-geo-column
cohort_queue,unresolved,event,mix_by_code,ready
cohort_queue,unresolved,event,mix_over_time,ready
cohort_queue,unresolved,event,code_concentration,ready
cohort_queue,unresolved,event,total_money,ready
cohort_queue,unresolved,event,typical_money,ready
cohort_queue,unresolved,event,money_distribution,ready
cohort_queue,unresolved,event,money_top_share,ready
cohort_queue,unresolved,event,round_numbers,ready
cohort_queue,unresolved,event,size_distribution,ready
cohort_queue,unresolved,event,per_noun_rate,ready
cohort_queue,unresolved,event,zero_nouns,ready
cohort_queue,unresolved,event,repeaters,ready
cohort_queue,unresolved,event,noun_concentration,ready
cohort_queue,unresolved,event,per_person,hole:no-population-column
cohort_queue,unresolved,event,flag_rates,hole:no-flag-column
consumer_protection__fed_cfpb_complaints,complaint,event,how_many,ready
consumer_protection__fed_cfpb_complaints,complaint,event,row_count_vs_published,ready
consumer_protection__fed_cfpb_complaints,complaint,event,freshness,ready
consumer_protection__fed_cfpb_complaints,complaint,event,grain_integrity,ready
consumer_protection__fed_cfpb_complaints,complaint,event,id_integrity,ready
consumer_protection__fed_cfpb_complaints,complaint,event,rank_in_family,ready
consumer_protection__fed_cfpb_complaints,complaint,event,share_of_family,ready
consumer_protection__fed_cfpb_complaints,complaint,event,by_time,ready
consumer_protection__fed_cfpb_complaints,complaint,event,first_last,ready
consumer_protection__fed_cfpb_complaints,complaint,event,gaps,ready
consumer_protection__fed_cfpb_complaints,complaint,event,seasonality,ready
consumer_protection__fed_cfpb_complaints,complaint,event,by_state,ready
consumer_protection__fed_cfpb_complaints,complaint,event,by_county_city,ready
consumer_protection__fed_cfpb_complaints,complaint,event,map_points,hole:no-geo_point-column
consumer_protection__fed_cfpb_complaints,complaint,event,geo_concentration,ready
consumer_protection__fed_cfpb_complaints,complaint,event,mix_by_code,ready
consumer_protection__fed_cfpb_complaints,complaint,event,mix_over_time,ready
consumer_protection__fed_cfpb_complaints,complaint,event,code_concentration,ready
consumer_protection__fed_cfpb_complaints,complaint,event,total_money,hole:no-money-column
consumer_protection__fed_cfpb_complaints,complaint,event,typical_money,hole:no-money-column
consumer_protection__fed_cfpb_complaints,complaint,event,money_distribution,hole:no-money-column
consumer_protection__fed_cfpb_complaints,complaint,event,money_top_share,hole:no-money-column
consumer_protection__fed_cfpb_complaints,complaint,event,round_numbers,hole:no-money-column
consumer_protection__fed_cfpb_complaints,complaint,event,size_distribution,hole:no-quantity-column
consumer_protection__fed_cfpb_complaints,complaint,event,per_noun_rate,ready
consumer_protection__fed_cfpb_complaints,complaint,event,zero_nouns,ready
consumer_protection__fed_cfpb_complaints,complaint,event,repeaters,ready
consumer_protection__fed_cfpb_complaints,complaint,event,noun_concentration,ready
consumer_protection__fed_cfpb_complaints,complaint,event,per_person,hole:no-population-column
consumer_protection__fed_cfpb_complaints,complaint,event,flag_rates,ready
consumer_safety__fed_cpsc_neiss,case,event+noun,how_many,ready
consumer_safety__fed_cpsc_neiss,case,event+noun,row_count_vs_published,ready
consumer_safety__fed_cpsc_neiss,case,event+noun,freshness,ready
consumer_safety__fed_cpsc_neiss,case,event+noun,grain_integrity,ready
consumer_safety__fed_cpsc_neiss,case,event+noun,id_integrity,ready
consumer_safety__fed_cpsc_neiss,case,event+noun,rank_in_family,ready
consumer_safety__fed_cpsc_neiss,case,event+noun,share_of_family,ready
consumer_safety__fed_cpsc_neiss,case,event+noun,by_time,ready
consumer_safety__fed_cpsc_neiss,case,event+noun,first_last,ready
consumer_safety__fed_cpsc_neiss,case,event+noun,gaps,ready
consumer_safety__fed_cpsc_neiss,case,event+noun,seasonality,ready
consumer_safety__fed_cpsc_neiss,case,event+noun,births,ready
