branch,park_type,family,model,line
per person served,needs-population,organization,case_queue,case_queue: no population/served column on the thing itself
any trend over time,needs-history,organization,case_queue,case_queue: no date column — snapshot only
per person served,needs-population,dataset,civil_rights__fed_nara_wra_aad,civil_rights__fed_nara_wra_aad: no population/served column on the thing itself
per person served,needs-population,unresolved,cohort_queue,cohort_queue: no population/served column on the thing itself
assessed vs actually collected,needs-second-table,unresolved,cohort_queue,cohort_queue: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,unresolved,cohort_queue,cohort_queue: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,unresolved,cohort_queue,cohort_queue: harm lives in a different fact table
per person served,needs-population,complaint,consumer_protection__fed_cfpb_complaints,consumer_protection__fed_cfpb_complaints: no population/served column on the thing itself
was there an inspection first (real lineage),needs-lineage,complaint,consumer_protection__fed_cfpb_complaints,consumer_protection__fed_cfpb_complaints: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,complaint,consumer_protection__fed_cfpb_complaints,consumer_protection__fed_cfpb_complaints: harm lives in a different fact table
per person served,needs-population,case,consumer_safety__fed_cpsc_neiss,consumer_safety__fed_cpsc_neiss: no population/served column on the thing itself
was there an inspection first (real lineage),needs-lineage,case,consumer_safety__fed_cpsc_neiss,consumer_safety__fed_cpsc_neiss: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,case,consumer_safety__fed_cpsc_neiss,consumer_safety__fed_cpsc_neiss: harm lives in a different fact table
per person served,needs-population,complaint,consumer_safety__fed_nhtsa_complaints,consumer_safety__fed_nhtsa_complaints: no population/served column on the thing itself
was there an inspection first (real lineage),needs-lineage,complaint,consumer_safety__fed_nhtsa_complaints,consumer_safety__fed_nhtsa_complaints: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,complaint,consumer_safety__fed_nhtsa_complaints,consumer_safety__fed_nhtsa_complaints: harm lives in a different fact table
