-- S02 HPSA: status x designation type, date sentinels, how stale the last update is
HPSA_STATUS | DESIGNATION_TYPE | N | HPSAS | D0 | D1 | D1970 | HPSA_PRE1996 | U0 | U1 | HPSA_UPD_PRE2022 | WD | MED_SCORE | FTE0
Designated | HPSA Population | 11797 | 1836 | 1979-06-13 | 2026-08-05 | 0 | 38 | 2016-10-06 | 2026-08-05 | 77 | 0 | 16.000 | 977
Designated | Geographic HPSA | 3095 | 805 | 1978-03-06 | 2026-08-03 | 0 | 115 | 2019-07-01 | 2026-08-03 | 4 | 0 | 13.000 | 407
Designated | Rural Health Clinic | 1835 | 1835 | 2001-04-01 | 2026-04-01 | 0 | 0 | 2025-04-02 | 2026-08-03 | 0 | 0 | 16.000 | 0
Designated | Federally Qualified Health Center | 1351 | 1351 | 1984-01-07 | 2024-05-17 | 0 | 1 | 2019-08-18 | 2026-08-04 | 9 | 0 | 19.000 | 0
Designated | Indian Health Service, Tribal Health, and Urban Indian Health Organizations | 928 | 928 | 2002-10-02 | 2026-04-01 | 0 | 0 | 2021-04-22 | 2026-07-27 | 103 | 0 | 17.000 | 0
Designated | High Needs Geographic HPSA | 639 | 198 | 1978-04-07 | 2026-05-27 | 0 | 52 | 2020-12-31 | 2026-05-27 | 6 | 0 | 16.000 | 89
Designated | Correctional Facility | 550 | 550 | 1979-05-30 | 2026-05-29 | 0 | 23 | 2016-08-25 | 2026-05-29 | 129 | 0 | 9.000 | 231
Designated | Federally Qualified Health Center Look A Like | 171 | 171 | 2002-10-26 | 2026-04-01 | 0 | 0 | 2021-09-11 | 2026-05-13 | 1 | 0 | 17.000 | 0
Designated | Other Facility | 9 | 9 | 2009-09-08 | 2026-03-03 | 0 | 0 | 2018-08-03 | 2026-03-10 | 2 | 0 | 14.000 | 0
Proposed For Withdrawal | HPSA Population | 7500 | 629 | 1979-07-26 | 2026-04-24 | 0 | 12 | 2025-09-11 | 2026-08-05 | 0 | 0 | 15.000 | 363
Proposed For Withdrawal | Geographic HPSA | 1634 | 281 | 1978-03-05 | 2025-10-29 | 0 | 42 | 2025-09-11 | 2026-05-29 | 0 | 0 | 12.000 | 180
Proposed For Withdrawal | High Needs Geographic HPSA | 823 | 99 | 1978-06-08 | 2025-03-12 | 0 | 17 | 2025-09-11 | 2026-03-31 | 0 | 0 | 14.000 | 29
Proposed For Withdrawal | Correctional Facility | 4 | 4 | 2005-02-15 | 2023-11-27 | 0 | 0 | 2026-04-21 | 2026-04-21 | 0 | 0 | 9.000 | 1
Proposed For Withdrawal | Other Facility | 2 | 2 | 2009-12-29 | 2012-09-07 | 0 | 0 | 2025-09-11 | 2025-09-11 | 0 | 0 | 10.000 | 0
Withdrawn | Geographic HPSA | 21279 | 2937 | 1978-02-23 | 2025-03-06 | 0 | 2091 | 1980-04-11 | 2026-07-01 | 2563 | 21279 | 0.000 | 3433
Withdrawn | HPSA Population | 21203 | 2548 | 1978-03-24 | 2025-03-06 | 0 | 580 | 1983-12-31 | 2026-07-01 | 1827 | 21203 | 11.000 | 2982
Withdrawn | High Needs Geographic HPSA | 3314 | 490 | 1978-03-07 | 2024-11-21 | 0 | 203 | 2009-10-19 | 2026-07-01 | 275 | 3314 | 12.000 | 161
Withdrawn | Rural Health Clinic | 1561 | 1561 | 2001-04-01 | 2025-08-14 | 0 | 0 | 2006-06-23 | 2026-04-07 | 1124 | 1458 | 14.000 | 0
Withdrawn | Correctional Facility | 497 | 497 | 1978-05-02 | 2019-11-22 | 0 | 133 | 1983-12-31 | 2024-01-02 | 403 | 497 | 3.000 | 73
Withdrawn | Indian Health Service, Tribal Health, and Urban Indian Health Organizations | 329 | 329 | 2002-10-01 | 2025-04-08 | 0 | 0 | 2010-08-17 | 2025-11-24 | 257 | 302 | 16.000 | 0
Withdrawn | Other Facility | 242 | 242 | 1978-07-25 | 2019-10-02 | 0 | 60 | 1981-02-17 | 2026-07-01 | 228 | 242 | 0.000 | 0
Withdrawn | Federally Qualified Health Center | 230 | 230 | 1970-01-01 | 2021-04-22 | 1 | 1 | 2002-12-31 | 2026-04-07 | 206 | 129 | 8.000 | 0
Withdrawn | Federally Qualified Health Center Look A Like | 165 | 165 | 1991-08-09 | 2021-04-22 | 0 | 1 | 2019-09-19 | 2025-11-24 | 158 | 87 | 1.000 | 0
(23 rows)
