-- S06 NPPES: entity type x enumeration year, deactivation fill
ENTITY_TYPE_CODE | Y | N | DEACT | REACT | NO_ADDR | HOSPICE_TX1
 |  | 346179 | 346179 | 0 | 346179 | 0
1 | 2005 | 203736 | 3037 | 3037 | 0 | 0
1 | 2006 | 915784 | 823 | 826 | 0 | 4
1 | 2007 | 569559 | 529 | 529 | 1 | 6
1 | 2008 | 238812 | 243 | 243 | 0 | 1
1 | 2009 | 178748 | 206 | 206 | 0 | 3
1 | 2010 | 194347 | 230 | 230 | 0 | 2
1 | 2011 | 214341 | 266 | 266 | 0 | 3
1 | 2012 | 222191 | 301 | 301 | 0 | 5
1 | 2013 | 208292 | 352 | 352 | 0 | 7
1 | 2014 | 222749 | 404 | 404 | 0 | 11
1 | 2015 | 227580 | 478 | 478 | 0 | 5
1 | 2016 | 249028 | 635 | 635 | 0 | 9
1 | 2017 | 263677 | 819 | 819 | 0 | 10
1 | 2018 | 329210 | 1142 | 1142 | 0 | 11
1 | 2019 | 332995 | 1149 | 1149 | 0 | 13
1 | 2020 | 353454 | 1185 | 1185 | 0 | 14
1 | 2021 | 381300 | 1163 | 1163 | 1 | 18
1 | 2022 | 387857 | 999 | 999 | 0 | 16
1 | 2023 | 422009 | 803 | 803 | 0 | 19
1 | 2024 | 448040 | 722 | 722 | 0 | 15
1 | 2025 | 518931 | 504 | 504 | 0 | 20
1 | 2026 | 240502 | 25 | 25 | 0 | 6
2 | 2005 | 38660 | 144 | 144 | 0 | 615
2 | 2006 | 273328 | 792 | 792 | 0 | 2026
2 | 2007 | 223026 | 506 | 506 | 0 | 965
2 | 2008 | 95656 | 137 | 137 | 0 | 377
2 | 2009 | 63627 | 57 | 57 | 0 | 310
2 | 2010 | 63701 | 68 | 68 | 0 | 401
2 | 2011 | 61152 | 57 | 57 | 0 | 501
2 | 2012 | 64245 | 59 | 59 | 0 | 548
2 | 2013 | 61226 | 45 | 45 | 0 | 539
2 | 2014 | 63720 | 75 | 75 | 0 | 645
2 | 2015 | 69767 | 60 | 60 | 0 | 542
2 | 2016 | 69194 | 51 | 51 | 0 | 492
2 | 2017 | 66214 | 67 | 67 | 0 | 416
2 | 2018 | 61711 | 49 | 49 | 0 | 451
2 | 2019 | 66851 | 57 | 57 | 0 | 741
2 | 2020 | 73930 | 41 | 41 | 0 | 1682
2 | 2021 | 82508 | 57 | 57 | 0 | 2593
2 | 2022 | 80442 | 35 | 35 | 0 | 639
2 | 2023 | 87827 | 26 | 26 | 0 | 603
2 | 2024 | 99905 | 16 | 16 | 0 | 541
2 | 2025 | 112320 | 8 | 8 | 0 | 450
2 | 2026 | 58352 | 1 | 1 | 0 | 225
(45 rows)
