-- S08 HPSA: one row per shortage area (HPSA_ID), components collapsed
HPSA_ID | NAME | COMPS | NSTAT | STATUS | DTYPE | ST | DDATE | UPD | WD | POP | POV | SCORE | FTE | SHORTAGE | RURAL | POPTYPE | RATIO | UNDERSERVED | COUNTIES | FIPS | COUNTY
1066884645 | MSSA 58.2 - Lost Hills/Wasco | 5 | 1 | Proposed For Withdrawal | High Needs Geographic HPSA | CA | 2022-01-31 | 2025-09-22 |  | 26635.0 | 22.00 | 18 | 0.1500 | 8.73 | Rural | Geographic Population | 177567:1 | 26185 | 1 | 06029 | Kern County, CA
1068805319 | Low Income - MSSA 133.1/Canyon Lake | 30 | 1 | Withdrawn | HPSA Population | CA | 2013-08-12 | 2021-07-07 | 2021-07-07 | 73838.0 | 17.70 | 13 | 0.0000 | 24.61 | Non-Rural | Low Income Population HPSA |  | 73838 | 1 | 06065 | Riverside County, CA
1188138606 | LI - North Fort Wayne | 39 | 1 | Proposed For Withdrawal | HPSA Population | IN | 2023-11-27 | 2025-09-11 |  | 47961.0 | 11.90 | 16 | 1.9060 | 14.08 | Non-Rural | Low Income Population HPSA | 25163:1 | 42243 | 1 | 18003 | Allen County, IN
136999364B | Niagara Falls Service Area | 13 | 1 | Withdrawn | Geographic HPSA | NY | 2000-08-29 | 2018-07-02 | 2018-07-02 | 29014.0 | 26.90 | 10 | 7.9000 | 0.39 | Non-Rural | Geographic Population | 3673:1 | 1364 | 1 | 36063 | Niagara County, NY
1419994193 | Madras | 3 | 1 | Withdrawn | Geographic HPSA | OR | 1998-01-28 | 2007-01-29 | 2007-01-29 | 0.0 | 15.80 | 0 | 4.4000 |  | Rural | Geographic Population | 0:1 | -15400 | 1 | 41031 | Jefferson County, OR
1068407506 | ME - MSSA 133.1/Perris | 30 | 1 | Designated | HPSA Population | CA | 2020-08-28 | 2020-08-28 |  | 65540.0 | 14.30 | 9 | 7.0400 | 14.81 | Non-Rural | Medicaid Eligible Population HPSA | 9310:1 | 44420 | 1 | 06065 | Riverside County, CA
1252540653 | Gateway/Hampshire Regional | 11 | 1 | Withdrawn | Geographic HPSA | MA | 1994-06-21 | 2024-01-02 | 2024-01-02 | 12760.0 | 6.00 | 8 | 3.1100 | 0.54 | Partially Rural | Geographic Population | 4103:1 | 1875 | 2 | 25015 | Hampshire County, MA
1068920517 | KOREAN COMMUNITY SERVICES | 1 | 1 | Designated | Federally Qualified Health Center | CA | 2020-02-11 | 2025-09-22 |  | 225757.0 |  | 19 |  |  | Non-Rural |  |  |  | 1 | 06059 | Orange County, CA
1562598744 | Kemmerer (East and West) | 2 | 1 | Designated | Geographic HPSA | WY | 1984-03-14 | 2025-09-08 |  | 5554.0 | 11.20 | 12 | 1.2500 | 0.34 | Partially Rural | Geographic Population | 4443:1 | 1179 | 1 | 56023 | Lincoln County, WY
1393774566 | LI-Coshocton County | 1 | 1 | Designated | HPSA Population | OH | 1993-03-31 | 2025-06-16 |  | 13629.0 | 18.70 | 16 | 0.0000 | 4.54 | Rural | Low Income Population HPSA |  | 13629 | 1 | 39031 | Coshocton County, OH
