-- S10 NPPES: every hospice organization NPI (taxonomy slot 1 = 251G00000X), with Medicare enrollment and certification joined
NPI | ORG | ST | CITY | ZIP5 | ADDR | ADDR2 | EN | LU | DEACT | AO_LN | AO_FN | AO_TITLE | AO_PHONE | PHONE | SUB | PARENT | CCN | EST | INC | ENR_ROWS | CERT | OWN
1699355289 | PUE CARE HOSPICE SERVICES,INC. | CA | VAN NUYS | 91405 | 6742 VAN NUYS BLVD STE 208 |  | 2021-04-09 | 2021-04-09 |  | SHAHINYAN | ELMIRA | CEO | 8186460434 | 8186460434 | N |  |  |  |  |  |  | 
1437774189 | WE CARE HEALTH, INC. | TX | IRVING | 75038 | 2925 SKYWAY CIR N STE 150 |  | 2020-06-09 | 2020-06-09 |  | KEETON-REDDY | DANICA | PRESIDENT | 4697896809 | 4697896809 | N |  |  |  |  |  |  | 
1437819521 | HUCKLEBERRY HOSPICE, LLC | ID | EAGLE | 83616 | 2205 E RIVERSIDE DR STE 100 |  | 2021-12-30 | 2021-12-30 |  | HAMMOND | OWEN | PRESIDENT | 2084019600 | 2084019600 | N |  |  |  |  |  |  | 
1851979553 | NOBILIS HOSPICE CARE | CA | GLENDALE | 91206 | 206 N JACKSON ST STE 301A |  | 2021-04-01 | 2021-04-01 |  | YARALYAN | ANUSH | CEO | 8186681809 | 8186681809 | N |  |  |  |  |  |  | 
1205683398 | NEXT STEP UP CORP | KY | NEW ALBANY | 42602 | 110 E MARKET STREET |  | 2024-05-06 | 2026-04-06 |  | PEART | SHARON | DIRECTOR | 8669260035 | 7195176905 | N |  |  |  |  |  |  | 
1982236295 | MEDICAL PARTNERS OF TEXAS INC | TX | LEAGUE CITY | 77573 | 2535 FLYCATCHER COVE DR |  | 2020-02-05 | 2021-09-27 |  | BROWN | KRISTIE | OWNER/DIRECTOR | 8324183818 | 8324183818 | N |  |  |  |  |  |  | 
1316360282 | HOSPICE CONNECTION, LLC | TX | ARGYLE | 76226 | 415 HIGHWAY 377 S | SUITE 200 | 2014-01-29 | 2014-02-25 |  | BATES | JOSH | PRESIDENT | 9404647010 | 9404647010 | N |  |  |  |  |  |  | 
1710502893 | UNITY HOSPICE INC | CA | WINNETKA | 91306 | 19725 SHERMAN WAY STE 295I |  | 2020-06-15 | 2020-06-15 |  | MOHAMMED | BIBI | CEO | 7472625186 | 7472625186 | N |  |  |  |  |  |  | 
1588319370 | ZAHIALLC | PA | PHILADELPHIA | 19111 | 937 DISSTON ST |  | 2022-02-20 | 2022-02-25 |  | HAMED | MAWIA | OWNER | 2672618189 | 2672618189 | N |  |  |  |  |  |  | 
1033161260 | IN HOME HEALTH LLC | CA | RIVERSIDE | 92507 | 1700 IOWA AVE | SUITE 230 | 2006-05-16 | 2013-03-15 |  | LAZARUS | BARRY | VICE PRESIDENT - REIMBURSEMENTS | 4192525541 | 9513698604 | N |  |  |  |  |  |  | 
1427114974 | VITAS HEALTHCARE CORPORATION MIDWEST | IL | FAIRVIEW HEIGHTS | 62208 | 16 EXECUTIVE DR STE 100 |  | 2006-12-29 | 2021-04-30 |  | WESTFALL | NICK | CEO | 3053744143 | 6186229078 | N |  |  |  |  |  |  | 
1356194583 | HEARTWOOD HOSPICE INC | TX | FORT WORTH | 76137 | 4500 MERCANTILE PLAZA STE 300 OFFICE 330 |  | 2024-04-08 | 2024-04-08 |  | LACOME | JOSEPH | OWNER | 4158521250 | 4158521250 | N |  |  |  |  |  |  | 
1568648467 | HOSPICE OF CHARLESTON INC | SC | N CHARLESTON | 29405 | 3870 LEEDS AVE | SUITE 101 | 2008-01-10 | 2008-01-10 |  | OSETEK | EMILY | PRACTICE ADMINISTRATOR | 8432668261 | 8432663475 | N |  |  |  |  |  |  | 
