-- S11 MDS: one row per nursing home, schizophrenia / antipsychotic / dementia counts, joined to star file and survey tags
CCN | ST | NAME | CITY | SZ_PCT | SZ_N | SZ_NO_N | SZ_LS_PCT | SZ_SS_PCT | SZ_LS_N | SZ_SS_N | SZ_NO_LS_N | SZ_NO_SS_N | AP_PCT | AP_N | AP_NO_N | PSY_N | BIP_N | DEM_N | ALZ_N | DEM_PCT | ALZ_PCT | LEGAL_BUSINESS_NAME | CHAIN_NAME | CHAIN_ID | NUMBER_OF_FACILITIES_IN_CHAIN | OWNERSHIP_TYPE | NUMBER_OF_CERTIFIED_BEDS | AVERAGE_NUMBER_OF_RESIDENTS_PER_DAY | OVERALL_RATING | QUALITY_MEASURE_RATING | TOTAL_AMOUNT_OF_FINES_IN_DOLLARS | NUMBER_OF_FINES | SPECIAL_FOCUS_STATUS | ABUSE_ICON | PROVIDER_RESIDES_IN_HOSPITAL | NH_CCN | F641 | F758 | F605 | ALL_DEF | S0 | S1 | TAG_SAMPLE
366303 | OH | HIGHBANKS CARE CENTER | COLUMBUS | 34.0 | 17 | 33 | 39.02 |  | 16 |  | 25 |  | 44.0 | 22 | 28 |  | 11 | 37 | 11 | 74.0 | 22.0 | HIGHBANKS CARE CENTER, LLC | FOUNDATIONS HEALTH SOLUTIONS | 225 | 63 | For profit - Corporation | 56 | 53.2 | 5 | 5 | 0.0 | 0 |  | N | N | 366303 | 1 | 1 | 0 | 16 | 2023-02-17 | 2026-03-26 | 0684
366485 | OH | BRIARFIELD PLACE | BOARDMAN |  |  | 42 |  |  |  |  | 16 | 26 |  |  |  |  |  |  |  |  |  | MCCLURG SENIOR CARE LLC |  |  |  | For profit - Corporation | 58 | 53.5 | 5 | 5 | 0.0 | 0 |  | N | N | 366485 | 0 | 0 | 0 | 10 | 2023-06-26 | 2026-02-26 | 0552
375109 | OK | HERITAGE VILLA CARE & REHAB CENTER | BARTLESVILLE |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 32 |  | 43.24 |  | HERITAGE VILLA HEALTHCARE LLC | MGM HEALTHCARE | 348 | 33 | For profit - Limited Liability company | 100 | 82.8 | 3 | 5 | 8278.0 | 1 |  | N | N | 375109 | 1 | 3 | 0 | 50 | 2021-04-28 | 2025-08-14 | 0550
375362 | OK | Shanoan Springs Nursing and Rehabilitation | Chickasha |  |  |  |  |  |  |  |  |  | 29.55 | 13 | 31 |  |  | 15 |  | 34.88 |  | N&R OF CHICKASHA, LLC |  |  |  | For profit - Limited Liability company | 82 | 53.2 | 3 | 2 | 12740.0 | 1 |  | N | N | 375362 | 1 | 1 | 0 | 24 | 2023-03-06 | 2026-03-25 | 0803
395582 | PA | MOUNTAIN CITY NURSING & REHABILITATION CENTER | HAZLETON | 16.84 | 33 | 163 | 19.21 |  | 29 |  | 122 |  | 19.7 | 39 | 159 | 14 | 25 | 56 | 16 | 28.57 | 8.16 | MOUNTAIN CITY NURSING & REHABILITATION CENTER, LLC | SABER HEALTHCARE GROUP | 461 | 126 | For profit - Corporation | 297 | 218.3 | 1 | 3 | 171403.0 | 1 |  | Y | N | 395582 | 1 | 0 | 0 | 52 | 2023-05-12 | 2026-01-12 | 0689
395815 | PA | ST MARTHA CENTER FOR REHABILITATION & HEALTHCARE | DOWNINGTOWN |  |  |  |  |  |  |  |  |  | 14.14 | 14 | 85 | 12 |  | 40 |  | 41.24 |  | 470 MANOR OPERATING LLC | CENTER MANAGEMENT GROUP | 619 | 17 | For profit - Limited Liability company | 120 | 111.7 | 4 | 4 | 0.0 | 0 |  | N | N | 395815 | 0 | 1 | 0 | 10 | 2023-08-29 | 2026-01-08 | 0684
396085 | PA | Mon Valley Care Center | MONONGAHELA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | CPSR ASSOCIATES LLC |  |  |  | For profit - Partnership | 60 | 48.0 | 3 | 4 | 0.0 | 0 |  | N | N | 396085 | 0 | 1 | 0 | 20 | 2023-08-03 | 2026-02-27 | 0553
425157 | SC | Southland Health Care Center | Florence |  |  |  |  |  |  |  |  |  | 16.88 | 13 | 64 |  |  | 31 |  | 42.47 |  | SOUTHLAND OPERATOR LLC |  |  |  | For profit - Limited Liability company | 88 | 83.3 | 3 | 3 | 9318.0 | 1 |  | N | N | 425157 | 0 | 0 | 0 | 4 | 2022-12-08 | 2026-01-08 | 0628
235599 | MI | Carriage House Nursing and Rehabilitation | Bay City |  |  |  |  |  |  |  |  |  | 21.84 | 19 | 68 |  |  | 33 |  | 38.37 |  | BAY CITY OPCO LLC | PREFERRED CARE | 409 | 13 | For profit - Individual | 120 | 110.8 | 4 | 5 | 0.0 | 0 |  | N | N | 235599 | 1 | 0 | 0 | 33 | 2023-03-22 | 2026-04-06 | 0689
245459 | MN | THE GARDENS AT WINSTED LLC | WINSTED |  |  |  |  |  |  |  |  |  | 40.0 | 12 | 18 |  |  |  |  |  |  | GARDENS AT WINSTED LLC | MONARCH HEALTHCARE MANAGEMENT | 361 | 45 | For profit - Corporation | 70 | 39.0 | 1 | 1 | 8021.0 | 1 |  | N | N | 245459 | 0 | 0 | 0 | 39 | 2023-04-06 | 2025-08-15 | 0550
255125 | MS | CHADWICK COMMUNITY CARE CENTER | JACKSON |  |  |  |  |  |  |  |  |  | 17.95 | 14 | 64 |  |  | 26 |  | 33.77 |  | CHADWICK NURSING AND REHABILITATION CENTER LLC | NORBERT BENNETT & DONALD DENZ | 771 | 29 | For profit - Corporation | 102 | 88.5 | 1 | 1 | 8281.0 | 1 |  | N | N | 255125 | 0 | 0 | 0 | 22 | 2023-05-18 | 2026-01-29 | 0628
265396 | MO | CALIFORNIA CARE CENTER | CALIFORNIA |  |  | 31 |  |  |  |  | 22 |  |  |  |  |  |  |  |  |  |  | N & R OF CALIFORNIA INC | JAMES & JUDY LINCOLN | 290 | 56 | For profit - Corporation | 60 | 35.9 | 5 | 4 | 0.0 | 0 |  | N | N | 265396 | 0 | 0 | 0 | 6 | 2022-04-20 | 2024-05-03 | 0584
265746 | MO | TIFFANY HEIGHTS | MOUND CITY |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 11 |  | 35.48 |  | TIFFANY HEALTHCARE LLC | PRIME HEALTHCARE MANAGEMENT | 421 | 10 | For profit - Limited Liability company | 60 | 39.0 | 1 | 4 | 0.0 | 0 |  | N | N | 265746 | 0 | 0 | 0 | 29 | 2023-02-17 | 2025-12-05 | 0574
275020 | MT | SKYLINE HEIGHTS NURSING AND REHABILITATION | BILLINGS |  |  |  |  |  |  |  |  |  | 16.67 | 14 | 70 |  |  | 14 |  | 18.18 |  | BILLINGS NURSING AND REHAB CENTER LLC | EDURO HEALTHCARE | 193 | 35 | For profit - Limited Liability company | 150 | 76.2 | 1 | 2 | 418996.0 | 6 | SFF Candidate | N | N | 275020 | 0 | 1 | 1 | 63 | 2023-10-12 | 2026-04-23 | 0757
285272 | NE | Harvard Rest Haven | Harvard |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | CITY OF HARVARD |  |  |  | For profit - Corporation | 30 | 19.9 | 5 | 4 | 0.0 | 0 |  | N | N | 285272 | 1 | 1 | 0 | 10 | 2023-01-10 | 2025-02-27 | 0641
525477 | WI | ST FRANCIS HEALTH SERVICES | SAINT FRANCIS |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | NSH SOUTH SHORE LLC | NORTH SHORE HEALTHCARE | 377 | 59 | For profit - Corporation | 34 | 33.1 | 3 | 4 | 0.0 | 0 |  | N | N | 525477 | 0 | 0 | 0 | 15 | 2024-02-01 | 2026-02-18 | 0610
675509 | TX | Parklane West Healthcare Center | San Antonio |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 41 |  | 47.13 |  | DEWITT MEDICAL DISTRICT | THE ENSIGN GROUP | 507 | 338 | Government - Hospital district | 124 | 99.1 | 1 | 4 | 0.0 | 0 |  | N | N | 675509 | 2 | 0 | 0 | 64 | 2023-02-24 | 2026-03-19 | 0880
675620 | TX | Beaumont Nursing and Rehabilitation | Beaumont |  |  |  |  |  |  |  |  |  | 24.44 | 11 | 34 |  |  | 14 |  | 32.56 |  | BEAUMONT I ENTERPRISES LLC | CREATIVE SOLUTIONS IN HEALTHCARE | 169 | 149 | For profit - Corporation | 120 | 48.9 | 2 | 5 | 275992.0 | 2 |  | N | N | 675620 | 1 | 0 | 0 | 23 | 2023-03-22 | 2026-01-28 | 0689
675808 | TX | WINDSOR REHABILITATION AND HEALTHCARE | TERRELL |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 44 | 14 | 64.71 | 20.59 | EASTLAND MEMORIAL HOSPITAL DISTRICT | THE ENSIGN GROUP | 507 | 338 | For profit - Limited Liability company | 108 | 85.7 | 2 | 4 | 0.0 | 0 |  | N | N | 675808 | 2 | 0 | 0 | 39 | 2023-09-27 | 2026-02-27 | 0552
165110 | IA | Southeast Iowa Regional Medical - Klein Center | West Burlington |  |  |  |  |  |  |  |  |  | 15.22 | 21 | 117 |  |  | 49 |  | 35.77 |  | SOUTHEAST IOWA REGIONAL MEDICAL CENTER INC |  |  |  | Non profit - Other | 160 | 139.0 | 2 | 4 | 65094.0 | 2 |  | N | Y | 165110 | 0 | 0 | 0 | 14 | 2023-03-16 | 2025-12-17 | 0684
175287 | KS | EUREKA NURSING CENTER | EUREKA |  |  | 41 |  |  |  |  | 28 | 13 |  |  |  |  |  | 18 |  | 43.9 |  | EUREKA NURSING, LLC | AMERICARE SENIOR LIVING | 34 | 23 | For profit - Corporation | 65 | 44.9 | 2 | 2 | 23865.0 | 3 |  | N | N | 175287 | 1 | 1 | 0 | 28 | 2021-03-23 | 2024-11-05 | 0584
215125 | MD | THE VILLAGE AT ROCKVILLE | ROCKVILLE |  |  |  |  |  |  |  |  |  | 18.11 | 23 | 104 | 15 |  | 86 | 24 | 69.92 | 19.51 | THE VILLAGE AT ROCKVILLE, INC. | NATIONAL LUTHERAN COMMUNITIES & SERVICES | 365 | 2 | Non profit - Corporation | 160 | 131.4 | 3 | 5 | 17345.0 | 1 |  | N | N | 215125 | 1 | 2 | 0 | 41 | 2018-07-19 | 2026-03-03 | 0610
225474 | MA | REGALCARE AT TAUNTON | TAUNTON |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 24 |  | 36.92 |  | RC TAUNTON LLC | REGALCARE | 439 | 9 | For profit - Corporation | 100 | 77.6 | 1 | 2 | 0.0 | 0 |  | Y | N | 225474 | 1 | 1 | 0 | 36 | 2023-01-27 | 2025-05-21 | 0565
015212 | AL | SELF SKILLED NURSING & REHAB | HUEYTOWN |  |  |  |  |  |  |  |  |  | 16.09 | 14 | 73 |  |  | 42 | 17 | 49.41 | 20.0 | SELF SKILLED NURSING, LLC | TRAYLOR PORTER HEALTHCARE | 782 | 5 | For profit - Corporation | 131 | 97.0 | 1 | 3 | 0.0 | 0 |  | N | N | 015212 | 0 | 1 | 0 | 20 | 2018-03-08 | 2021-03-18 | 0565
035130 | AZ | ARCHSTONE CARE CENTER | CHANDLER |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 20 |  | 28.17 |  | PECOS HEALTHCARE LIMITED PTRSHP |  |  |  | For profit - Partnership | 120 | 82.3 | 5 | 5 | 0.0 | 0 |  | N | N | 035130 | 0 | 0 | 0 | 12 | 2022-08-25 | 2026-01-16 | 0761
