-- S16 SAM trap check: blank agency vs source SAM file, repeated people, LEIE name+state hits
AG | SRC_AGENCY | N | SAM_IDS | PEOPLE | INDIVIDUALS | LEIE_NAME_STATE_HITS | NPI_GUESSED | TOP_TYPE
blank | (blank in source) | 2397 | 2397 | 1740 | 1904 | 74 | 151 | Ineligible (Proceedings Completed)
named | DOJ | 3219 | 3219 | 2817 | 3206 | 34 | 240 | Ineligible (Proceedings Completed)
named | HUD | 2315 | 2315 | 2220 | 1756 | 25 | 110 | Ineligible (Proceedings Completed)
named | EPA | 2164 | 2164 | 2064 | 1375 | 11 | 100 | Prohibition/Restriction
named | USN | 831 | 831 | 720 | 570 | 7 | 26 | Ineligible (Proceedings Completed)
named | ICE | 814 | 814 | 800 | 444 | 12 | 26 | Ineligible (Proceedings Completed)
named | DLA | 617 | 617 | 582 | 301 | 1 | 17 | Ineligible (Proceedings Completed)
named | USA | 544 | 544 | 496 | 307 | 2 | 21 | Ineligible (Proceedings Completed)
named | FEMA | 421 | 421 | 420 | 349 | 6 | 18 | Ineligible (Proceedings Completed)
named | SBA | 386 | 386 | 382 | 172 | 3 | 11 | Ineligible (Proceedings Pending)
named | DOI | 346 | 346 | 334 | 191 | 1 | 11 | Prohibition/Restriction
named | DOL | 276 | 276 | 241 | 138 | 5 | 10 | Ineligible (Proceedings Completed)
named | USAF | 268 | 268 | 265 | 144 | 5 | 6 | Ineligible (Proceedings Completed)
named | CBP | 198 | 198 | 197 | 113 | 0 | 9 | Ineligible (Proceedings Completed)
named | FSA | 145 | 145 | 133 | 144 | 1 | 15 | Prohibition/Restriction
named | ED | 131 | 131 | 131 | 129 | 4 | 12 | Ineligible (Proceedings Pending)
named | TREAS | 127 | 127 | 124 | 52 | 0 | 1 | Ineligible (Proceedings Completed)
named | DOS | 122 | 122 | 122 | 75 | 0 | 0 | Ineligible (Proceedings Completed)
named | RMA | 103 | 103 | 95 | 86 | 0 | 6 | Ineligible (Proceedings Completed)
named | VA | 102 | 102 | 97 | 57 | 1 | 5 | Ineligible (Proceedings Pending)
named | USCIS | 92 | 92 | 91 | 48 | 0 | 2 | Ineligible (Proceedings Completed)
named | USAID | 58 | 58 | 54 | 53 | 0 | 0 | Ineligible (Proceedings Completed)
named | GSA | 53 | 53 | 52 | 24 | 1 | 1 | Ineligible (Proceedings Pending)
named | FHWA | 49 | 49 | 42 | 23 | 0 | 2 | Ineligible (Proceedings Completed)
named | USPS | 40 | 40 | 40 | 23 | 0 | 0 | Ineligible (Proceedings Completed)
named | NASA | 39 | 39 | 39 | 26 | 1 | 1 | Ineligible (Proceedings Completed)
named | NSF | 30 | 30 | 28 | 20 | 0 | 1 | Ineligible (Proceedings Completed)
named | DOE | 27 | 27 | 27 | 19 | 0 | 0 | Ineligible (Proceedings Completed)
named | DHA | 25 | 25 | 25 | 17 | 4 | 4 | Ineligible (Proceedings Completed)
named | FMCSA | 23 | 23 | 23 | 22 | 1 | 2 | Ineligible (Proceedings Pending)
named | AMS | 23 | 23 | 22 | 15 | 0 | 0 | Ineligible (Proceedings Completed)
named | EXIM | 20 | 20 | 20 | 3 | 0 | 0 | Ineligible (Proceedings Pending)
named | FTA | 18 | 18 | 17 | 12 | 0 | 1 | Ineligible (Proceedings Pending)
named | DHS | 16 | 16 | 16 | 12 | 0 | 1 | Ineligible (Proceedings Completed)
named | DOC | 14 | 14 | 14 | 8 | 0 | 0 | Ineligible (Proceedings Completed)
named | CNCS | 13 | 13 | 13 | 12 | 0 | 0 | Ineligible (Proceedings Completed)
named | OASAM | 12 | 12 | 6 | 11 | 0 | 3 | Ineligible (Proceedings Completed)
named | DOT | 10 | 10 | 10 | 5 | 0 | 0 | Ineligible (Proceedings Pending)
named | FAA | 9 | 9 | 9 | 7 | 0 | 0 | Voluntary Exclusion
named | NSA | 9 | 9 | 9 | 6 | 0 | 1 | Ineligible (Proceedings Pending)
named | WHD | 7 | 7 | 7 | 3 | 0 | 0 | Ineligible (Proceedings Complete)
named | FPAC | 6 | 6 | 6 | 6 | 0 | 0 | Ineligible (Proceedings Pending)
named | TSA | 4 | 4 | 4 | 2 | 0 | 0 | Ineligible (Proceedings Pending)
named | APHIS | 4 | 4 | 4 | 3 | 0 | 0 | Ineligible (Proceedings Completed)
named | USDA | 3 | 3 | 3 | 0 | 0 | 0 | Ineligible (Proceedings Completed)
named | FS | 2 | 2 | 2 | 1 | 0 | 0 | Ineligible (Proceedings Complete)
named | FRA | 2 | 2 | 2 | 1 | 0 | 0 | Ineligible (Proceedings Complete)
named | DIA | 2 | 2 | 2 | 2 | 0 | 0 | Ineligible (Proceedings Pending)
named | CIA | 2 | 2 | 2 | 2 | 0 | 0 | Ineligible (Proceedings Completed)
named | NRCS | 2 | 2 | 2 | 2 | 0 | 0 | Voluntary Exclusion
named | SI | 1 | 1 | 1 | 0 | 0 | 0 | Ineligible (Proceedings Pending)
named | MARAD | 1 | 1 | 1 | 1 | 0 | 0 | Ineligible (Proceedings Completed)
named | NIFA | 1 | 1 | 1 | 1 | 0 | 0 | Ineligible (Proceedings Completed)
named | DOD | 1 | 1 | 1 | 0 | 0 | 0 | Prohibition/Restriction
(54 rows; csv has all)
