Q	N	ISR_NN	ISR_D	PID_NN	PID_D	PAIR_D
2004q1	264410	264410	65902	0	0	264410
2004q2	254101	254101	60162	0	0	254101
2004q3	290812	290812	75321	0	0	290812
2004q4	291641	291641	70632	0	0	291641
2005q1	313159	313159	75918	0	0	313159
2005q2	337031	337031	80524	0	0	337031
2005q3	335886	335886	81188	0	0	335886
2005q4	359401	359401	88342	0	0	359401
2006q1	408690	408690	89343	0	0	408690
2006q2	389166	389166	79449	0	0	389166
2006q3	285873	285873	71595	0	0	285873
2006q4	305634	305634	83102	0	0	305634
2007q1	300852	300852	88622	0	0	300852
2007q2	297934	297934	83723	0	0	297934
2007q3	314690	314690	95813	0	0	314690
2007q4	365023	365023	109615	0	0	365023
2008q1	366000	366000	104042	0	0	366000
2008q2	403652	403652	107095	0	0	403652
2008q3	401834	401834	108039	0	0	401834
2008q4	407957	407957	120643	0	0	407957
2009q1	378445	378445	110971	0	0	378445
2009q2	413833	413833	112029	0	0	413833
2009q3	453563	453563	129685	0	0	453563
2009q4	509323	509323	137312	0	0	509323
2010q1	506409	506409	135784	0	0	506409
2010q2	549395	549395	143995	0	0	549395
2010q3	735882	735882	208936	0	0	735882
2010q4	652383	652383	183204	0	0	652383
2011q1	660777	660777	180878	0	0	660777
2011q2	751373	751373	194129	0	0	751373
2011q3	742211	742211	198575	0	0	742211
2011q4	773537	773537	208488	0	0	773537
2012q1	838238	838238	231737	0	0	838238
2012q2	834716	834716	225195	0	0	834716
2012q3	503470	503470	136203	0	0	503470
2012q4	738098	0	0	738098	238336	738098
2013q1	658002	0	0	658002	223016	658002
2013q2	544835	0	0	544835	171764	544800
2013q3	584833	0	0	584833	185569	584833
2013q4	690690	0	0	690690	232247	690690
2014q1	754668	0	0	754668	260057	754668
2014q2	652959	0	0	652959	223845	652959
