K	V	N	MN	MX	S	ND
const	src=1 pub=1 lbnum=2040 ubnum=2040 mednull=0	2040	06-09-2026	06-09-2026	10803190.0	599
month	2023-01-15	43	AK	WY	263990.0	1
month	2023-02-15	43	AK	WY	244470.0	1
month	2023-03-15	43	AK	WY	281800.0	1
month	2023-04-15	43	AK	WY	252980.0	1
month	2023-05-15	43	AK	WY	261250.0	1
month	2023-06-15	43	AK	WY	262390.0	1
month	2023-07-15	54	AK	WY	264900.0	1
month	2023-08-15	54	AK	WY	279980.0	1
month	2023-09-15	54	AK	WY	259360.0	1
month	2023-10-15	54	AK	WY	266310.0	1
month	2023-11-15	54	AK	WY	260330.0	1
month	2023-12-15	54	AK	WY	274910.0	1
month	2024-01-15	54	AK	WY	307640.0	1
month	2024-02-15	54	AK	WY	284890.0	1
month	2024-03-15	54	AK	WY	298770.0	1
month	2024-04-15	54	AK	WY	290190.0	1
month	2024-05-15	54	AK	WY	287040.0	1
month	2024-06-15	54	AK	WY	270130.0	1
month	2024-07-15	54	AK	WY	282760.0	1
month	2024-08-15	54	AK	WY	275890.0	1
month	2024-09-15	54	AK	WY	251650.0	1
month	2024-10-15	54	AK	WY	274330.0	1
month	2024-11-15	54	AK	WY	270440.0	1
month	2024-12-15	54	AK	WY	275780.0	1
month	2025-01-15	54	AK	WY	317420.0	1
month	2025-02-15	54	AK	WY	271670.0	1
month	2025-03-15	54	AK	WY	287750.0	1
month	2025-04-15	54	AK	WY	278640.0	1
month	2025-05-15	54	AK	WY	283340.0	1
month	2025-06-15	54	AK	WY	276320.0	1
month	2025-07-15	54	AK	WY	297830.0	1
month	2025-08-15	54	AK	WY	279760.0	1
month	2025-09-15	54	AK	WY	272590.0	1
month	2025-10-15	54	AK	WY	282690.0	1
month	2025-11-15	54	AK	WY	253400.0	1
month	2025-12-15	54	AK	WY	284230.0	1
month	2026-01-15	54	AK	WY	307140.0	1
month	2026-02-15	54	AK	WY	276400.0	1
month	2026-03-15	54	AK	WY	291830.0	1
note	All estimates rounded to nearest 10. Estimates include data on procedural and medication abortions provided at brick-and-mortar health facilities (such as clinics or doctor's offices), as well as medication abortions provided via telehealth and virtual providers.	2040	AK	WY	10803190.0	39
state	AK	39	2023-01-15	2026-03-15	5430.0	1
state	AL	33	2023-07-15	2026-03-15	16780.0	1
state	AR	33	2023-07-15	2026-03-15	8820.0	1
state	AZ	39	2023-01-15	2026-03-15	53510.0	1
state	CA	39	2023-01-15	2026-03-15	596400.0	1
state	CO	39	2023-01-15	2026-03-15	79800.0	1
state	CT	39	2023-01-15	2026-03-15	48640.0	1
state	DC	39	2023-01-15	2026-03-15	25960.0	1
state	DE	39	2023-01-15	2026-03-15	12610.0	1
state	FL	39	2023-01-15	2026-03-15	246230.0	1
state	GA	39	2023-01-15	2026-03-15	115530.0	1
state	HI	39	2023-01-15	2026-03-15	12300.0	1
state	IA	39	2023-01-15	2026-03-15	11330.0	1
state	ID	33	2023-07-15	2026-03-15	2080.0	1
state	IL	39	2023-01-15	2026-03-15	298230.0	1
state	IN	39	2023-01-15	2026-03-15	14260.0	1
state	KS	39	2023-01-15	2026-03-15	67310.0	1
state	KY	33	2023-07-15	2026-03-15	8040.0	1
state	LA	33	2023-07-15	2026-03-15	22610.0	1
state	MA	39	2023-01-15	2026-03-15	72090.0	1
state	MD	39	2023-01-15	2026-03-15	128620.0	1
state	ME	39	2023-01-15	2026-03-15	8570.0	1
state	MI	39	2023-01-15	2026-03-15	123120.0	1
state	MN	39	2023-01-15	2026-03-15	51860.0	1
state	MO	39	2023-01-15	2026-03-15	7700.0	1
state	MS	33	2023-07-15	2026-03-15	14150.0	1
state	MT	39	2023-01-15	2026-03-15	8120.0	1
state	NC	39	2023-01-15	2026-03-15	155290.0	1
state	ND	39	2023-01-15	2026-03-15	830.0	1
state	NE	39	2023-01-15	2026-03-15	10640.0	1
state	NH	39	2023-01-15	2026-03-15	8360.0	1
state	NJ	39	2023-01-15	2026-03-15	195490.0	1
state	NM	39	2023-01-15	2026-03-15	59450.0	1
state	NV	39	2023-01-15	2026-03-15	53320.0	1
state	NY	39	2023-01-15	2026-03-15	375790.0	1
state	OH	39	2023-01-15	2026-03-15	98420.0	1
state	OK	33	2023-07-15	2026-03-15	8930.0	1
state	OR	39	2023-01-15	2026-03-15	42560.0	1
state	PA	39	2023-01-15	2026-03-15	124250.0	1
state	RI	39	2023-01-15	2026-03-15	11120.0	1
state	SC	39	2023-01-15	2026-03-15	26670.0	1
state	SD	33	2023-07-15	2026-03-15	1010.0	1
state	States with total bans	39	2023-01-15	2026-03-15	215400.0	1
state	States without total bans	39	2023-01-15	2026-03-15	3389050.0	1
state	TN	33	2023-07-15	2026-03-15	17210.0	1
state	TX	33	2023-07-15	2026-03-15	99090.0	1
state	US	39	2023-01-15	2026-03-15	3604730.0	1
state	UT	39	2023-01-15	2026-03-15	16740.0	1
state	VA	39	2023-01-15	2026-03-15	124320.0	1
state	VT	39	2023-01-15	2026-03-15	4710.0	1
state	WA	39	2023-01-15	2026-03-15	76960.0	1
state	WI	39	2023-01-15	2026-03-15	18700.0	1
state	WV	33	2023-07-15	2026-03-15	1920.0	1
state	WY	39	2023-01-15	2026-03-15	2130.0	1
