ST	POP	MONTHS	Q1_23	Q1_24	Q1_25	Q1_26	H2_23	H2_24	H2_25	Q1_26_PER100K	Q1_24_PER100K
AK	733391	39	127.0	127.0	157.0	147.0	148.0	133.0	138.0	20.0	17.3
AL	5024279	33		407.0	577.0	687.0	287.0	492.0	655.0	13.7	8.1
AR	3011524	33		240.0	323.0	337.0	162.0	260.0	323.0	11.2	8.0
AZ	7151502	39	1027.0	1533.0	1567.0	1583.0	1290.0	1365.0	1478.0	22.1	21.4
CA	39538223	39	15480.0	16197.0	15850.0	15860.0	14667.0	14915.0	15125.0	40.1	41.0
CO	5773714	39	2237.0	2287.0	1970.0	1947.0	2185.0	1922.0	1882.0	33.7	39.6
CT	3605944	39	1257.0	1287.0	1283.0	1263.0	1243.0	1255.0	1235.0	35.0	35.7
DC	689545	39	663.0	630.0	760.0	667.0	558.0	755.0	655.0	96.7	91.4
DE	989948	39	290.0	330.0	357.0	353.0	287.0	325.0	340.0	35.7	33.3
FL	21538187	39	7397.0	8177.0	5750.0	5520.0	7268.0	5108.0	5400.0	25.6	38.0
GA	10711908	39	2653.0	2920.0	3200.0	3257.0	2745.0	2983.0	3207.0	30.4	27.3
HI	1455271	39	323.0	337.0	323.0	330.0	322.0	303.0	290.0	22.7	23.1
IA	3190369	39	377.0	377.0	240.0	233.0	350.0	243.0	240.0	7.3	11.8
ID	1839106	33		50.0	67.0	77.0	43.0	68.0	77.0	4.2	2.7
IL	12812508	39	7870.0	8240.0	7767.0	7957.0	7692.0	7463.0	7125.0	62.1	64.3
IN	6785528	39	640.0	253.0	367.0	370.0	272.0	307.0	378.0	5.5	3.7
KS	2937880	39	1417.0	2090.0	1967.0	1663.0	1723.0	1788.0	1602.0	56.6	71.1
KY	4505836	33		210.0	290.0	290.0	158.0	250.0	295.0	6.4	4.7
LA	4657757	33		567.0	833.0	867.0	413.0	648.0	852.0	18.6	12.2
MA	7029917	39	1810.0	1990.0	1877.0	1950.0	1850.0	1763.0	1863.0	27.7	28.3
MD	6177224	39	3367.0	3550.0	3353.0	3167.0	3288.0	3298.0	3168.0	51.3	57.5
ME	1362359	39	203.0	243.0	237.0	223.0	192.0	228.0	223.0	16.4	17.9
MI	10077331	39	3133.0	3320.0	3307.0	3367.0	3020.0	3090.0	3132.0	33.4	32.9
MN	5706494	39	1283.0	1370.0	1440.0	1260.0	1272.0	1427.0	1290.0	22.1	24.0
MO	6154913	39	0.0	160.0	293.0	313.0	140.0	218.0	310.0	5.1	2.6
MS	2961279	33		397.0	483.0	557.0	262.0	417.0	517.0	18.8	13.4
MT	1084225	39	190.0	213.0	220.0	210.0	220.0	207.0	208.0	19.4	19.7
NC	10439388	39	4143.0	4117.0	4227.0	4477.0	3567.0	3858.0	3935.0	42.9	39.4
ND	779094	39	0.0	17.0	30.0	30.0	17.0	28.0	32.0	3.9	2.1
NE	1961504	39	203.0	213.0	333.0	300.0	218.0	305.0	310.0	15.3	10.9
NH	1377529	39	197.0	237.0	227.0	213.0	203.0	223.0	205.0	15.5	17.2
NJ	9288994	39	5190.0	4957.0	5217.0	5353.0	4720.0	4885.0	5085.0	57.6	53.4
NM	2117522	39	1910.0	1727.0	1387.0	1440.0	1615.0	1365.0	1337.0	68.0	81.5
NV	3104614	39	1417.0	1550.0	1477.0	1337.0	1292.0	1395.0	1288.0	43.1	49.9
NY	20201249	39	9950.0	10327.0	10050.0	9233.0	9832.0	9323.0	9120.0	45.7	51.1
OH	11799448	39	2017.0	2547.0	2513.0	3260.0	2272.0	2510.0	2888.0	27.6	21.6
OK	3959353	33		210.0	327.0	357.0	163.0	265.0	328.0	9.0	5.3
OR	4237256	39	1010.0	1133.0	1127.0	1157.0	1043.0	1113.0	1127.0	27.3	26.7
PA	13002700	39	3113.0	3480.0	3373.0	3273.0	3195.0	3098.0	3113.0	25.2	26.8
RI	1097379	39	300.0	270.0	337.0	330.0	223.0	317.0	290.0	30.1	24.6
SC	5118425	39	1033.0	567.0	663.0	660.0	622.0	607.0	673.0	12.9	11.1
SD	886667	33		23.0	37.0	43.0	15.0	32.0	37.0	4.9	2.6
States with total bans		39	0.0	5807.0	7513.0	7907.0	4222.0	6585.0	7802.0		
States without total bans		39	87887.0	93323.0	90000.0	89447.0	85068.0	84093.0	85105.0		
TN	6910840	33		413.0	633.0	640.0	303.0	535.0	650.0	9.3	6.0
TX	29145505	33		2797.0	3427.0	3530.0	2070.0	2998.0	3517.0	12.1	9.6
US		39	87903.0	99133.0	97523.0	97377.0	89288.0	90673.0	92925.0		
UT	3271616	39	367.0	430.0	507.0	473.0	397.0	455.0	453.0	14.5	13.1
VA	8631393	39	2863.0	3447.0	3490.0	3460.0	2818.0	3193.0	3330.0	40.1	39.9
VT	643077	39	137.0	120.0	123.0	120.0	108.0	120.0	120.0	18.7	18.7
WA	7705281	39	1997.0	2097.0	2080.0	2080.0	1938.0	1902.0	1933.0	27.0	27.2
WI	5893718	39	0.0	533.0	690.0	720.0	268.0	570.0	692.0	12.2	9.0
WV	1793716	33		53.0	70.0	70.0	35.0	65.0	65.0	3.9	3.0
WY	576851	39	40.0	73.0	43.0	50.0	62.0	60.0	48.0	8.7	12.7
