DRUG	YR	N	LW	CN	PREV2
__tot		684170	506852	684616	
TARCEVA	2012	8456	0	3324	175.0
AVASTIN	2012	4797	1	617	384.0
TRACLEER	2010	3014	0	341	187.5
VIOXX	2005	3198	2836	178	709.0
GLIVEC	2012	2060	0	1980	31.0
DIANEAL	2010	2955	2	911	1172.0
BOSENTAN TABLET UNKNOWN US MG	2010	1433	0	144	
XELODA	2012	1630	0	652	283.0
GLEEVEC	2011	1837	0	370	501.0
EXJADE	2009	1415	0	81	88.5
ZEMPLAR	2013	1345	0	50	57.5
CLOZAPINE	2011	1278	0	107	166.5
DIANEAL LOW CALCIUM	2013	1630	1	1102	578.0
DIGOXIN	2008	1065	57	171	13.5
AVANDIA	2009	1284	80	1198	237.5
ENBREL	2013	1311	1	954	336.5
PRADAXA	2012	1406	0	224	475.0
DIANEAL	2009	1472	0	261	550.5
PRADAXA	2011	928	0	128	22.0
ERLOTINIB TABLET	2013	1421	0	816	516.0
REVLIMID	2011	2730	0	270	1841.5
AVANDIA	2011	2215	938	1156	1340.0
REMODULIN	2011	1188	1	97	343.5
RITUXAN	2012	835	0	104	64.5
REVLIMID	2010	2103	0	259	1333.0
PROLIA	2013	847	0	652	77.5
DIANEAL	2008	872	0	146	141.5
TRASYLOL	2009	820	818	327	107.5
ALPRAZOLAM	2013	1135	0	1	428.0
REMODULIN	2010	686	0	11	1.0
