ST	PEND	BILLED24	NPI_PRE2016	NPI_2025PLUS	IN_PECOS	IN_ORDERREFER	AVG_ENUM_YEAR
FL	1008	94	572	159	147	235	2013.9
CA	545	14	53	126	30	257	2021.3
TX	452	18	71	78	37	197	2020.1
NY	409	5	31	27	11	231	2020.8
(none)	361	0	0	0	0	149	
PA	335	5	26	117	21	146	2022.1
GA	294	16	67	93	41	119	2019.7
OH	257	3	13	64	18	146	2021.8
	215	8	0	0	0	12	
NC	206	9	33	62	29	97	2020.4
IL	203	5	23	71	14	131	2021.6
TN	194	12	39	75	23	61	2020.3
NJ	178	10	20	9	15	95	2020.2
AL	175	5	16	82	14	60	2022.4
PR	164	12	102	7	41	51	2012.1
VA	151	6	57	23	18	54	2017.4
MD	151	0	23	64	10	68	2021.5
MA	149	4	5	47	11	93	2022.3
MI	139	8	22	33	13	75	2020.3
SC	137	2	21	66	13	70	2021.3
WA	117	5	14	50	8	64	2022.0
AZ	114	5	16	54	7	48	2022.0
CO	98	7	20	34	16	39	2019.8
CT	95	3	8	27	4	64	2021.6
LA	93	4	6	33	10	38	2022.1
KY	82	5	13	22	8	43	2020.4
MO	80	3	11	19	14	44	2021.2
WI	66	3	2	18	6	47	2022.1
AR	65	5	8	18	7	36	2021.0
MS	62	2	10	26	4	20	2021.6
MN	58	2	7	20	4	35	2021.2
OK	56	2	5	8	3	27	2020.3
OR	49	4	8	15	6	22	2020.2
IN	48	3	11	21	7	13	2020.5
DC	47	0	5	4	0	28	2020.4
NV	47	4	9	21	9	18	2020.9
WV	40	1	10	4	4	12	2018.9
