K	V	N	OLD_NPI	X
city	MIAMI	100	37	
city	TAMPA	54	26	
city	JACKSONVILLE	46	27	
city	ORLANDO	39	25	
city	GAINESVILLE	39	10	
city	PENSACOLA	24	13	
city	BRADENTON	21	12	
city	SARASOTA	19	11	
city	HIALEAH	19	9	
city	BOCA RATON	19	11	
addr	1611 NW 12TH AVE 33136	23	2	
addr	17 DAVIS BLVD STE 308 33606	16	0	
addr	3100 SW 62ND AVE 33155	14	7	
addr	2950 CLEVELAND CLINIC BLVD 33331	9	3	
addr	11375 CORTEZ BLVD 34613	9	0	
addr	8201 W BROWARD BLVD 33324	9	0	
addr	2001 KINGSLEY AVE 32073	9	0	
addr	1600 SW ARCHER RD 32610	8	0	
addr_all	  	215	0	
addr_all	AL 625 19TH ST S 35233	80	0	
addr_all	CT 20 YORK ST 06510	34	2	
addr_all	PA 500 UNIVERSITY DR 17033	32	0	
addr_all	IL 2160 S 1ST AVE 60153	28	0	
addr_all	NC 2301 ERWIN RD 27705	28	0	
addr_all	PA 3400 SPRUCE ST 19104	25	1	
addr_all	SC 701 GROVE RD 29605	25	0	
upd_year	FL 2008	23	23	
upd_year	rest 2026	1818	61	
upd_year	FL 2016	29	25	
upd_year	FL 2021	33	13	
upd_year	rest 2018	66	23	
upd_year	PR 2015	5	5	
upd_year	FL 2020	48	30	
upd_year	PR 2016	4	4	
tax_FL_old	111N00000X	115		
tax_FL_old	207R00000X	42		
tax_FL_old	207Q00000X	34		
tax_FL_old	174400000X	28		
tax_FL_old	1223G0001X	26		
tax_FL_old	152W00000X	26		
tax_FL_old	208000000X	23		
tax_FL_old	122300000X	19		
upd_year	rest 2014	24	24	
upd_year	rest 2017	30	14	
upd_year	FL 2025	74	24	
upd_year	rest 2012	32	32	
upd_year	rest 2008	22	22	
upd_year	PR 2026	20	4	
upd_year	FL 2012	31	31	
upd_year	rest 2010	18	18	
upd_year	PR 2012	4	4	
upd_year	PR 2021	2	1	
upd_year	FL 2011	49	49	
upd_year	FL 2026	199	16	
upd_year	rest 2015	34	34	
upd_year	FL 2009	29	29	
upd_year	FL 2019	10	6	
upd_year	PR 2022	5	1	
upd_year	PR 2024	7	1	
upd_year	rest 2019	120	31	
upd_year	rest 2007	113	113	
upd_year	rest 2016	43	33	
upd_year	FL 2015	24	24	
upd_year	PR 2010	16	16	
upd_year	rest 2013	31	31	
upd_year	PR 2007	27	27	
upd_year	FL 2013	26	26	
upd_year	FL 2014	21	21	
upd_year	PR 2008	2	2	
upd_year	rest 2025	654	46	
upd_year	rest 2011	20	20	
upd_year	rest 2009	25	25	
upd_year	PR 2009	6	6	
upd_year	PR 2020	5	3	
upd_year	PR 2014	1	1	
upd_year	rest 2024	473	51	
upd_year	rest 2022	543	45	
upd_year	PR 2025	20	2	
upd_year	FL 2017	16	13	
upd_year	PR 2011	9	9	
upd_year	FL 2018	31	22	
upd_year	FL 2007	90	90	
upd_year	rest 2023	901	40	
upd_year	rest 2021	330	37	
upd_year	FL 2010	68	68	
upd_year	rest 2020	195	23	
upd_year	FL 2023	93	19	
upd_year	FL 2024	53	17	
upd_year	FL 2022	61	26	
upd_year	PR 2019	3	2	
upd_year	PR 2017	6	5	
upd_year	PR 2018	2	1	
upd_year	PR 2023	13	1	
upd_year	PR 2013	7	7	
