K	BRAND	V	CASES	WITH_IND	CANCER	NAMED_NONCANCER	GENERIC_PAIN	UNKNOWN
all	ABSTRAL	PROSTRAKAN	44	39	2	7	15	18
all	ACTIQ	TEVA	1346	777	100	420	259	51
all	FENTORA	TEVA	963	662	95	390	179	40
all	LAZANDA	DEPOMED	22	17	1	1	2	13
all	ONSOLIS	MEDA PHARMACEUTICALS	114	80	68	4	11	1
all	SUBSYS	INSYS	62	43	33	4	6	0
top	ACTIQ	ARTHRALGIA	18					
top	ACTIQ	BACK PAIN	123					
top	ACTIQ	BREAKTHROUGH PAIN	74					
top	ACTIQ	CANCER PAIN	79					
top	ACTIQ	FIBROMYALGIA	26					
top	ACTIQ	MIGRAINE	42					
top	ACTIQ	NECK PAIN	25					
top	ACTIQ	NEURALGIA	22					
top	ACTIQ	PAIN	178					
top	ACTIQ	PRODUCT USED FOR UNKNOWN INDICATION	40					
top	FENTORA	BACK PAIN	116					
top	FENTORA	BREAKTHROUGH PAIN	62					
top	FENTORA	CANCER PAIN	65					
top	FENTORA	COMPLEX REGIONAL PAIN SYNDROME	28					
top	FENTORA	FIBROMYALGIA	19					
top	FENTORA	MIGRAINE	55					
top	FENTORA	NECK PAIN	24					
top	FENTORA	NEURALGIA	21					
top	FENTORA	PAIN	119					
top	FENTORA	PRODUCT USED FOR UNKNOWN INDICATION	39					
top	SUBSYS	ARTHRALGIA	1					
top	SUBSYS	BREAKTHROUGH PAIN	3					
top	SUBSYS	CANCER PAIN	26					
top	SUBSYS	COLON CANCER	1					
top	SUBSYS	METASTATIC BREAST CANCER	1					
top	SUBSYS	NEOPLASM MALIGNANT	4					
top	SUBSYS	NEPHROLITHIASIS	1					
top	SUBSYS	OSTEOMYELITIS	2					
top	SUBSYS	PAIN	3					
top	SUBSYS	PROSTATE CANCER	1					
yr	ABSTRAL	2010	1	1	0	0	1	0
yr	ABSTRAL	2011	11	10	0	1	6	3
yr	ABSTRAL	2012	6	5	0	3	3	2
yr	ABSTRAL	2013	25	22	2	3	5	12
yr	ABSTRAL	2014	1	1	0	0	0	1
yr	ACTIQ	2004	58	26	1	21	4	2
yr	ACTIQ	2005	89	33	6	15	14	1
yr	ACTIQ	2006	82	41	3	24	17	2
yr	ACTIQ	2007	157	66	16	32	24	2
yr	ACTIQ	2008	125	104	7	75	28	0
yr	ACTIQ	2009	140	102	27	57	21	1
yr	ACTIQ	2010	89	66	9	40	14	3
yr	ACTIQ	2011	74	55	9	30	20	1
yr	ACTIQ	2012	209	116	12	74	38	1
yr	ACTIQ	2013	214	105	7	34	60	11
yr	ACTIQ	2014	109	63	3	18	19	27
yr	FENTORA	2006	1	1	0	0	1	0
yr	FENTORA	2007	40	26	5	15	10	0
yr	FENTORA	2008	150	136	21	95	33	0
yr	FENTORA	2009	150	125	18	94	20	0
yr	FENTORA	2010	119	105	15	71	24	1
yr	FENTORA	2011	86	69	7	46	19	0
yr	FENTORA	2012	129	67	10	26	31	2
yr	FENTORA	2013	159	72	13	25	35	3
yr	FENTORA	2014	129	61	6	18	6	34
yr	LAZANDA	2012	2	1	0	0	0	1
yr	LAZANDA	2013	10	10	1	0	2	7
yr	LAZANDA	2014	10	6	0	1	0	5
yr	ONSOLIS	2009	11	3	0	2	1	0
yr	ONSOLIS	2010	82	58	53	2	4	0
yr	ONSOLIS	2011	21	19	15	0	6	1
yr	SUBSYS	2012	4	4	4	0	0	0
yr	SUBSYS	2013	29	28	25	2	1	0
yr	SUBSYS	2014	29	11	4	2	5	0
