DRUG	Q	CASES	DEATH_CASES	HAS_MFR_DT	MED_DAYS_MFR_TO_FDA	OVER_15D	OVER_1YR	EARLIEST_MFR	LATEST_FDA
AVANDIA	2010q2	2551	457	2547	7.000	3	1	2009-06-14	2010-06-30
AVANDIA	2010q4	2560	699	2551	7.000	17	1	2009-01-27	2010-12-29
AVANDIA	2011q2	2422	668	2415	10.000	1025	90	2008-10-27	2011-06-30
AVANDIA	2011q3	2797	740	2795	15.000	1381	108	2001-06-27	2011-09-30
AVANDIA	2012q1	1982	340	1980	7.000	668	104	2009-03-18	2012-03-30
AVANDIA	2012q4	1419	307	1418	10.000	289	45	2007-04-19	2012-12-28
AVANDIA	2013q3	4321	601	4320	234.000	2525	1296	2008-04-30	2013-09-30
AVANDIA	2014q2	25352	676	25352	100.000	24508	38	2009-05-26	2014-06-30
AVASTIN	2010q2	316	92	304	8.000	17	0	2010-01-29	2010-06-30
AVASTIN	2010q4	570	193	557	10.000	139	94	2006-02-24	2010-12-30
AVASTIN	2011q2	316	87	301	8.000	15	3	2009-02-06	2011-06-30
AVASTIN	2011q3	288	75	276	8.000	7	2	2010-01-29	2011-09-30
AVASTIN	2012q1	1184	716	1183	15.000	567	411	2005-04-27	2012-03-30
AVASTIN	2012q4	4243	3648	4225	253.000	3274	1584	2000-03-18	2012-12-28
AVASTIN	2013q3	638	345	633	5.000	163	85	2008-07-14	2013-09-30
AVASTIN	2014q2	481	179	475	6.000	68	33	2011-05-23	2014-06-30
GLEEVEC	2010q2	523	159	515	12.000	42	11	2003-06-13	2010-06-30
GLEEVEC	2010q4	467	152	466	12.000	33	17	2007-06-05	2010-12-31
GLEEVEC	2011q2	1501	1080	1497	1086.000	942	892	2003-05-23	2011-06-30
GLEEVEC	2011q3	665	284	664	10.000	103	65	2007-09-27	2011-09-30
GLEEVEC	2012q1	1581	389	1579	379.000	935	807	2002-10-21	2012-03-31
GLEEVEC	2012q4	240	80	238	6.000	7	2	2009-10-08	2012-12-31
GLEEVEC	2013q3	414	45	403	127.000	229	47	2010-05-11	2013-09-30
GLEEVEC	2014q2	121	44	110	5.500	6	2	2006-09-05	2014-06-30
GLIVEC	2010q4	49	31	49	7.000	4	0	2010-01-14	2010-12-08
GLIVEC	2012q4	2256	2060	2256	2238.500	1729	1696	2003-11-18	2012-12-31
GLIVEC	2013q3	333	201	333	3.000	13	0	2013-01-22	2013-09-30
GLIVEC	2014q2	657	523	657	4.000	15	4	2012-05-03	2014-06-30
HERCEPTIN	2010q2	115	20	110	8.000	11	0	2010-01-13	2010-06-30
HERCEPTIN	2010q4	300	85	296	333.000	170	147	2002-11-05	2010-12-30
HERCEPTIN	2011q2	115	9	113	8.000	2	0	2010-09-28	2011-06-30
HERCEPTIN	2011q3	97	13	94	8.000	1	0	2011-06-21	2011-09-29
HERCEPTIN	2012q1	248	54	248	9.000	41	13	2007-05-16	2012-03-30
HERCEPTIN	2012q4	777	512	770	260.000	528	305	1998-10-01	2012-12-31
HERCEPTIN	2013q3	351	116	350	4.000	54	14	2010-09-08	2013-09-30
HERCEPTIN	2014q2	276	50	276	6.000	20	13	2009-07-03	2014-06-30
RITUXAN	2010q2	101	16	84	7.000	4	0	2009-06-30	2010-06-30
RITUXAN	2010q4	74	16	63	8.000	2	1	2009-05-18	2010-12-30
RITUXAN	2011q2	240	43	228	9.000	6	1	2010-02-09	2011-06-30
RITUXAN	2011q3	97	16	95	8.000	5	1	2009-03-23	2011-09-29
RITUXAN	2012q1	163	104	162	14.000	76	49	2007-05-09	2012-03-29
RITUXAN	2012q4	915	694	902	270.000	768	374	1997-12-05	2012-12-26
RITUXAN	2013q3	197	45	191	3.000	8	1	2011-08-10	2013-09-30
RITUXAN	2014q2	224	21	216	4.000	3	0	2014-03-06	2014-06-30
TARCEVA	2010q2	139	45	126	15.000	39	0	2010-03-18	2010-06-30
TARCEVA	2010q4	177	77	169	16.000	100	22	2007-01-19	2010-12-29
