CLS	NOT_DX	IP	CASES	ACTIQ	FENTORA	HP_PRE2012
named_noncancer	0	BACK PAIN	232	123	116	75
named_noncancer	0	MIGRAINE	96	42	55	27
named_noncancer	0	NECK PAIN	48	25	24	14
named_noncancer	0	FIBROMYALGIA	44	26	19	9
named_noncancer	0	NEURALGIA	41	22	21	7
named_noncancer	0	COMPLEX REGIONAL PAIN SYNDROME	36	11	28	5
named_noncancer	0	HEADACHE	33	15	18	4
named_noncancer	0	PAIN IN EXTREMITY	30	16	14	9
named_noncancer	0	ARTHRALGIA	27	18	11	12
named_noncancer	0	CROHN'S DISEASE	21	10	11	1
named_noncancer	0	ABDOMINAL PAIN	21	16	5	3
named_noncancer	0	SYSTEMIC LUPUS ERYTHEMATOSUS	16	6	11	1
named_noncancer	0	NEUROPATHY PERIPHERAL	15	4	11	2
named_noncancer	0	RHEUMATOID ARTHRITIS	15	6	10	6
named_noncancer	0	TRIGEMINAL NEURALGIA	13	8	5	2
named_noncancer	0	BONE PAIN	11	4	7	3
named_noncancer	1	PROCEDURAL PAIN	11	6	5	4
named_noncancer	0	ARTHRITIS	10	5	5	1
named_noncancer	0	ABDOMINAL PAIN UPPER	10	5	5	2
named_noncancer	0	MUSCULOSKELETAL PAIN	8	7	1	3
named_noncancer	0	PANCREATITIS CHRONIC	8	2	6	2
named_noncancer	0	INTERVERTEBRAL DISC DEGENERATION	7	2	5	4
named_noncancer	0	PROCTALGIA	7	7	0	1
named_noncancer	0	INTERVERTEBRAL DISC PROTRUSION	6	3	3	1
named_noncancer	0	CLUSTER HEADACHE	6	3	3	0
named_noncancer	0	OSTEOARTHRITIS	6	3	3	0
named_noncancer	0	SCIATICA	6	5	1	3
named_noncancer	0	NERVE INJURY	6	6	0	3
named_noncancer	0	ARTHROPATHY	5	5	0	3
named_noncancer	0	GASTROINTESTINAL PAIN	5	1	4	0
named_noncancer	0	POST LAMINECTOMY SYNDROME	5	3	2	3
named_noncancer	0	SPINAL CORD INJURY	5	4	1	3
named_noncancer	0	INTERVERTEBRAL DISC DISORDER	4	1	3	2
named_noncancer	0	PELVIC PAIN	4	3	1	2
named_noncancer	0	MULTIPLE SCLEROSIS	4	1	3	0
named_noncancer	0	GUILLAIN-BARRE SYNDROME	4	0	4	0
named_noncancer	0	SURGERY	4	3	1	3
named_noncancer	1	OFF LABEL USE	4	3	1	0
named_noncancer	0	MUSCULAR DYSTROPHY	4	4	0	2
named_noncancer	0	BACK DISORDER	4	3	1	0
named_noncancer	0	MYALGIA	4	2	2	2
named_noncancer	0	SPINAL COLUMN STENOSIS	4	1	3	2
named_noncancer	0	MALABSORPTION	4	2	2	0
named_noncancer	0	NEUROPATHY	3	3	0	1
named_noncancer	0	NEPHROLITHIASIS	3	1	2	1
named_noncancer	0	CHEST PAIN	3	2	1	0
named_noncancer	0	MUSCLE SPASMS	3	1	2	1
named_noncancer	0	BACK INJURY	3	2	1	0
named_noncancer	0	PANCREATITIS	3	2	1	0
named_noncancer	0	OSTEOPOROSIS	3	2	1	0
named_noncancer	0	ANKYLOSING SPONDYLITIS	3	3	0	2
named_noncancer	0	ADENOMYOSIS	3	2	3	0
named_noncancer	0	SPINAL DISORDER	2	1	1	0
named_noncancer	0	MUSCLE ATROPHY	2	2	0	0
named_noncancer	0	STIFF-MAN SYNDROME	2	2	0	1
named_noncancer	0	DENTAL DISCOMFORT	2	2	0	0
named_noncancer	0	CYSTITIS INTERSTITIAL	2	0	2	1
named_noncancer	0	SPINAL PAIN	2	2	0	0
named_noncancer	0	SPINAL OSTEOARTHRITIS	2	0	2	1
named_noncancer	0	FACIAL PAIN	2	2	0	1
