K	V	N	N2
q	2011q1	20	1
q	2010q3	16	0
q	2006q1	3	0
q	2012q3	3	0
q_all	2010q3	36	16
q_all	2011q1	42	20
q_all	2012q3	15	3
q_all	2006q1	7	3
snd	CEPHALON	274	5
snd	CEPHALON, INC.	234	3
snd	TEVA	182	6
snd		13	0
snd	ALZA CORPORATION	8	0
snd	PURDUE	7	0
snd	ORTHO-MCNEIL-JANSSEN PHARMACEUTICALS, INC.	5	0
snd	PFIZER INC	4	0
snd	JOHNSON + JOHNSON PHARMACEUTICAL R+D	4	0
snd	ROCHE	4	0
snd	COVIDIEN	4	0
snd	ROXANE LABORATORIES, INC.	3	0
yr_who_nc	2010 HP	30	
yr_who_nc	2007 CN	24	
yr_who_nc	2004 CN	6	
yr_who_nc	2005 HP	9	
yr_who_nc	2010 LW	2	
yr_who_ca	2004 CN	1	
yr_who_ca	2007 CN	6	
yr_who_ca	2010 HP	12	
yr_who_ca	2005 HP	5	
neardup	nc cases w event date; in groups sharing age+sex+evt+ctry	393	67
q	2009q3	26	0
q	2012q1	10	0
q_all	2012q1	26	10
q_all	2009q3	58	26
yr_who_nc	2005 blank	1	
yr_who_nc	2012 HP	25	
yr_who_nc	2007 blank	4	
yr_who_ca	2012 HP	10	
ctry	NL	1	0
ctry	UNITED KINGDOM	6	0
q	2010q4	34	2
q	2008q4	41	1
q	2007q4	21	0
q	2010q2	30	1
q	2009q1	37	1
q	2004q4	4	0
q	2004q3	4	0
q	2006q3	3	0
q_all	2009q1	63	37
q_all	2007q4	43	21
q_all	2010q2	55	30
q_all	2010q4	48	34
q_all	2014q1	101	0
q_all	2008q4	78	41
q_all	2004q4	16	4
q_all	2006q3	11	3
q_all	2004q3	10	4
yr_who_nc	2014 blank	1	
yr_who_nc	2011 HP	29	
yr_who_nc	2010 CN	70	
yr_who_nc	2009 blank	18	
yr_who_nc	2014 CN	25	
yr_who_ca	2010 CN	12	
yr_who_ca	2011 HP	7	
yr_who_ca	2014 CN	4	
q	2013q1	13	0
q	2008q2	54	0
q	2008q1	27	0
q	2008q3	44	1
q	2011q2	27	1
q_all	2008q2	77	54
q_all	2011q2	47	27
q_all	2008q3	71	44
q_all	2013q1	83	13
q_all	2008q1	43	27
rept	PER	153	4
yr_who_nc	2004 blank	1	
yr_who_nc	2009 CN	94	
yr_who_nc	2008 HP	63	
yr_who_nc	2009 HP	36	
yr_who_ca	2009 HP	27	
yr_who_ca	2009 CN	15	
yr_who_ca	2008 HP	15	
ctry	ITALY	1	0
ctry	PR	1	0
ctry	FRANCE	19	0
ctry	GERMANY	5	0
ctry	IRELAND	2	0
q	2009q2	38	0
q	2013q2	35	1
q	2010q1	22	0
q	2012q2	76	3
q	2007q1	8	0
q	2013q3	4	0
q	2013q4	6	0
q_all	2009q2	67	38
q_all	2013q4	64	6
q_all	2013q2	159	35
q_all	2012q2	228	76
q_all	2007q1	17	8
q_all	2010q1	59	22
q_all	2013q3	60	4
q_all	2005q4	16	0
yr_who_nc	2011 LW	1	
yr_who_nc	2006 HP	13	
yr_who_nc	2008 CN	87	
yr_who_nc	2008 LW	11	
yr_who_nc	2005 CN	5	
yr_who_ca	2005 CN	1	
yr_who_ca	2006 HP	3	
yr_who_ca	2008 CN	13	
ctry	ES	2	0
q	2006q2	11	0
q	2007q2	13	0
q	2004q2	4	0
q	2006q4	7	0
q	2011q4	17	0
q	2005q3	4	0
q_all	2006q2	49	11
q_all	2007q2	40	13
q_all	2006q4	16	7
q_all	2005q3	24	4
q_all	2004q2	17	4
q_all	2011q4	36	17
rept	DIR	13	0
yr_who_nc	2013 CN	42	
yr_who_nc	2011 CN	45	
yr_who_nc	2004 HP	14	
yr_who_nc	2014 HP	8	
yr_who_nc	2013 HP	16	
yr_who_nc	2008 blank	5	
yr_who_ca	2013 CN	8	
yr_who_ca	2013 HP	12	
yr_who_ca	2011 CN	9	
yr_who_ca	2014 HP	4	
ctry	FR	1	0
ctry	US	101	3
q	2012q4	10	0
q	2004q1	9	0
q	2014q2	34	2
q_all	2012q4	67	10
q_all	2014q2	131	34
q_all	2004q1	15	9
yr_who_nc	2011 blank	1	
yr_who_nc	2012 CN	74	
yr_who_ca	2012 CN	12	
ctry	NETHERLANDS	1	0
ctry	UNITED STATES	609	11
ctry	SPAIN	5	0
q	2011q3	12	0
q	2009q4	47	0
q	2005q1	6	0
q	2005q2	5	0
q	2007q3	5	0
q_all	2007q3	97	5
q_all	2005q2	18	5
q_all	2005q1	31	6
q_all	2009q4	93	47
q_all	2011q3	33	12
rept	EXP	624	10
yr_who_nc	2007 HP	19	
yr_who_nc	2006 CN	11	
yr_who_ca	2007 HP	15	
ctry	GB	1	0
ctry	NORWAY	1	0
ctry	(null)	34	0
