BRAND	Q	OCC	SND	REPT	CASES	CA	MFR_PAT
ONSOLIS	2009q4	MD	MEDA PHARMACEUTICALS	EXP	4	0	9
ONSOLIS	2009q4	OT	MEDA PHARMACEUTICALS	EXP	1	0	9
ONSOLIS	2009q4	PH	MEDA PHARMACEUTICALS	EXP	3	0	9
ONSOLIS	2009q4	blank	MEDA PHARMACEUTICALS	EXP	3	0	9
ONSOLIS	2010q1	CN	MEDA PHARMACEUTICALS	EXP	1	0	9
ONSOLIS	2010q1	MD	MED PHARMACEUTICALS	EXP	1	0	9
ONSOLIS	2010q1	MD	MEDA PHARMACEUTICALS	EXP	4	2	9
ONSOLIS	2010q1	OT	MEDA PHARMACEUTICALS	EXP	9	5	9
ONSOLIS	2010q1	PH	MEDA PHARMACEUTICALS	EXP	1	0	9
ONSOLIS	2010q1	blank	MEDA PHARMACEUTICALS	EXP	9	3	9
ONSOLIS	2010q2	MD	MEDA PHARMACEUTICALS	EXP	3	1	9
ONSOLIS	2010q2	OT	MEDA PHARMACEUTICALS	EXP	4	2	9
ONSOLIS	2010q2	PH	MEDA PHARMACEUTICALS	EXP	3	0	9
ONSOLIS	2010q2	blank	MEDA PHARMACEUTICALS	EXP	2	0	9
ONSOLIS	2010q2	blank	MED PHARMACEUTICALS	EXP	1	0	9
ONSOLIS	2010q3	CN	MEDA PHARMACEUTICALS	EXP	1	1	9
ONSOLIS	2010q3	MD	MEDA PHARMACEUTICALS	EXP	5	5	9
ONSOLIS	2010q3	MD	MEDA PHARMACEUTICALS	PER	1	1	9
ONSOLIS	2010q3	OT	MEDA PHARMACEUTICALS	EXP	12	11	9
ONSOLIS	2010q3	PH	MEDA PHARMACEUTICAL	EXP	1	0	9
ONSOLIS	2010q3	PH	MEDA PHARMACEUTICALS	EXP	2	1	9
ONSOLIS	2010q3	blank	MEDA PHARMACEUTICALS	EXP	4	4	9
ONSOLIS	2010q4	MD	MEDA PHARMACEUTICALS	EXP	3	3	9
ONSOLIS	2010q4	OT	MEDA PHARMACEUTICALS	EXP	8	8	9
ONSOLIS	2010q4	PH	MEDA PHARMACEUTICALS	EXP	1	1	9
ONSOLIS	2010q4	blank	MEDA PHARMACEUTICALS	EXP	6	5	9
ONSOLIS	2011q1	MD	MEDA PHARMACEUTICALS	EXP	1	1	9
ONSOLIS	2011q1	OT	MEDA PHARMACEUTICALS	EXP	6	5	9
ONSOLIS	2011q1	blank	MEDA PHARMACEUTICALS	EXP	2	2	9
ONSOLIS	2011q2	MD	MEDA PHARMACEUTICALS	EXP	3	2	9
ONSOLIS	2011q2	OT	MEDA PHARMACEUTICALS	EXP	4	2	9
ONSOLIS	2011q2	PH	MEDA PHARMACEUTICALS	EXP	1	1	9
ONSOLIS	2011q2	blank	MEDA PHARMACEUTICALS	EXP	2	0	9
ONSOLIS	2011q4	OT	MEDA PHARMACEUTICALS	EXP	2	2	9
SUBSYS	2012q3	OT	INSYS THERAPEUTICS, INC.	EXP	1	1	9
SUBSYS	2012q3	OT	INTERCHEM CORPORATION	EXP	1	1	9
SUBSYS	2012q4	MD	INSYS	EXP	2	2	9
SUBSYS	2013q1	RN	INSYS	EXP	1	1	9
SUBSYS	2013q2	MD	INSYS	EXP	3	2	9
SUBSYS	2013q2	RN	INSYS	EXP	1	1	9
SUBSYS	2013q2	blank	INSYS	EXP	1	1	9
SUBSYS	2013q3	CN	INSYS	EXP	1	0	9
SUBSYS	2013q3	MD	INSYS	EXP	1	1	9
SUBSYS	2013q4	CN	INSYS	EXP	1	1	9
SUBSYS	2013q4	MD	INSYS	EXP	10	9	9
SUBSYS	2013q4	OT	INSYS	EXP	4	3	9
SUBSYS	2013q4	RN	INSYS	EXP	3	3	9
SUBSYS	2013q4	blank	INSYS	EXP	3	3	9
SUBSYS	2014q1	MD		DIR	1	0	
SUBSYS	2014q1	MD	INSYS	PER	1	0	9
SUBSYS	2014q1	MD	INSYS	EXP	5	0	9
SUBSYS	2014q1	blank	INSYS	EXP	3	0	9
SUBSYS	2014q2	CN	INSYS	EXP	1	0	INS9-9
SUBSYS	2014q2	MD	TEVA	EXP	1	0	US-TEVA-9USA
SUBSYS	2014q2	MD	INSYS	EXP	4	0	INS9-9
SUBSYS	2014q2	OT	INSYS	EXP	10	3	INS9-9
SUBSYS	2014q2	blank	INSYS	EXP	3	1	INS9-9
