T	K	Q	N	N_MFR	Y1	PCT_Y1
grp	ALL OTHER	2012q2	162414	156441	6577	4.20
grp	ALL OTHER	2012q3	102927	98349	2941	2.99
grp	ALL OTHER	2012q4	197899	187942	3119	1.66
grp	ALL OTHER	2013q1	201379	194104	7520	3.87
grp	ALL OTHER	2013q2	148986	141757	2368	1.67
grp	ASTELLAS	2012q2	1519	1519	8	0.53
grp	ASTELLAS	2012q3	1159	1159	17	1.47
grp	ASTELLAS	2012q4	10681	10680	5200	48.69
grp	ASTELLAS	2013q1	2101	2101	141	6.71
grp	ASTELLAS	2013q2	3988	3988	66	1.65
grp	NOVARTIS	2012q2	13580	13575	2887	21.27
grp	NOVARTIS	2012q3	7416	7416	319	4.30
grp	NOVARTIS	2012q4	13535	13534	2364	17.47
grp	NOVARTIS	2013q1	12410	12389	390	3.15
grp	NOVARTIS	2013q2	10973	10955	210	1.92
grp	ROCHE/GNE	2012q2	8019	8018	227	2.83
grp	ROCHE/GNE	2012q3	6019	6019	970	16.12
grp	ROCHE/GNE	2012q4	16273	16273	4276	26.28
grp	ROCHE/GNE	2013q1	7126	7126	154	2.16
grp	ROCHE/GNE	2013q2	7817	7817	412	5.27
grp	TOTAL	2012q2	185532	179553	9699	5.40
grp	TOTAL	2012q3	117521	112943	4247	3.76
grp	TOTAL	2012q4	238388	228429	14959	6.55
grp	TOTAL	2013q1	223016	215720	8205	3.80
grp	TOTAL	2013q2	171764	164517	3056	1.86
snd	AMGEN	2012q3	1	0	0	
snd	AMGEN	2012q4	29576	29575	1606	5.43
snd	AMGEN	2013q1	8544	8544	108	1.26
snd	AMGEN	2013q2	10087	10087	101	1.00
snd	ASTELLAS	2012q2	1495	1495	4	0.27
snd	ASTELLAS	2012q3	1134	1134	13	1.15
snd	ASTELLAS	2012q4	10681	10680	5200	48.69
snd	ASTELLAS	2013q1	2101	2101	141	6.71
snd	ASTELLAS	2013q2	3988	3988	66	1.65
snd	ASTRAZENECA	2012q4	11680	11680	38	0.33
snd	ASTRAZENECA	2013q1	4370	4370	9	0.21
snd	ASTRAZENECA	2013q2	4721	4721	49	1.04
snd	BAYER	2012q4	10416	10416	46	0.44
snd	BAYER	2013q1	6885	6885	1	0.01
snd	BAYER	2013q2	7180	7180	19	0.26
snd	BRISTOL MYERS SQUIBB	2012q4	4695	4695	277	5.90
snd	BRISTOL MYERS SQUIBB	2013q1	5852	5852	512	8.75
snd	BRISTOL MYERS SQUIBB	2013q2	2992	2992	25	0.84
snd	CUBIST	2012q4	458	454	48	10.57
snd	CUBIST	2013q1	83	83	2	2.41
snd	CUBIST	2013q2	65	65	2	3.08
snd	ELI LILLY AND CO	2012q4	5241	5241	50	0.95
snd	ELI LILLY AND CO	2013q1	5086	5083	1442	28.37
snd	ELI LILLY AND CO	2013q2	3189	3187	140	4.39
snd	GLAXOSMITHKLINE	2012q2	6435	6435	276	4.29
snd	GLAXOSMITHKLINE	2012q3	3536	3536	122	3.45
snd	GLAXOSMITHKLINE	2012q4	6260	6258	271	4.33
snd	GLAXOSMITHKLINE	2013q1	6730	6730	684	10.16
snd	GLAXOSMITHKLINE	2013q2	5040	5040	269	5.34
snd	GUTHY-RENKER	2012q4	81	79	43	54.43
snd	GUTHY-RENKER	2013q1	51	51	1	1.96
snd	GUTHY-RENKER	2013q2	67	67	0	0.00
snd	JHP	2012q2	18	18	0	0.00
snd	JHP	2012q3	32	32	1	3.13
snd	JHP	2012q4	342	342	107	31.29
snd	JHP	2013q1	51	51	1	1.96
snd	JHP	2013q2	34	34	0	0.00
snd	MYLAN	2012q4	1669	1669	36	2.16
snd	MYLAN	2013q1	2197	2197	198	9.01
snd	MYLAN	2013q2	2121	2121	76	3.58
snd	NOVARTIS	2012q4	13535	13534	2364	17.47
snd	NOVARTIS	2013q1	12393	12372	387	3.13
snd	NOVARTIS	2013q2	10973	10955	210	1.92
snd	PFIZER	2012q4	19746	19745	71	0.36
snd	PFIZER	2013q1	15101	15101	4	0.03
snd	PFIZER	2013q2	16668	16668	16	0.10
snd	ROCHE	2012q2	8017	8017	227	2.83
snd	ROCHE	2012q3	6019	6019	970	16.12
snd	ROCHE	2012q4	16270	16270	4276	26.28
snd	ROCHE	2013q1	7125	7125	153	2.15
snd	ROCHE	2013q2	7817	7817	412	5.27
snd	TEVA	2012q2	6223	6223	2103	33.79
snd	TEVA	2012q3	3365	3365	1228	36.49
snd	TEVA	2012q4	4789	4789	192	4.01
snd	TEVA	2013q1	3684	3684	10	0.27
snd	TEVA	2013q2	3928	3928	20	0.51
