S15 Reset test: HCRIS non-acute (subprovider) beds at parent hospitals before vs after each new IRF unit date: 159 rows, 1.2s
STATE | CCN | CD | UNIT_BEDS | PSYCH_BEDS | HCRIS_REPORTS | LAST_FYE | SUB_BEDS_3Y_BEFORE | SUB_BEDS_AFTER_1Y
AK | 02TA01 | 2020-01-01 | None | None | 0 | None | None | None
AR | 04T154 | 2020-01-01 | 8 | 0 | 8 | 2023-12-31 | 0 | 12
AR | 04T088 | 2023-07-01 | 20 | 0 | 13 | 2024-06-30 | 16.7 | None
AR | 04T051 | 2023-12-03 | 1 | 11 | 14 | 2023-12-02 | 11 | None
AZ | 03T043 | 2024-08-01 | 10 | 19 | 13 | 2024-04-30 | 19 | None
CA | 05TA46 | 2024-01-14 | None | None | 0 | None | None | None
CO | 06T129 | 2019-07-01 | 18 | 0 | 7 | 2024-06-30 | 0 | 18
CO | 06T022 | 2020-07-01 | 22 | 0 | 14 | 2024-06-30 | 22 | 22
CO | 06TA09 | 2021-09-01 | None | None | 0 | None | None | None
CO | 06T112 | 2023-07-01 | 1 | 0 | 13 | 2024-06-30 | 0 | None
FL | 10T034 | 2021-01-01 | 46 | 62 | 13 | 2023-12-31 | 116 | 116
FL | 10T213 | 2021-05-01 | 28 | 0 | 13 | 2024-04-30 | 28 | 28
FL | 10T167 | 2021-09-01 | 25 | 32 | 13 | 2024-08-31 | 66.3 | 57
FL | 10T226 | 2022-01-01 | 42 | 24 | 13 | 2024-06-30 | 44 | 44.5
FL | 10T231 | 2022-06-01 | 58 | 0 | 13 | 2024-05-31 | 41 | 58
FL | 10T243 | 2022-12-21 | 24 | 0 | 13 | 2023-12-31 | 20.3 | 24
FL | 10T131 | 2023-01-01 | 26 | 56 | 13 | 2023-12-31 | 48 | None
FL | 10T242 | 2023-02-01 | 20 | 0 | 13 | 2024-01-31 | 0 | None
FL | 10T248 | 2023-03-01 | 30 | 71 | 13 | 2024-02-29 | 101 | None
FL | 10T256 | 2023-03-01 | 30 | 0 | 13 | 2024-02-29 | 0 | None
FL | 10TA24 | 2023-04-01 | None | None | 0 | None | None | None
FL | 10T038 | 2023-05-01 | 89 | 51 | 13 | 2024-04-30 | 152.3 | None
FL | 10T080 | 2023-07-01 | 42 | 123 | 13 | 2024-06-30 | 76.3 | None
FL | 10T073 | 2023-07-01 | 48 | 0 | 14 | 2024-06-30 | 48 | None
FL | 10TA27 | 2023-09-01 | None | None | 0 | None | None | None
FL | 10TA09 | 2023-09-01 | None | None | 0 | None | None | None
FL | 10TA15 | 2023-09-01 | None | None | 0 | None | None | None
FL | 10T246 | 2023-10-01 | 50 | 36 | 13 | 2023-09-30 | 72 | None
FL | 10T258 | 2024-01-01 | 90 | 66 | 13 | 2023-12-31 | 160 | None
FL | 10T007 | 2024-01-01 | 60 | 10 | 13 | 2023-12-31 | 105.7 | None
FL | 10T086 | 2024-07-01 | 30 | 0 | 13 | 2024-06-30 | 30 | None
FL | 10T022 | 2024-10-01 | 90 | 208 | 13 | 2023-09-30 | 214 | None
FL | 10T002 | 2024-10-01 | 36 | 0 | 13 | 2023-09-30 | 35.5 | None
FL | 10T173 | 2025-01-01 | 30 | 0 | 13 | 2023-12-31 | 30 | None
FL | 10T110 | 2025-01-04 | 28 | 0 | 13 | 2023-12-31 | 54.5 | None
FL | 10TA20 | 2025-03-01 | None | None | 0 | None | None | None
FL | 10T224 | 2025-05-01 | 25 | 60 | 13 | 2024-04-30 | 77 | None
FL | 10T254 | 2025-05-01 | 20 | 0 | 13 | 2024-04-30 | 20 | None
FL | 10T161 | 2025-06-01 | 22 | 0 | 13 | 2024-05-31 | 22 | None
FL | 10T288 | 2025-06-01 | 32 | 0 | 13 | 2024-05-31 | 41 | None
FL | 10T223 | 2025-06-01 | 30 | 53 | 13 | 2024-05-31 | 78 | None
FL | 10T307 | 2025-07-01 | 22 | 0 | 13 | 2024-06-30 | 22 | None
FL | 10T290 | 2025-07-01 | 30 | 0 | 13 | 2024-06-30 | 30 | None
FL | 10T212 | 2025-09-01 | 36 | 0 | 13 | 2024-08-31 | 36 | None
FL | 10T125 | 2025-10-01 | 23 | 0 | 13 | 2023-09-30 | 23 | None
FL | 10T087 | 2025-10-01 | 60 | 53 | 13 | 2023-09-30 | 97 | None
FL | 10T032 | 2025-10-01 | 32 | 0 | 14 | 2023-09-30 | 32 | None
FL | 10T126 | 2025-10-01 | 20 | 0 | 13 | 2023-09-30 | 20 | None
FL | 10T006 | 2025-10-01 | 53 | 72 | 13 | 2023-09-30 | 125 | None
FL | 10T157 | 2025-10-01 | 32 | 96 | 13 | 2023-09-30 | 128 | None
FL | 10T017 | 2025-10-01 | 52 | 0 | 13 | 2023-09-30 | 40 | None
FL | 10T057 | 2026-01-01 | 22 | 0 | 13 | 2023-12-31 | 12 | None
FL | 10T068 | 2026-01-01 | 32 | 0 | 13 | 2023-12-31 | 32 | None
FL | 10T236 | 2026-01-01 | 20 | 0 | 13 | 2023-12-31 | 20 | None
FL | 10TA25 | 2026-09-01 | None | None | 0 | None | None | None
FL | 10TA10 | 2026-09-01 | None | None | 0 | None | None | None
FL | 10T286 | 2026-10-01 | 30 | 0 | 13 | 2023-09-30 | None | None
GA | 11T252 | 2021-07-01 | 30 | 0 | 3 | 2023-09-30 | None | 22
GA | 11T032 | 2021-10-01 | 12 | 0 | 13 | 2023-09-30 | 0 | 10
GA | 11T079 | 2024-05-15 | 24 | 32 | 13 | 2023-12-31 | 316 | None
ID | 13T003 | 2024-02-09 | 10 | 20 | 13 | 2024-06-30 | 20 | None
ID | 13TA01 | 2025-10-01 | None | None | 0 | None | None | None
IL | 14TA13 | 2022-09-01 | None | None | 0 | None | None | None
IL | 14T013 | 2024-01-01 | 35 | 0 | 13 | 2023-12-31 | 30.7 | None
IL | 14TA15 | 2024-12-01 | None | None | 0 | None | None | None
IL | 14T029 | 2026-03-01 | 24 | 0 | 13 | 2024-06-30 | 18 | None
IN | 15T126 | 2023-01-01 | 17 | 0 | 13 | 2023-12-31 | 0 | None
KS | 17T013 | 2023-07-01 | 11 | 0 | 13 | 2024-06-30 | 0 | None
KS | 17T123 | 2024-10-01 | 41 | 0 | 13 | 2023-12-31 | 0 | None
LA | 19TA43 | 2020-07-01 | None | None | 0 | None | None | None
LA | 19TA48 | 2021-01-01 | None | None | 0 | None | None | None
LA | 19T164 | 2021-08-01 | 10 | 0 | 14 | 2024-07-31 | 0 | 10
LA | 19TA35 | 2022-03-31 | None | None | 0 | None | None | None
LA | 19TA57 | 2023-01-01 | None | None | 0 | None | None | None
LA | 19TA10 | 2023-08-31 | None | None | 0 | None | None | None
LA | 19T086 | 2023-10-01 | 10 | 0 | 14 | 2023-09-30 | 0 | None
LA | 19TA28 | 2024-01-04 | None | None | 0 | None | None | None
MA | 22TA48 | 2019-10-01 | None | None | 0 | None | None | None
MA | 22TA47 | 2019-10-01 | None | None | 0 | None | None | None
MA | 22TA00 | 2024-11-11 | None | None | 0 | None | None | None
MI | 23T227 | 2021-10-01 | 18 | 23 | 13 | 2023-09-30 | 0 | 41
MO | 26TA17 | 2022-11-01 | None | None | 0 | None | None | None
MO | 26T006 | 2023-07-01 | 18 | 0 | 13 | 2024-06-30 | 0 | None
MO | 26TA16 | 2024-03-01 | None | None | 0 | None | None | None
MT | 27TA01 | 2025-12-14 | None | None | 0 | None | None | None
NC | 34T115 | 2019-10-01 | 15 | 36 | 13 | 2023-09-30 | 41 | 37
NC | 34T069 | 2019-10-01 | 98 | 0 | 13 | 2023-09-30 | 98 | 102
NC | 34T040 | 2019-10-01 | 75 | 52 | 13 | 2023-09-30 | 127 | 127
NC | 34T027 | 2020-07-01 | 17 | 0 | 14 | 2024-06-30 | 17 | 17
NC | 34T028 | 2020-10-01 | 58 | 0 | 13 | 2023-09-30 | 65.3 | 58
