-- S07 SEC reporting owner: link to submission by accession, filing years, doc types, duplicate owner rows
Y | N | FILINGS | OWNERS | DUP_OWNER_ROWS | NO_SUB | F4 | F3 | F5 | AMEND | DIR_ROWS
2016 | 91012 | 82056 | 36467 | 0 | 0 | 80883 | 7552 | 316 | 2261 | 44311
2017 | 220639 | 202496 | 59529 | 0 | 0 | 195783 | 16522 | 3140 | 5194 | 106793
2018 | 219600 | 202051 | 58946 | 0 | 0 | 194797 | 16662 | 3118 | 5023 | 107024
2019 | 213035 | 196336 | 57720 | 0 | 0 | 189315 | 16216 | 2683 | 4821 | 103946
2020 | 222321 | 203570 | 59217 | 0 | 0 | 195670 | 19028 | 2624 | 4999 | 110159
2021 | 250714 | 224474 | 67290 | 0 | 0 | 214747 | 28224 | 2459 | 5284 | 122859
2022 | 221983 | 202918 | 62055 | 0 | 0 | 198753 | 15848 | 2569 | 4813 | 109213
2023 | 217409 | 199808 | 59911 | 0 | 0 | 196848 | 13945 | 2213 | 4403 | 106385
2024 | 211673 | 195095 | 57035 | 0 | 0 | 192678 | 14003 | 1311 | 3681 | 104376
2025 | 66287 | 63284 | 32388 | 0 | 0 | 60344 | 3599 | 1061 | 1283 | 26621
(10 rows; csv has all)
