-- S09 IRS SOI: per-ZIP extract (real ZIPs only), low-income brackets 1-2 vs all, for local peer math
STATE | ZIP5 | RET_ALL | RET_LOW | RAC_LOW | RAC_ALL | RAL_ALL | PREP_LOW | VITA_LOW | N_EITC | EITC_K | AGI_K | WAGES_K | ELDERLY
AL | 35004 | 5210.0 | 2920.0 | 680.0 | 1050.0 | 60.0 | 1330.0 | 40.0 | 900.0 | 2183.0 | 287603.0 | 234833.0 | 1090.0
AL | 35005 | 3100.0 | 2270.0 | 760.0 | 920.0 | 60.0 | 1240.0 | 50.0 | 890.0 | 2402.0 | 120798.0 | 98565.0 | 710.0
AL | 35006 | 1200.0 | 760.0 | 180.0 | 240.0 | 30.0 | 470.0 | 0.0 | 270.0 | 650.0 | 57114.0 | 43707.0 | 310.0
AL | 35010 | 7910.0 | 5690.0 | 1580.0 | 1780.0 | 290.0 | 2670.0 | 480.0 | 2480.0 | 7080.0 | 380037.0 | 266658.0 | 1850.0
AL | 35014 | 1620.0 | 1120.0 | 270.0 | 350.0 | 60.0 | 650.0 | 0.0 | 470.0 | 1244.0 | 74472.0 | 57364.0 | 350.0
AL | 35016 | 7130.0 | 4540.0 | 840.0 | 1070.0 | 140.0 | 2600.0 | 260.0 | 1550.0 | 3815.0 | 363111.0 | 262108.0 | 1890.0
AL | 35019 | 890.0 | 610.0 | 110.0 | 140.0 | 20.0 | 410.0 | 0.0 | 240.0 | 635.0 | 38580.0 | 30460.0 | 200.0
AL | 35020 | 9050.0 | 7920.0 | 3460.0 | 3650.0 | 330.0 | 4940.0 | 270.0 | 4360.0 | 13904.0 | 249475.0 | 207009.0 | 1650.0
AL | 35022 | 9800.0 | 5670.0 | 1440.0 | 2040.0 | 100.0 | 3110.0 | 150.0 | 1810.0 | 4895.0 | 546199.0 | 432275.0 | 2440.0
AL | 35023 | 10050.0 | 6600.0 | 1590.0 | 2030.0 | 150.0 | 3810.0 | 110.0 | 2270.0 | 6041.0 | 465634.0 | 358387.0 | 2640.0
AL | 35031 | 2860.0 | 2000.0 | 410.0 | 490.0 | 80.0 | 1310.0 | 0.0 | 770.0 | 2006.0 | 119914.0 | 95760.0 | 610.0
AL | 35034 | 1390.0 | 1070.0 | 410.0 | 450.0 | 60.0 | 530.0 | 0.0 | 560.0 | 1694.0 | 51912.0 | 40327.0 | 260.0
AL | 35035 | 570.0 | 380.0 | 100.0 | 130.0 | 30.0 | 230.0 | 0.0 | 140.0 | 389.0 | 36915.0 | 21504.0 | 120.0
AL | 35040 | 7590.0 | 4550.0 | 1200.0 | 1740.0 | 100.0 | 1960.0 | 90.0 | 1560.0 | 4027.0 | 397142.0 | 332262.0 | 1180.0
AL | 35042 | 2200.0 | 1460.0 | 410.0 | 530.0 | 90.0 | 770.0 | 0.0 | 590.0 | 1689.0 | 102511.0 | 81515.0 | 520.0
AL | 35043 | 5070.0 | 2130.0 | 300.0 | 580.0 | 0.0 | 1040.0 | 0.0 | 460.0 | 1017.0 | 416626.0 | 317647.0 | 1100.0
AL | 35045 | 5500.0 | 3760.0 | 1170.0 | 1420.0 | 160.0 | 2350.0 | 0.0 | 1530.0 | 4222.0 | 254814.0 | 192997.0 | 1170.0
AL | 35051 | 3290.0 | 2010.0 | 420.0 | 540.0 | 40.0 | 1020.0 | 0.0 | 660.0 | 1695.0 | 205157.0 | 142647.0 | 830.0
AL | 35055 | 7950.0 | 5210.0 | 1040.0 | 1350.0 | 180.0 | 3040.0 | 40.0 | 1680.0 | 3898.0 | 409869.0 | 297425.0 | 1940.0
