-- S11 NCUA merger events: all 27, and whether the merging charter is still on the insured list
REGION | CONTINUING_CREDIT_UNION_CHARTER | CONTINUING_NAME | CONTINUING_LOCATION | CONTINUING_ASSETS | MERGING_CREDIT_UNION_CHARTER | MERGING_CREDIT_UNION_NAME | MERGING_LOCATION | MERGING_ASSETS | MERGING_REASON | CONTINUING_FIELD_OF_MEMBERSHIP | MERGING_FIELD_OF_MEMBERSHIP | _LOADED_AT | _SOURCE_RUN_ID | _SRC_SHA256 | STILL_LISTED | LISTED_ASSETS | LISTED_NW
3 | 24693 | GOLDENWEST | OGDEN, UT | 3952280612 | 11520 | ASCENT | OGDEN, UT | 172320421 | EXPANDED SERVICES | Employees of the following groups who work in or are paid from Davis County, Utah:  Clearfield City, Sunset City; underserved areas; other occupational groups or associational groups. | Employees of Ogden-Weber Technical College who work in, or are paid or supervised from Ogden, UT; other occupational groups. | 1786153388050031 | 1b51fadb-e341-4e8c-b807-07d67c599a3b | 100b43cfa7575c531761b4ddc630539ad1d1cc968594815026f958740ac57523 | 11520 | 173071159 | 8.987889773130831
1 | 24560 | GREYLOCK | PITTSFIELD, MA | 1652773188 | 12604 | FRANKLIN FIRST | GREENFIELD, MA | 84103874 | EXPANDED SERVICES | Employees of Adelson & Company PC who work in or are headquartered in Pittsfield, Massachusetts; underserved areas in Pittsfield, Massachusetts; other occupational groups or associational groups. | Employees of Current Electric/Current Energy who work in Bernardston, MA; other occupational groups. | 1786153388050031 | 1b51fadb-e341-4e8c-b807-07d67c599a3b | 100b43cfa7575c531761b4ddc630539ad1d1cc968594815026f958740ac57523 | 12604 | 88471976 | 8.600158314537929
2 | 60619 | EPB EMPLOYEES | CHATTANOOGA, TN | 39260168 | 12826 | BASF CHATTANOOGA | CHATTANOOGA, TN | 3383703 | EXPANDED SERVICES | Employees of EPB and EPB Employees Credit Union; employees of Current EPB Contractors; employees of TN American Water. | Employees of BASF Corporation; other occupational groups. | 1786153388050031 | 1b51fadb-e341-4e8c-b807-07d67c599a3b | 100b43cfa7575c531761b4ddc630539ad1d1cc968594815026f958740ac57523 | 12826 | 3501409 | 19.121273750081752
3 | 68409 | CABRILLO | SAN DIEGO, CA | 544113849 | 14016 | INLAND | LA MESA, CA | 15252001 | EXPANDED SERVICES | Person who live, work or worship in San Diego County; California; other occupational or associational groups. | Registered members of parishes in the El Cajon Deanery of the Diocese of San Diego; other occupational or associational groups. | 1786153388050031 | 1b51fadb-e341-4e8c-b807-07d67c599a3b | 100b43cfa7575c531761b4ddc630539ad1d1cc968594815026f958740ac57523 | 14016 | 14795534 | 8.04054115248561
1 | 10671 | GREATER PITTSBURGH | PITTSBURGH, PA | 72337985 | 17371 | SMMH | PITTSBURGH, PA | 3540315 | EXPANDED SERVICES | Faculty and employees of the University of Pittsburgh, professional staff and employees of Presbyterian-University Hospital who work in or are paid from Pittsburgh, Pennsylvania; other occupational groups or associational groups. | Employees, doctors, medical staff, and technicians of the St. Margaret's Memorial Hospital who work in Pittsburgh, Pennsylvania; other occupational group. | 1786153388050031 | 1b51fadb-e341-4e8c-b807-07d67c599a3b | 100b43cfa7575c531761b4ddc630539ad1d1cc968594815026f958740ac57523 | 17371 | 3280101 | 23.200413645799323
2 | 489 | PRIMETRUST FINANCIAL | MUNCIE, IN | 244017060 | 19390 | DEL MET | MUNCIE, IN | 8744487 | EXPANDED SERVICES | Persons who live work, worship, attend school, participate in programs to alleviate poverty or distress, or participate in associations headquartered in; & business & other legal entities, inc. or unincorp. organizations. | Employees of Delaware Community School Corporation; other occupational groups. | 1786153388050031 | 1b51fadb-e341-4e8c-b807-07d67c599a3b | 100b43cfa7575c531761b4ddc630539ad1d1cc968594815026f958740ac57523 | 19390 | 8309792 | 14.872237475980146
1 | 10184 | FRIENDLY | ALIQUIPPA, PA | 67776696 | 2098 | ALIQUIPPA TEACHERS | BEAVER, PA | 139126 | INABILITY TO OBTAIN OFFICIALS | Employees of the Blast Furnace, Service Department who work in Aliquippa, Pennsylvania, other occupational or associational groups. | Professional employees and secretaries of the Aliquippa, Pennsylvania Board of Education who work in Aliquippa, Pennsylvania. | 1786153388050031 | 1b51fadb-e341-4e8c-b807-07d67c599a3b | 100b43cfa7575c531761b4ddc630539ad1d1cc968594815026f958740ac57523 | 2098 | 131327 | 34.55953459684604
2 | 68727 | CREDIT UNION 1 | LOMBARD, IL | 2335134429 | 22704 | INDIANA LAKES | WARSAW, IN | 27546082 | EXPANDED SERVICES | Members of Credit Union 1 Educational Development Association in Rantoul, Illinois; other occupational or associational groups.  Persons who live, work, or attend school in City of Henderson, Nevada; Dekalb or Fulton Counties, Georgia; various counties wi | Persons who reside, work, worship, attend school in, and businesses and other legal entities in Kosciusko County, Indiana. | 1786153388050031 | 1b51fadb-e341-4e8c-b807-07d67c599a3b | 100b43cfa7575c531761b4ddc630539ad1d1cc968594815026f958740ac57523 | 22704 | 28362143 | 11.52653732829709
3 | 62801 | WEST COMMUNITY | O FALLON, MO | 491109871 | 24797 | GATEWAY METRO | SAINT LOUIS, MO | 173455630 | POOR FINANCIAL CONDITION | Persons who live or work in live or work in the Missouri counties of Boone, Franklin, Lincoln, St. Charles, or St. Louis; City of Sikeston or City of St. Louis, Missouri; other occupational or associational groups. | Persons who live, work, worship, or attend school in, and businesses and other legal entities located in St. Louis City, Missouri, St. Louis, St. Charles or Jefferson Counties, Missouri, and St. Clair, Madison, or Monroe Counties, Illinois. | 1786153388050031 | 1b51fadb-e341-4e8c-b807-07d67c599a3b | 100b43cfa7575c531761b4ddc630539ad1d1cc968594815026f958740ac57523 | 24797 | 177118605 | 5.866998557266189
1 | 68727 | CREDIT UNION 1 | LOMBARD, IL | 2293617968 | 24874 | GREAT LAKES | BAY CITY, MI | 59673680 | EXPANDED SERVICES | Members of Credit Union 1 Educational Development Association in Rantoul, Illinois; other occupational or associational groups.  Persons who live, work, or attend school in City of Henderson, Nevada; Dekalb or Fulton Counties, Georgia; various counties wi | Persons who live, work (or regularly conduct business in), worship, or attend school in and businesses and other legal entities located in the rural district of:  the townships of Birch Run and Taymouth in Saginaw County; Bay, Gladwin, Midland or Tuscola Counties in Michigan. | 1786153388050031 | 1b51fadb-e341-4e8c-b807-07d67c599a3b | 100b43cfa7575c531761b4ddc630539ad1d1cc968594815026f958740ac57523 | 24874 | 60100201 | 11.889462732412493
