-- S13 EPA bridge: case-number year and prefix; cases, conclusions, facility rows, biggest conclusion per year
YR | CONCLUSIONS | FAC_ROWS | HQ | EF_WF | SINGLE_SITE | MAX_SITES | MED_SITES
1971 | 2 | 2 | 0 | 0 | 2 | 1 | 1.000
1972 | 5 | 6 | 1 | 0 | 4 | 2 | 1.000
1973 | 5 | 5 | 5 | 0 | 5 | 1 | 1.000
1974 | 16 | 16 | 1 | 0 | 16 | 1 | 1.000
1975 | 48 | 49 | 3 | 0 | 47 | 2 | 1.000
1976 | 87 | 92 | 6 | 0 | 84 | 4 | 1.000
1977 | 157 | 177 | 32 | 0 | 150 | 8 | 1.000
1978 | 165 | 229 | 37 | 0 | 150 | 25 | 1.000
1979 | 122 | 173 | 19 | 0 | 111 | 23 | 1.000
1980 | 143 | 162 | 8 | 0 | 135 | 7 | 1.000
1981 | 75 | 76 | 0 | 0 | 74 | 2 | 1.000
1982 | 188 | 262 | 0 | 0 | 166 | 9 | 1.000
1983 | 154 | 216 | 0 | 1 | 150 | 28 | 1.000
1984 | 298 | 348 | 4 | 0 | 284 | 31 | 1.000
1985 | 901 | 972 | 17 | 15 | 885 | 26 | 1.000
1986 | 1391 | 1416 | 14 | 1 | 1375 | 7 | 1.000
1987 | 1192 | 1219 | 17 | 0 | 1173 | 4 | 1.000
1988 | 1265 | 1461 | 28 | 0 | 1235 | 50 | 1.000
1989 | 1284 | 1319 | 23 | 0 | 1266 | 8 | 1.000
1990 | 1400 | 1438 | 35 | 0 | 1373 | 5 | 1.000
1991 | 1144 | 1213 | 9 | 0 | 1127 | 29 | 1.000
1992 | 1307 | 1344 | 25 | 0 | 1294 | 12 | 1.000
1993 | 1432 | 1450 | 0 | 0 | 1420 | 8 | 1.000
1994 | 1556 | 1733 | 1 | 0 | 1536 | 78 | 1.000
1995 | 1948 | 2072 | 74 | 0 | 1919 | 71 | 1.000
1996 | 2235 | 2456 | 95 | 0 | 2211 | 170 | 1.000
1997 | 3643 | 3940 | 130 | 0 | 3556 | 32 | 1.000
1998 | 3771 | 4016 | 102 | 0 | 3704 | 41 | 1.000
1999 | 3919 | 4249 | 200 | 0 | 3796 | 49 | 1.000
2000 | 5935 | 6614 | 222 | 1 | 5795 | 196 | 1.000
2001 | 3791 | 4427 | 270 | 0 | 3653 | 59 | 1.000
2002 | 3274 | 4192 | 65 | 24 | 3075 | 141 | 1.000
2003 | 4230 | 5254 | 88 | 17 | 3978 | 169 | 1.000
2004 | 4729 | 6223 | 67 | 16 | 4436 | 143 | 1.000
2005 | 4934 | 6460 | 44 | 57 | 4702 | 431 | 1.000
2006 | 6843 | 9464 | 2664 | 42 | 6317 | 183 | 1.000
2007 | 4068 | 5502 | 36 | 231 | 3893 | 643 | 1.000
2008 | 4305 | 5879 | 40 | 129 | 4083 | 656 | 1.000
2009 | 4039 | 5500 | 24 | 34 | 3835 | 319 | 1.000
2010 | 3888 | 4946 | 29 | 35 | 3663 | 150 | 1.000
2011 | 3677 | 5455 | 52 | 36 | 3440 | 166 | 1.000
2012 | 3340 | 4420 | 29 | 56 | 3144 | 135 | 1.000
2013 | 2551 | 3310 | 17 | 42 | 2359 | 135 | 1.000
2014 | 2347 | 3271 | 7 | 58 | 2191 | 192 | 1.000
2015 | 2441 | 3418 | 19 | 65 | 2265 | 163 | 1.000
2016 | 2917 | 3581 | 25 | 61 | 2621 | 60 | 1.000
2017 | 2707 | 3361 | 12 | 37 | 2537 | 121 | 1.000
2018 | 2367 | 2939 | 10 | 15 | 2193 | 131 | 1.000
2019 | 2252 | 2491 | 11 | 1 | 2122 | 15 | 1.000
2020 | 2633 | 3014 | 34 | 0 | 2496 | 30 | 1.000
2021 | 2811 | 3283 | 14 | 0 | 2687 | 184 | 1.000
2022 | 2894 | 3100 | 13 | 0 | 2800 | 18 | 1.000
2023 | 2721 | 3114 | 19 | 0 | 2573 | 24 | 1.000
2024 | 3142 | 3422 | 47 | 0 | 2992 | 19 | 1.000
2025 | 3022 | 3339 | 57 | 0 | 2867 | 44 | 1.000
2026 | 2648 | 2776 | 31 | 0 | 2564 | 14 | 1.000
(56 rows; csv has all)
