-- S15 EPA bridge x ECHO: per-facility case count joined to ECHO status by FRS registry ID (extract for local peer math)
FACILITY_UIN | CASES | LAST_CASE_YR | FIRST_CASE_YR | NAME | ST | FRS_ID | COMPLIANCE_STATUS | QUARTERS_WITH_NONCOMPLIANCE | FORMAL_ACTION_COUNT | TOTAL_PENALTIES | IS_MAJOR_FACILITY | IS_ACTIVE | HAS_AIR_PROGRAM | HAS_WATER_PROGRAM | HAS_HAZWASTE_PROGRAM | TOTAL_INSPECTION_COUNT | PCT_MINORITY | E_NAME | E_CITY | E_ST
110005580308 | 1 | 1995 | 1995 | PREMIER CHRYSLER DODGE PLYMOUTH | WY | 110005580308 |  |  | 0 | 0.0 | False | False | False | False | False | 0 | 13.303 | PREMIER CHRYSLER DODGE PLYMOUTH | GILLETTE | WY
110070827548 | 1 | 2021 | 2021 | CENTRAL PLAINS ORGANIC FARMERS ASSOCIATION | NE | 110070827548 |  |  | 1 | 2825.0 | False | True | False | False | False | 0 | 4.641 | CENTRAL PLAINS ORGANIC FARMERS ASSOCIATION | DU BOIS | NE
110013697918 | 1 | 2002 | 2002 | WILTON PUBLIC WORKS FACILITY | CT | 110013697918 |  |  | 0 | 0.0 | False | False | False | False | False | 0 | 9.572 | WILTON PUBLIC WORKS FACILITY | WILTON | CT
110024268870 | 1 | 2005 | 2005 | COLORADO CITY, CITY OF | TX | 110024268870 |  |  | 0 | 0.0 | False | False | False | False | False | 0 |  | COLORADO CITY, CITY OF | COLORADO CITY | TX
110000373729 | 1 | 2009 | 2009 | HECKETHORN MANUFACTURING | TN | 110000373729 |  | 0 | 0 | 0.0 | False | False | False | True | False | 0 | 31.677 | HECKETHORN MANUFACTURING | DYERSBURG | TN
110009242293 | 1 | 1988 | 1988 | S T C CORPORATION | NY | 110009242293 | No Violation Identified | 0 | 0 | 0.0 | False | False | False | False | True | 0 | 28.744 | S T C CORPORATION | MARCY | NY
110005656370 | 1 | 2012 | 2012 | COSTCO WHOLESALE #185 | FL | 110005656370 | No Violation Identified | 0 | 0 | 0.0 | False | True | False | True | True | 0 | 35.94 | COSTCO WHOLESALE #185 | WINTER PARK | FL
110035049630 | 1 | 2014 | 2014 | TYSON FOODS, INC. | TX | 110035049630 | No Violation Identified | 0 | 0 | 0.0 | False | True | False | True | True | 0 | 65.203 | TYSON FARMS SEGUIN PROCESSING PLANT | SEGUIN | TX
110060345425 | 1 | 2015 | 2015 | CLEARWATER HOLDINGS LLC | UT | 110060345425 |  |  | 0 | 0.0 | False | False | False | False | False | 0 | 6.377 | CLEARWATER HOLDINGS LLC | SPANISH FORK | UT
110028168168 | 1 | 2006 | 2006 | TOM WEAVER | IA | 110028168168 |  |  | 0 | 0.0 | False | False | False | False | False | 0 | 6.122 | TOM WEAVER | DOUGHOUT | IA
110012028055 | 1 | 2003 | 2003 | MAYFLOWER BAPTIST CHURCH | IN | 110012028055 |  |  | 0 | 0.0 | False | False | False | False | False | 0 | 55.41 | MAYFLOWER BAPTIST CHURCH | SOUTH BEND | IN
110012156727 | 1 | 2005 | 2005 | MAGIC TOUCH CLEANERS | NJ | 110012156727 | No Violation Identified | 0 | 0 | 0.0 | False | True | True | False | True | 0 | 73.536 | MAGIC TOUCH CLEANERS INC | FORT LEE | NJ
110009076061 | 2 | 2002 | 2001 | PROGRESSIVE RECYCLING | FL | 110009076061 |  | 0 | 0 | 0.0 | False | False | False | True | False | 0 | 26.937 | PROGRESSIVE RECYCLING | COCOA | FL
110018940002 | 1 | 2004 | 2004 | NEWMAN CONSTRUCTION | UT | 110018940002 |  |  | 0 | 0.0 | False | False | False | False | False | 0 | 12.122 | NEWMAN CONSTRUCTION | RIVERTON | UT
110002046982 | 2 | 2008 | 1998 | CITY OF COVINGTON | LA | 110002046982 | No Violation Identified | 0 | 0 | 0.0 | True | True | False | True | False | 0 | 21.258 | COVINGTON, CITY OF | COVINGTON | LA
