-- S23 FDIC: the 12 new consent orders 2020-2026 against minority-owned (MDI) FDIC-supervised banks, with the order document links
ORDER_ID | ORDER_DATE | CERT_NUMBER | BANK_NAME | BANK_STATE | ORDER_TITLE | ORDER_TYPE | CMP_AMOUNT_TOTAL | DOCKET_NUMBER | DOCUMENT_URL
a0Wt000000B8U5YEAV | 2020-02-27 | 58037 | California Business Bank | CA | Consent Order | Cease and Desist / Consent Orders |  | FDIC-19-0173b | https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t000000AQaWAAA1?operationContext=S1
a0Wt000000B8U5nEAF | 2020-02-27 | 58037 | California Business Bank | CA | Order Terminating Consent Order | Cease and Desist / Consent Orders |  | FDIC-17-0107b | https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t000000AQeV1AAL?operationContext=S1
a0Wt000000BRrhXEAT | 2020-04-02 | 33708 | International Bank of Chicago | IL | Consent Order | Cease and Desist / Consent Orders |  | FDIC-19-0179b | https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t000000BdH5jAAF?operationContext=S1
a0Wt000000Bjqg2EAB | 2020-08-19 | 13959 | CBW Bank | KS | Consent Order | Cease and Desist / Consent Orders |  | FDIC-20-0122b | https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t000000E9Cn4AAF?operationContext=S1
a0Wt000000BfgY9EAJ | 2020-12-03 | 26708 | Spectra Bank | TX | Consent Order | Cease and Desist / Consent Orders |  | FDIC-20-0140b | https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t000000IEJCLAA5?operationContext=S1
a0Wt000000BhA52EAF | 2021-02-05 | 10319 | Citizens Savings Bank and Trust Company | TN | Order Terminating  Consent Order | Cease and Desist / Consent Orders |  | FDIC-17-0152b | https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t000000L3UUBAA3?operationContext=S1
a0Wt000000CRn35EAD | 2021-11-08 | 22460 | Monterey County Bank | CA | Consent Order | Cease and Desist / Consent Orders |  | FDIC-21-0078b | https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t000000WB2erAAD?operationContext=S1
a0Wt000000CRn51EAD | 2021-11-10 | 22460 | Monterey County Bank | CA | Order Terminating Consent Order | Cease and Desist / Consent Orders |  | FDIC-12-0436b | https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t000000WB2oxAAD?operationContext=S1
a0Wt000000CKmiTEAT | 2022-11-09 | 10319 | Citizens Savings Bank and Trust Company | TN | Consent Order | Cease and Desist / Consent Orders |  | FDIC-22-0097b | https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t000000ghqJJAAY?operationContext=S1
a0W3d000003FVnJEAW | 2023-09-11 | 59182 | Loyal Trust Bank | GA | Consent Order | Cease and Desist / Consent Orders |  | FDIC-23-0028b | https://orders.fdic.gov/sfc/servlet.shepherd/document/download/0693d00000AAhY7AAL?operationContext=S1
a0W3d000003MkGpEAK | 2023-10-16 | 57884 | Paramount Bank | MO | Order to Pay Civil Money Penalty | Assessment of Civil Money Penalty | 85000.00 | FDIC 23-0051k | https://orders.fdic.gov/sfc/servlet.shepherd/document/download/0693d00000AeinBAAR?operationContext=S1
a0W3d000003MjubEAC | 2023-10-25 | 58816 | Royal Business Bank | CA | Consent Order | Cease and Desist / Consent Orders |  | FDIC-23-0042b | https://orders.fdic.gov/sfc/servlet.shepherd/document/download/0693d00000AejcQAAR?operationContext=S1
a0W3d000003w05KEAQ | 2024-02-27 | 59154 | Piermont Bank | NY | Consent Order | Cease and Desist / Consent Orders |  | FDIC-23-0038b | https://orders.fdic.gov/sfc/servlet.shepherd/document/download/0693d00000CMxbNAAT?operationContext=S1
a0W3d000004JUh9EAG | 2024-05-31 | 58037 | California Business Bank | CA | Order Terminating Consent Order | Cease and Desist / Consent Orders |  | FDIC-19-0173b | https://orders.fdic.gov/sfc/servlet.shepherd/document/download/0693d00000DlG4vAAF?operationContext=S1
a0W3d000004JV44EAG | 2024-05-31 | 58037 | California Business Bank | CA | Consent Order | Cease and Desist / Consent Orders |  | FDIC-24-0018b | https://orders.fdic.gov/sfc/servlet.shepherd/document/download/0693d00000DlDd7AAF?operationContext=S1
a0WSJ000000WLR72AO | 2024-08-21 | 58816 | Royal Business Bank | CA | Order Terminating Consent Order | Cease and Desist / Consent Orders |  | FDIC-23-0042b | https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069SJ000006UcMGYA0?operationContext=S1
a0WSJ000000pKMT2A2 | 2024-09-13 | 33708 | International Bank of Chicago | IL | Consent Order | Cease and Desist / Consent Orders |  | FDIC-24-0056b | https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069SJ00000Aryy8YAB?operationContext=S1
a0WSJ000000pK372AE | 2024-09-13 | 33708 | International Bank of Chicago | IL | Order Terminating Consent Order | Cease and Desist / Consent Orders |  | FDIC-19-0179b | https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069SJ00000AlIRxYAN?operationContext=S1
a0WSJ000001T7rx2AC | 2024-11-19 | 13959 | CBW Bank | KS | Notice of Assessment of Civil Money Penalty, Findings of Fact and Conclusions of Law, Order to Pay, and Prayer for Relief | Assessment of Civil Money Penalty | 20448000.00 | FDIC-22-0171k | https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069SJ00000Hz49pYAB?operationContext=S1
a0WSJ000003XpgL2AS | 2025-05-28 | 26708 | Spectra Bank | TX | Notice of Intention to Prohibit from Further Participation, Notice of Charges for an Order for Restitution, Findings of Fact and Conclusions of Law, Notice of Hearing and Prayer for Relief | Order for Restitution;Removal/Prohibition Order |  | FDIC-23-0037e; FDIC-24-0111b | https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069SJ00000cCXwsYAG?operationContext=S1
a0WSJ000003uWbN2AU | 2025-07-01 | 59182 | Loyal Trust Bank | GA | Order Terminating Consent Order | Cease and Desist / Consent Orders |  | FDIC-23-0028b | https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069SJ00000iytDGYAY?operationContext=S1
a0WSJ00000402172AA | 2025-08-21 | 26708 | Spectra Bank | TX | Order Terminating Consent Order | Cease and Desist / Consent Orders |  | FDIC-20-0140b | https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069SJ00000m8FJPYA2?operationContext=S1
a0WSJ00000545O12AI | 2025-10-23 | 13959 | CBW Bank | KS | Decision and Order on Request for Interlocutory Review | Assessment of Civil Money Penalty | 20488000.00 | FDIC-22-0171k | https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069SJ000013EAoYYAW?operationContext=S1
