===== q18 (stmt 18) 93 rows
ISSUER_NAME | NM | TTL | S_MIN | S_MAX | FILING_DATE | LAG | N_S | SHARES | USD | PMIN | PMAX | ACCESSION_NUMBER | REMARKS
BIOLIFE SOLUTIONS INC | GIRSCHWEILER THOMAS + Taurus4757 GmbH | TenPercentOwner + Director,TenPercentOwner | 2019-10-04 | 2020-05-22 | 2020-06-03 | 243 | 3 | 1131228.0 | 14834926.0 | 10.5 | 15.36 | 0001437749-20-012378 | 
BIOLIFE SOLUTIONS INC | WAVI Holding AG + VILLIGER WALTER | TenPercentOwner | 2019-10-04 | 2020-05-13 | 2020-06-03 | 243 | 3 | 793919.0 | 11904263.0 | 14.9 | 15.36 | 0001437749-20-012379 | 
BIOLIFE SOLUTIONS INC | DE GREEF RODERICK | President and CEO | 2024-10-31 | 2024-10-31 | 2025-01-08 | 69 | 1 | 46896.0 | 1098773.0 | 23.43 | 23.43 | 0001628280-25-000984 | 
BIOLIFE SOLUTIONS INC | DE GREEF RODERICK | Chief Financial Officer | 2018-10-21 | 2018-10-21 | 2018-11-23 | 33 | 1 | 10000.0 | 100000.0 | 10.0 | 10.0 | 0001437749-18-021236 | 
BIOLIFE SOLUTIONS INC | Schulz Marcus | Chief Revenue Officer | 2021-01-12 | 2021-01-12 | 2021-02-16 | 35 | 1 | 2000.0 | 82020.0 | 41.01 | 41.01 | 0001437749-21-003035 | 
BIOLIFE SOLUTIONS INC | Wichterman Troy | Chief Financial Officer | 2024-07-11 | 2024-09-16 | 2024-09-18 | 69 | 3 | 1581.0 | 35992.0 | 20.54 | 25.61 | 0001628280-24-040830 | 
BIOLIFE SOLUTIONS INC | Phillips Geraint | SVP, Global Operations | 2023-03-01 | 2023-03-01 | 2023-06-23 | 114 | 1 | 844.0 | 19201.0 | 22.75 | 22.75 | 0001437749-23-018321 | 
BIOLIFE SOLUTIONS INC | Mathew Aby J. | EVP & Chief Scientific Officer | 2024-07-11 | 2024-09-16 | 2024-09-18 | 69 | 3 | 767.0 | 17888.0 | 20.54 | 25.61 | 0001628280-24-040832 | 
BIOLIFE SOLUTIONS INC | Aebersold Sarah | Chief Human Resources Officer | 2024-07-11 | 2024-09-16 | 2024-09-18 | 69 | 4 | 780.0 | 17536.0 | 20.54 | 25.61 | 0001628280-24-040831 | 
BIOLIFE SOLUTIONS INC | Berard Todd | Chief Marketing Officer | 2024-07-11 | 2024-09-16 | 2024-09-18 | 69 | 3 | 736.0 | 17214.0 | 20.54 | 25.61 | 0001628280-24-040833 | 
BIOLIFE SOLUTIONS INC | Foster Karen A. | Chief Quality and Operations | 2024-07-18 | 2024-09-16 | 2024-09-18 | 62 | 3 | 603.0 | 14566.0 | 22.5 | 25.61 | 0001628280-24-040834 | 
