-- S03 SEC EDGAR financials: pull whole table (55.6K rows)
ADSH | CIK | NAME | SIC | COUNTRYBA | STPRBA | CITYBA | ZIPBA | BAS1 | BAS2 | BAPH | COUNTRYMA | STPRMA | CITYMA | ZIPMA | MAS1 | MAS2 | COUNTRYINC | STPRINC | EIN | FORMER | CHANGED | AFS | WKSI | FYE | FORM | PERIOD | FY | FP | FILED | ACCEPTED | PREVRPT | DETAIL | INSTANCE | NCIKS | ACIKS | SOURCE_FILE
0000002178-23-000064 | 2178 | ADAMS RESOURCES & ENERGY, INC. | 5172 | US | TX | HOUSTON | 77027 | 17 S. BRIAR HOLLOW LN. |  | 713-881-3600 | US | TX | HOUSTON | 77001 | P O BOX 844 |  | US | DE | 741753147 | ADAMS RESOURCES & ENERGY INC | 19920703 | 2-ACC | 0 | 1231 | 10-Q | 20230331 | 2023 | Q1 | 20230509 | 2023-05-09 16:41:00.0 | 0 | 1 | ae-20230331_htm.xml | 1 |  | 2023q2
0000002488-23-000076 | 2488 | ADVANCED MICRO DEVICES INC | 3674 | US | CA | SANTA CLARA | 95054 | 2485 AUGUSTINE DRIVE |  | (408) 749-4000 | US | CA | SANTA CLARA | 95054 | 2485 AUGUSTINE DRIVE |  | US | DE | 941692300 |  |  | 1-LAF | 0 | 1231 | 10-Q | 20230331 | 2023 | Q1 | 20230503 | 2023-05-03 16:29:00.0 | 0 | 1 | amd-20230401_htm.xml | 1 |  | 2023q2
0000002969-23-000023 | 2969 | AIR PRODUCTS & CHEMICALS, INC. | 2810 | US | PA | ALLENTOWN | 18106-5500 | 1940 AIR PRODUCTS BLVD. |  | 6104814911 | US | PA | ALLENTOWN | 18106-5500 | 1940 AIR PRODUCTS BLVD. |  | US | DE | 231274455 | AIR PRODUCTS & CHEMICALS, INC. | 20220408 | 1-LAF | 0 | 0930 | 10-Q | 20230331 | 2023 | Q2 | 20230509 | 2023-05-09 10:01:00.0 | 0 | 1 | apd-20230331_htm.xml | 1 |  | 2023q2
0000003499-23-000015 | 3499 | ALEXANDERS INC | 6798 | US | NJ | PARAMUS | 07652 | 210 ROUTE 4 EAST |  | 201-587-8541 | US | NJ | PARAMUS | 07652 | 210 ROUTE 4 EAST |  | US | DE | 510100517 |  |  | 2-ACC | 0 | 1231 | 10-Q | 20230331 | 2023 | Q1 | 20230501 | 2023-05-01 08:08:00.0 | 0 | 1 | alx-20230331_htm.xml | 1 |  | 2023q2
0000003570-23-000050 | 3570 | CHENIERE ENERGY INC | 4924 | US | TX | HOUSTON | 77002 | 700 MILAM ST. | SUITE 1900 | 7133755000 | US | TX | HOUSTON | 77002 | 700 MILAM ST. | SUITE 1900 | US | DE | 954352386 | CHENIERE ENERGY INC | 19960827 | 1-LAF | 0 | 1231 | 10-Q | 20230331 | 2023 | Q1 | 20230502 | 2023-05-01 19:00:00.0 | 0 | 1 | lng-20230331_htm.xml | 1 |  | 2023q2
0000004127-23-000015 | 4127 | SKYWORKS SOLUTIONS INC | 3674 | US | CA | IRVINE | 92617 | 5260 CALIFORNIA AVENUE |  | 9492313000 | US | CA | IRVINE | 92617 | 5260 CALIFORNIA AVENUE |  | US | DE | 042302115 | SKYWORKS SOLUTIONS INC | 20020627 | 1-LAF | 0 | 0930 | 10-Q | 20230331 | 2023 | Q2 | 20230509 | 2023-05-08 17:58:00.0 | 0 | 1 | swks-20230331_htm.xml | 1 |  | 2023q2
0000004281-23-000008 | 4281 | HOWMET AEROSPACE INC. | 3350 | US | PA | PITTSBURGH | 15212-5872 | 201 ISABELLA STREET | SUITE 200 | (412) 553-1940 | US | PA | PITTSBURGH | 15212-5872 | 201 ISABELLA STREET |  | US | DE | 250317820 | ARCONIC INC. | 20161101 | 1-LAF | 0 | 1231 | 10-Q | 20230331 | 2023 | Q1 | 20230502 | 2023-05-02 16:24:00.0 | 0 | 1 | hwm-20230331_htm.xml | 1 |  | 2023q2
0000004457-23-000052 | 4457 | U-HAUL HOLDING CO /NV/ | 7510 | US | NV | RENO | 89511 | 5555 KIETZKE LANE STE 100 |  | 7756886300 | US | NV | RENO | 89511 | 5555 KIETZKE LANE | SUITE 100 | US | NV | 880106815 | AMERCO /NV/ | 19920703 | 1-LAF | 1 | 0331 | 10-K | 20230331 | 2022 | FY | 20230602 | 2023-06-01 21:23:00.0 | 0 | 1 | uhal-20230331_htm.xml | 1 |  | 2023q2
0000004904-23-000072 | 4904 | AMERICAN ELECTRIC POWER CO INC | 4911 | US | OH | COLUMBUS | 43215 | 1 RIVERSIDE PLAZA |  | 614-716-1000 | US | OH | COLUMBUS | 43215 | 1 RIVERSIDE PLAZA |  | US | NY | 134922640 | KINGSPORT UTILITIES INC | 19660906 | 1-LAF | 0 | 1231 | 10-Q | 20230331 | 2023 | Q1 | 20230504 | 2023-05-04 07:08:00.0 | 0 | 1 | aep-20230331_htm.xml | 8 | 81027 73986 92487 1702494 50172 1721781 6879 | 2023q2
0000004904-23-000081 | 4904 | AMERICAN ELECTRIC POWER CO INC | 4911 | US | OH | COLUMBUS | 43215 | 1 RIVERSIDE PLAZA |  | 614-716-1000 | US | OH | COLUMBUS | 43215 | 1 RIVERSIDE PLAZA |  | US | NY | 134922640 | KINGSPORT UTILITIES INC | 19660906 | 1-LAF | 0 | 1231 | 8-K | 20221231 | 2022 | FY | 20230526 | 2023-05-26 07:18:00.0 | 0 | 1 | aep-20230526_d2_htm.xml | 8 | 81027 73986 92487 1702494 50172 1721781 6879 | 2023q2
