-- S04 FEC committees dim: pull whole table (44.4K rows)
CMTE_ID | CMTE_NM | TRES_NM | CMTE_CITY | CMTE_ST | CMTE_DSGN | CMTE_TP | CMTE_PTY_AFFILIATION | ORG_TP | CONNECTED_ORG_NM | CAND_ID | CYCLE | IS_AMBIGUOUS | SRC
C00699249 | STEPHANIE RIMMER FOR CONGRESS | STANLIS, JEFFREY | SCOTTSDALE | AZ | P | H | DEM |  |  | H0AZ06068 | 2026 | False | bulk_cm26
C00302844 | HIGHMARK PAC OF HIGHMARK INC. | FLEMMENS, CRAIG | CAMP HILL | PA | B | Q |  | C | HIGHMARK INC. |  | 2026 | False | bulk_cm26
C00950709 | GRASSROOTS REPUBLICANS INVESTING IN TOMORROW | REISNER, MICHELE | MOUNTAIN BROOK | AL | J | N |  |  | NONE |  | 2026 | False | bulk_cm26
C00911099 | IOWA ALWAYS PAC | GANTT, CHARLES | BEVERLY | MA | U | O |  |  | NONE |  | 2026 | False | bulk_cm26
C00492132 | ORGANIC TRADE ASSOCIATION PAC (ORGANIC PAC) | STEPHANIE JERGER | WASHINGTON | DC | B | N |  | T |  |  | 2026 | False | bulk_cm26
C00740597 | WARNOCK VICTORY FUND | MELE, STEVEN | WASHINGTON | DC | J | N |  |  | NONE |  | 2026 | False | bulk_cm26
C00365122 | VISA, INC. POLITICAL ACTION COMMITTEE | MARKS, ADRIENNE MS | WASHINGTON | DC | B | Q |  | C | VISA INC |  | 2026 | False | bulk_cm26
C00942979 | BLUE HEARTBEAT | HONIGBERG, JESSICA | COLUMBIA | SC | U | V |  |  | NONE |  | 2026 | False | bulk_cm26
C00876680 | COMMITTEE TO ELECT EDWIN K. PROPST | CALVO, EDWARD MENDIOLA | SAIPAN | MP | P | H | DEM |  | NONE | H4MP01048 | 2026 | False | bulk_cm26
C00944363 | THERESA CURTIS FOR CONGRESS | REICHER, HELEN | WICHITA | KS | P | H | DEM |  | NONE |  | 2026 | False | bulk_cm26
C00703892 | TEAM TIMMONS | LISKER, LISA | ALEXANDRIA | VA | J | N |  |  | NONE |  | 2026 | False | bulk_cm26
C00879783 | INDEPENDENT | OSBORNE, DANIEL WAYNE MR. | RAPID CITY | SD | U | U |  |  |  |  | 2026 | False | bulk_cm26
C00907899 | EMPIRE STATE PATRIOTS PAC | MAHER, ERIC | NEW YORK | NY | U | N |  |  |  |  | 2026 | False | bulk_cm26
C00839936 | EQUALITY PROJECT TEXAS | MADRAS, ANDREW | WASHINGTON | DC | U | W |  |  | EQUALITY PROJECT PAC |  | 2026 | False | bulk_cm26
C00918748 | WALTERS FOR CONGRESS | CORDER, DICKIE | HATTIESBRUG | MS | P | H | REP |  | NONE |  | 2026 | False | bulk_cm26
C00952275 | PRATT VICTORY FUND | KILGORE, PAUL | ATHENS | GA | J | N |  |  | NONE |  | 2026 | False | bulk_cm26
C00893248 | FEDERAL CONSERVATIVE LATINOS P.A. PAC | GLICK, BRYANT J | NEW HOLLAND | PA | U | V |  |  | NONE |  | 2026 | False | bulk_cm26
C30003297 | NACS |  | ALEXANDRIA | VA | U | E |  |  |  |  | 2026 | False | bulk_cm26
C00910232 | ROSE FOR CONGRESS 2026 | YEE, ROSE PENELOPE | REDDING | CA | P | H | DEM |  | NONE | H2CA01268 | 2026 | False | bulk_cm26
C00919415 | GTM NOMINEE FUND: FL-23 | LISKER, LISA | ALEXANDRIA | VA | U | N |  |  | GROW THE MAJORITY |  | 2026 | False | bulk_cm26
