-- S06 FEC PAC summary (join partner for the committees dim): pull whole table (45.7K rows)
CMTE_ID | COMMITTEE_NAME | COMMITTEE_TYPE | COMMITTEE_DESIGNATION | FILING_FREQUENCY | TOTAL_RECEIPTS | TOTAL_DISBURSEMENTS | INDIVIDUAL_CONTRIBUTIONS | PAC_CONTRIBUTIONS | TRANSFERS_FROM_AFFILIATES | TRANSFERS_TO_AFFILIATES | CONTRIBUTIONS_TO_OTHER_COMMITTEES | INDEPENDENT_EXPENDITURES | CASH_BEGINNING_OF_PERIOD | CASH_CLOSE_OF_PERIOD | DEBTS_OWED_BY | NONFEDERAL_TRANSFERS_RECEIVED | COVERAGE_END_DATE | PCT_FROM_INDIVIDUALS | PCT_DISBURSED_TO_OTHERS | _LOADED_AT | _SOURCE_RUN_ID
C00000018 | IRONWORKERS LOCAL UNION NO. 25 POLITICAL EDUCATION COMMITTEE | Q | U | T |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-07-24 02:13:26 | 4f438639-c563-4da9-8974-c6ef5e995af1
C00000059 | HALLMARK CARDS PAC | Q | U | M | 129002.59 | 119500.0 | 126502.59 | 0.0 | 0.0 | 0.0 | 117500.0 | 0.0 | 139493.28 | 148995.87 | 0.0 | 0.0 | 2018-12-31 | 0.9806 | 0.9833 | 2026-07-24 02:13:26 | 4f438639-c563-4da9-8974-c6ef5e995af1
C00000059 | HALLMARK CARDS PAC | Q | U | M | 112582.58 | 114004.97 | 112582.58 | 0.0 | 0.0 | 0.0 | 109000.0 | 0.0 | 148995.87 | 151358.23 | 0.0 | 0.0 | 2020-12-31 | 1.0 | 0.9561 | 2026-07-24 02:13:26 | 4f438639-c563-4da9-8974-c6ef5e995af1
C00000059 | HALLMARK CARDS, INC. PAC (HALLPAC) | Q | B | M | 88197.26 | 75000.0 | 83692.43 | 1504.83 | 0.0 | 0.0 | 65000.0 | 0.0 | 147860.97 | 166058.23 | 0.0 | 0.0 | 2022-12-31 | 0.9489 | 0.8667 | 2026-07-24 02:13:26 | 4f438639-c563-4da9-8974-c6ef5e995af1
C00000059 | HALLMARK CARDS, INC. PAC (HALLPAC) | Q | B | M | 95727.18 | 117500.0 | 91727.18 | 0.0 | 0.0 | 0.0 | 102500.0 | 0.0 | 166058.23 | 144285.41 | 0.0 | 0.0 | 2024-12-31 | 0.9582 | 0.8723 | 2026-07-24 02:13:26 | 4f438639-c563-4da9-8974-c6ef5e995af1
C00000422 | AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE | Q | B | M | 1962844.52 | 1439794.05 | 1930839.85 | 0.0 | 25.0 | 25.0 | 1379800.0 | 0.0 | 619102.75 | 1142153.22 | 0.0 | 0.0 | 2018-12-31 | 0.9837 | 0.9583 | 2026-07-24 02:13:26 | 4f438639-c563-4da9-8974-c6ef5e995af1
C00000422 | AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE | Q | B | M | 1617198.05 | 1722899.94 | 1572559.36 | 0.0 | 0.0 | 0.0 | 1293500.0 | 344800.0 | 1142153.22 | 1036451.33 | 0.0 | 0.0 | 2020-12-31 | 0.9724 | 0.7508 | 2026-07-24 02:13:26 | 4f438639-c563-4da9-8974-c6ef5e995af1
C00000422 | AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE | Q | B | M | 1780757.92 | 1803880.61 | 1562975.73 | 0.0 | 0.0 | 0.0 | 1377000.0 | 0.0 | 1036451.33 | 1013328.64 | 0.0 | 0.0 | 2022-12-31 | 0.8777 | 0.7634 | 2026-07-24 02:13:26 | 4f438639-c563-4da9-8974-c6ef5e995af1
C00000422 | AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE | Q | B | M | 2096337.89 | 2621577.12 | 1666298.01 | 0.0 | 0.0 | 0.0 | 1475650.0 | 835000.0 | 1013328.64 | 488089.41 | 0.0 | 0.0 | 2024-12-31 | 0.7949 | 0.5629 | 2026-07-24 02:13:26 | 4f438639-c563-4da9-8974-c6ef5e995af1
C00000489 | D R I V E POLITICAL FUND CHAPTER 886 | N | U | Q | 60611.0 | 51890.23 | 0.0 | 0.0 | 60611.0 | 0.0 | 0.0 | 0.0 | 1974.0 | 13740.0 | 0.0 | 0.0 | 2018-12-31 | 0.0 | 0.0 | 2026-07-24 02:13:26 | 4f438639-c563-4da9-8974-c6ef5e995af1
