-- S10 Insider open-market sales (code S) per issuer per day, 2022-10 to 2025-06, only issuers in EDGAR_FINANCIALS (CIK compared as numbers)
CIK | D | N_TRADES | N_FORMS | SHARES | VAL_CALC | VAL_COL | MAX_PX
1820144 | 2024-06-12 | 1 | 1 | 295263.0 | 2692798.5599999996 | 2692798.5599999996 | 9.12
900075 | 2023-05-30 | 1 | 1 | 80000.0 | 7089600.0 | 7089600.0 | 88.62
22444 | 2024-03-27 | 1 | 1 | 35704.0 | 2066547.52 | 2066547.52 | 57.88
1563880 | 2024-05-20 | 1 | 1 | 25037.0 | 71605.81999999999 | 71605.81999999999 | 2.86
1590955 | 2024-08-13 | 10 | 1 | 3900.0 | 609229.86 | 609229.86 | 157.18
920148 | 2024-08-08 | 1 | 1 | 586.0 | 131850.0 | 131850.0 | 225.0
1580864 | 2023-09-15 | 1 | 1 | 7399.0 | 9618.7 | 9618.7 | 1.3
1699031 | 2024-11-18 | 1 | 1 | 30452.0 | 426937.04 | 426937.04 | 14.02
801337 | 2023-06-06 | 1 | 1 | 16000.0 | 596320.0 | 596320.0 | 37.27
1316835 | 2023-08-15 | 1 | 1 | 1397.0 | 212288.12000000002 | 212288.12000000002 | 151.96
807707 | 2024-01-05 | 2 | 1 | 1568750.0 | 15687500.0 | 15687500.0 | 10.0
851520 | 2024-05-07 | 1 | 1 | 1971.0 | 187245.0 | 187245.0 | 95.0
1821159 | 2024-07-02 | 1 | 1 | 2477.0 | 5796.179999999999 | 5796.179999999999 | 2.34
1118417 | 2023-06-29 | 1 | 1 | 628.0 | 21980.0 | 21980.0 | 35.0
93389 | 2023-03-09 | 1 | 1 | 3530.0 | 135552.0 | 135552.0 | 38.4
1651562 | 2024-08-15 | 1 | 1 | 1562.0 | 12855.26 | 12855.26 | 8.23
1559053 | 2023-05-19 | 2 | 1 | 5000.0 | 369978.68 | 369978.68 | 74.47
1422142 | 2023-07-06 | 1 | 1 | 15829.0 | 99247.82999999999 | 99247.82999999999 | 6.27
874499 | 2024-05-30 | 1 | 1 | 632.0 | 100380.56000000001 | 100380.56000000001 | 158.83
87347 | 2023-09-25 | 1 | 1 | 6250.0 | 368312.5 | 368312.5 | 58.93
893847 | 2024-11-13 | 1 | 1 | 5053.0 | 144364.21 | 144364.21 | 28.57
1701732 | 2023-03-09 | 1 | 1 | 232.0 | 15602.0 | 15602.0 | 67.25
1828161 | 2023-06-07 | 1 | 1 | 35000.0 | 96250.0 | 96250.0 | 2.75
1517375 | 2023-02-02 | 1 | 1 | 443.0 | 30930.26 | 30930.26 | 69.82
1163165 | 2023-11-09 | 1 | 1 | 44000.0 | 5044160.0 | 5044160.0 | 114.64
1993004 | 2024-12-09 | 1 | 1 | 700.0 | 37499.0 | 37499.0 | 53.57
1776909 | 2024-08-23 | 1 | 1 | 30779.0 | 36627.009999999995 | 36627.009999999995 | 1.19
1818502 | 2024-06-10 | 1 | 1 | 32488.0 | 102012.32 | 102012.32 | 3.14
1617640 | 2023-05-05 | 1 | 1 | 2000.0 | 97960.0 | 97960.0 | 48.98
820318 | 2024-04-15 | 2 | 1 | 5000.0 | 265480.0 | 265480.0 | 53.67
1785424 | 2023-11-07 | 1 | 1 | 100.0 | 1250.0 | 1250.0 | 12.5
1822145 | 2024-06-11 | 1 | 1 | 1318.0 | 158.16 | 158.16 | 0.12
918646 | 2023-02-02 | 1 | 1 | 2803.0 | 420450.0 | 420450.0 | 150.0
1050446 | 2024-01-11 | 29 | 1 | 5000.0 | 2795591.24 | 2795591.24 | 601.5
1534154 | 2024-11-12 | 1 | 1 | 1500.0 | 10365.0 | 10365.0 | 6.91
1459200 | 2024-08-23 | 1 | 1 | 9476.0 | 585711.56 | 585711.56 | 61.81
1855747 | 2024-02-23 | 1 | 1 | 112108.0 | 250000.84 | 250000.84 | 2.23
788329 | 2023-02-21 | 1 | 1 | 4239.0 | 271041.66 | 271041.66 | 63.94
1871149 | 2022-12-29 | 1 | 1 | 1746.0 | 11383.92 | 11383.92 | 6.52
350894 | 2023-06-22 | 1 | 1 | 41304.0 | 2382414.72 | 2382414.72 | 57.68
(82027 rows; 1.7s; qid 01c74ba5-040b-a028-0026-eed30133d7ee)
