-- S11 Insider tables coverage: trades per month (all issuers), how many land on a submission, share that are code S
M | TRADES | ON_SUBMISSION | SALES | ISSUERS
2021-01-01 | 27560 | 27560 | 8574 | 2550
2021-02-01 | 48497 | 48497 | 13718 | 2911
2021-03-01 | 45819 | 45819 | 15081 | 3187
2021-04-01 | 22998 | 22998 | 8428 | 2437
2021-05-01 | 35551 | 35551 | 12661 | 3029
2021-06-01 | 30947 | 30947 | 12444 | 2845
2021-07-01 | 21049 | 21049 | 8477 | 2295
2021-08-01 | 29593 | 29593 | 12783 | 2843
2021-09-01 | 23010 | 23010 | 10101 | 2534
2021-10-01 | 19088 | 19088 | 7557 | 2187
2021-11-01 | 33989 | 33989 | 15281 | 2955
2021-12-01 | 30602 | 30602 | 9673 | 3211
2022-01-01 | 25065 | 25065 | 5657 | 2553
2022-02-01 | 41115 | 41115 | 7283 | 2820
2022-03-01 | 39150 | 39150 | 9153 | 3128
2022-04-01 | 18348 | 18348 | 4975 | 2260
2022-05-01 | 28849 | 28849 | 6204 | 3046
2022-06-01 | 22645 | 22645 | 4932 | 2838
2022-07-01 | 12819 | 12819 | 3035 | 2036
2022-08-01 | 24219 | 24219 | 8464 | 2791
2022-09-01 | 17061 | 17061 | 4680 | 2383
2022-10-01 | 14431 | 14431 | 4518 | 2005
2022-11-01 | 23780 | 23780 | 8108 | 2721
2022-12-01 | 22980 | 22980 | 5870 | 2951
2023-01-01 | 23731 | 23731 | 4996 | 2471
2023-02-01 | 41669 | 41669 | 8138 | 2784
2023-03-01 | 37651 | 37651 | 7064 | 3127
2023-04-01 | 15033 | 15033 | 3348 | 2077
2023-05-01 | 29516 | 29516 | 5974 | 3012
2023-06-01 | 23834 | 23834 | 6098 | 2815
2023-07-01 | 14720 | 14720 | 4524 | 2021
2023-08-01 | 22322 | 22322 | 7177 | 2730
2023-09-01 | 15585 | 15585 | 4785 | 2352
2023-10-01 | 11815 | 11815 | 2985 | 1937
2023-11-01 | 22232 | 22232 | 7429 | 2587
2023-12-01 | 23782 | 23782 | 7464 | 2861
2024-01-01 | 24205 | 24205 | 5816 | 2435
2024-02-01 | 44854 | 44854 | 10002 | 2769
2024-03-01 | 39891 | 39891 | 10808 | 2987
2024-04-01 | 17851 | 17851 | 5294 | 2154
(58 rows; 0.6s; qid 01c74ba5-040b-a911-0026-eed30134467e)
