-- S14 Verify the PAC-summary IE line against itemized Schedule E: IE dollars per spender per file cycle, superseded lines dropped (all spenders)
SPE_ID | CYCLE_FILE | LINES | IE_AMT | SUPERSEDED_LINES
C90016478 | 2018 | 25 | 1687062.21 | 0
C00674598 | 2018 | 2 | 125.00 | 0
C00589507 | 2018 | 10 | 8048.43 | 0
C90017302 | 2018 | 8 | 1977244.89 | 0
C00682369 | 2018 | 8 | 168961.72 | 0
C00532572 | 2018 | 2 | 252500.00 | 0
C00604496 | 2018 | 20 | 616197.95 | 0
C00687673 | 2018 | 1 | 5986.16 | 0
C90017872 | 2018 | 1 | 60650.00 | 0
C00623371 | 2018 | 27 | 570787.50 | 0
C00611236 | 2018 | 1 | 3000.00 | 0
C00655738 | 2018 | 1 | 1802.00 | 0
C00655498 | 2018 | 4 | 21997.00 | 0
C00635474 | 2018 | 14 | 140050.08 | 0
C00682807 | 2018 | 3 | 20750.00 | 0
C00608943 | 2018 | 46 | 1856218.95 | 0
C00553313 | 2018 | 11 | 45000.00 | 0
C00602797 | 2018 | 12 | 44500.00 | 0
C00041954 | 2018 | 4 | 146934.89 | 0
C00686592 | 2018 | 13 | 283568.84 | 0
C00650416 | 2018 | 12 | 243399.18 | 0
C00662072 | 2018 | 2 | 10000.00 | 0
C90014895 | 2018 | 94 | 4777150.28 | 0
C90016122 | 2018 | 7 | 280000.00 | 0
C90017922 | 2018 | 9 | 7541.09 | 0
C00636068 | 2018 | 8 | 291802.13 | 0
C00651935 | 2018 | 24 | 269939.77 | 0
C00689901 | 2018 | 11 | 9863.76 | 0
C90009358 | 2018 | 234 | 894148.40 | 0
C00614453 | 2018 | 22 | 76349.22 | 0
C90017492 | 2018 | 296 | 167618.07 | 0
C00688283 | 2018 | 1 | 1118.96 | 0
C00684969 | 2018 | 15 | 116016.00 | 0
C00486845 | 2018 | 152 | 16244153.14 | 0
C00555904 | 2018 | 3 | 17276.55 | 0
C00668038 | 2018 | 28 | 1432628.00 | 0
C00630780 | 2018 | 4 | 3953.92 | 0
C00569517 | 2018 | 11 | 40277.66 | 0
C00084368 | 2018 | 4 | 23705.90 | 0
C00641159 | 2018 | 3 | 9236.73 | 0
(4135 rows; 0.8s; qid 01c74ba7-040b-a07c-0026-eed30133e852)
