-- S15 Verify the contributions line against itemized committee-to-candidate money (pas2): per committee, cycle and transaction type, memo lines dropped
CMTE_ID | CYCLE | TRANSACTION_TP | LINES | AMT
C00785816 | 2024 | 24K | 159 | 312400.0
C00214809 | 2024 | 24K | 7 | 25000.0
C00686055 | 2024 | 24K | 124 | 208600.0
C00835785 | 2024 | 24K | 7 | 15500.0
C00664706 | 2024 | 24K | 3 | 3833.0
C00395723 | 2024 | 24K | 74 | 116000.0
C00072025 | 2024 | 24K | 258 | 630500.0
C00380675 | 2024 | 24K | 30 | 28000.0
C00518910 | 2024 | 24K | 40 | 70000.0
C00654590 | 2024 | 24K | 10 | 16500.0
C00826297 | 2024 | 24K | 130 | 197500.0
C00509539 | 2024 | 24K | 1 | 1350.0
C00550988 | 2024 | 24K | 6 | 10000.0
C00447284 | 2024 | 24K | 77 | 200000.0
C00121582 | 2024 | 24K | 15 | 26500.0
C00421735 | 2024 | 24K | 4 | 15000.0
C00363853 | 2024 | 24K | 19 | 5500.0
C00825364 | 2024 | 24K | 66 | 121500.0
C00247197 | 2024 | 24K | 4 | 11500.0
C00760827 | 2024 | 24K | 51 | 247500.0
C00401687 | 2024 | 24K | 100 | 201250.0
C00635516 | 2024 | 24K | 46 | 54000.0
C00566067 | 2024 | 24K | 33 | 62500.0
C00503680 | 2024 | 24K | 239 | 549300.0
C00284885 | 2024 | 24K | 556 | 2015500.0
C00391979 | 2024 | 24K | 152 | 323300.0
C00839407 | 2024 | 24K | 29 | 19099.0
C00252940 | 2024 | 24K | 692 | 648991.0
C00605410 | 2024 | 24K | 14 | 33000.0
C00104687 | 2024 | 24K | 24 | 37500.0
C00540153 | 2024 | 24K | 14 | 15500.0
C00187526 | 2024 | 24K | 23 | 24250.0
C00029447 | 2024 | 24E | 7 | 7563.0
C00552851 | 2024 | 24E | 1545 | 1309295.0
C00427781 | 2024 | 24K | 37 | 96300.0
C00552679 | 2024 | 24K | 15 | 15500.0
C00411116 | 2024 | 24K | 342 | 1057000.0
C00657262 | 2024 | 24K | 24 | 57500.0
C00678839 | 2024 | 24A | 28 | 78619.0
C00432526 | 2024 | 24K | 30 | 36151.0
(10577 rows; 0.7s; qid 01c74ba7-040b-a79a-0026-eed301338d0a)
