-- S16 Donor profile for the 740 screened super PACs/hybrids: itemized individual gifts (deduped on committee+donor+ZIP5+date+amount, memo rows dropped), donors, retired donors, repeat donors
CMTE_ID | CYCLE_FILE | DONORS | RETIRED_DONORS | GIFTS | AMT | DONORS_10PLUS | AMT_10PLUS | MED_DONOR_TOTAL | AMT_RETIRED
C00570416 | 2020 | 950 | 905 | 2530 | 452248.0 | 26 | 25850.0 | 275.0 | 424708.0
C00887901 | 2026 | 83 | 35 | 164 | 78494.0 | 3 | 3068.0 | 55.0 | 35408.0
C00629592 | 2018 | 13 | 7 | 25 | 629274.0 | 0 | 0.0 | 25000.0 | 268500.0
C00622415 | 2020 | 14 | 2 | 15 | 617500.0 | 0 | 0.0 | 17500.0 | 120000.0
C00808196 | 2022 | 2 | 0 | 6 | 322716.0 | 0 | 0.0 | 161358.0 | 0.0
C00717421 | 2020 | 35 | 2 | 43 | 666297.0 | 0 | 0.0 | 10000.0 | 15000.0
C00748582 | 2022 | 936 | 15 | 6603 | 600599.0 | 163 | 202330.0 | 200.0 | 4650.0
C00530766 | 2014 | 180 | 64 | 234 | 3689975.0 | 1 | 1575186.0 | 500.0 | 66965.0
C00809467 | 2024 | 36 | 20 | 44 | 10330.0 | 0 | 0.0 | 252.5 | 6040.0
C00794891 | 2024 | 1 | 0 | 1 | 225000.0 | 0 | 0.0 | 225000.0 | 0.0
C00666388 | 2024 | 1 | 0 | 6 | 4050000.0 | 0 | 0.0 | 4050000.0 | 0.0
C00688945 | 2018 | 1 | 0 | 1 | 200000.0 | 0 | 0.0 | 200000.0 | 0.0
C00851410 | 2024 | 48 | 10 | 126 | 553496.0 | 2 | 233779.0 | 635.0 | 20337.0
C00564765 | 2018 | 67 | 20 | 82 | 15188250.0 | 0 | 0.0 | 100000.0 | 6195250.0
C00847061 | 2024 | 38 | 0 | 42 | 1423000.0 | 0 | 0.0 | 10000.0 | 0.0
C00687103 | 2022 | 360 | 162 | 596 | 77971546.0 | 4 | 2616.0 | 10000.0 | 11944320.0
C00801803 | 2024 | 59 | 4 | 59 | 2965470.0 | 0 | 0.0 | 5000.0 | 20220.0
C00703082 | 2024 | 17 | 0 | 21 | 709612.0 | 0 | 0.0 | 250.0 | 0.0
C00886804 | 2026 | 1 | 0 | 1 | 52086.0 | 0 | 0.0 | 52086.0 | 0.0
C00691329 | 2020 | 250 | 66 | 387 | 86959.0 | 3 | 1718.0 | 300.0 | 22370.0
C00662148 | 2020 | 438 | 253 | 1018 | 174955.0 | 16 | 15798.0 | 250.0 | 89979.0
C00736744 | 2020 | 10 | 1 | 10 | 299750.0 | 0 | 0.0 | 1000.0 | 1000.0
C00820308 | 2022 | 3 | 0 | 10 | 10090000.0 | 0 | 0.0 | 875000.0 | 0.0
C00722371 | 2020 | 20 | 4 | 21 | 287750.0 | 0 | 0.0 | 10000.0 | 60000.0
C00629477 | 2022 | 58 | 32 | 170 | 25455.0 | 3 | 2365.0 | 250.0 | 12780.0
C00629477 | 2026 | 8 | 5 | 83 | 5650.0 | 3 | 4850.0 | 230.0 | 3470.0
C00532416 | 2018 | 24 | 0 | 34 | 314865.0 | 0 | 0.0 | 1000.0 | 0.0
C00751420 | 2020 | 432 | 162 | 739 | 9524400.0 | 4 | 6809322.0 | 475.0 | 142124.0
C00683243 | 2024 | 15 | 1 | 20 | 2430000.0 | 0 | 0.0 | 12500.0 | 100000.0
C00695528 | 2020 | 13 | 1 | 16 | 1553600.0 | 0 | 0.0 | 5000.0 | 5000.0
C00623421 | 2022 | 19 | 12 | 70 | 1668196.0 | 3 | 1612000.0 | 300.0 | 6076.0
C00656314 | 2022 | 1 | 0 | 1 | 250.0 | 0 | 0.0 | 250.0 | 0.0
C00499020 | 2020 | 1968 | 924 | 3822 | 3720100.0 | 16 | 13785.0 | 280.0 | 934877.0
C00488387 | 2012 | 219 | 33 | 308 | 333800.0 | 0 | 0.0 | 1000.0 | 50200.0
C00884239 | 2026 | 1 | 1 | 1 | 9999.0 | 0 | 0.0 | 9999.0 | 9999.0
C00870592 | 2024 | 79 | 5 | 93 | 17283980.0 | 0 | 0.0 | 25000.0 | 800100.0
C00701805 | 2020 | 2 | 0 | 3 | 170000.0 | 0 | 0.0 | 85000.0 | 0.0
C00341396 | 2014 | 1557 | 559 | 2227 | 886964.0 | 11 | 43582.0 | 300.0 | 285456.0
C00635243 | 2018 | 797 | 539 | 2312 | 1081149.0 | 35 | 216966.0 | 300.0 | 813929.0
C00736637 | 2022 | 135 | 19 | 956 | 270724.0 | 41 | 24544.0 | 245.0 | 158388.0
(2100 rows; 6.8s; qid 01c74ba7-040b-a5bb-0026-eed30133f742)
