S01	ERROR	252005: Failed to convert current row, cause: ordinal must be >= 1
S02	724 rows	0.5s	01c74b9f-040b-a028-0026-eed30133d7a2
S03	55635 rows	2.8s	01c74b9f-040b-a770-0026-eed301339d12
S04	44398 rows	2.6s	01c74b9f-040b-a028-0026-eed30133d7a6
S05	30536 rows	0.7s	01c74b9f-040b-a770-0026-eed301339d16
S06	45709 rows	1.2s	01c74b9f-040b-a6f8-0026-eed30133ac7e
S07	16229 rows	0.6s	01c74b9f-040b-a79a-0026-eed301338c7a
S08	664 rows	1.3s	01c74ba0-040b-9feb-0026-eed30133c7c6
S09	973 rows	0.5s	01c74ba5-040b-a07c-0026-eed30133e826
S10	82027 rows	1.7s	01c74ba5-040b-a028-0026-eed30133d7ee
S11	58 rows	0.6s	01c74ba5-040b-a911-0026-eed30134467e
S12	8 rows	0.4s	01c74ba5-040b-a79a-0026-eed301338cde
S13	8 rows	0.5s	01c74ba5-040b-a5bb-0026-eed30133f71a
S14	4135 rows	0.8s	01c74ba7-040b-a07c-0026-eed30133e852
S15	10577 rows	0.7s	01c74ba7-040b-a79a-0026-eed301338d0a
S16	2100 rows	6.8s	01c74ba7-040b-a5bb-0026-eed30133f742
S17	217 rows	0.7s	01c74ba9-040b-a028-0026-eed30133d816
S18	4 rows	0.2s	01c74ba9-040b-9feb-0026-eed30133c882
