-- S14 DERA SUB, all nine quarters: original 10-K and 10-Q filed past the deadline plus the NT extension plus 3 days, by quarter and filer size
Q | FORM | AFS1 | N | LATE | LATE_PCT | LATE_90PLUS | OVER_1Y | NO_LAG | MED_LAG
2024Q1 | 10-K | 1 | 1762 | 3 | 0.17 | 2 | 2 | 0 | 54.000
2024Q2 | 10-K | 1 | 107 | 5 | 4.67 | 1 | 0 | 0 | 54.000
2024Q3 | 10-K | 1 | 100 | 1 | 1.00 | 1 | 0 | 0 | 50.000
2024Q4 | 10-K | 1 | 139 | 1 | 0.72 | 0 | 0 | 0 | 50.000
2025Q1 | 10-K | 1 | 1730 | 3 | 0.17 | 2 | 1 | 0 | 55.000
2025Q2 | 10-K | 1 | 95 | 1 | 1.05 | 0 | 0 | 0 | 53.000
2025Q3 | 10-K | 1 | 100 | 0 | 0.00 | 0 | 0 | 0 | 50.000
2025Q4 | 10-K | 1 | 130 | 0 | 0.00 | 0 | 0 | 0 | 51.000
2026Q1 | 10-K | 1 | 1697 | 1 | 0.06 | 0 | 0 | 0 | 55.000
2024Q1 | 10-K | 2 | 618 | 3 | 0.49 | 1 | 0 | 0 | 67.000
2024Q2 | 10-K | 2 | 57 | 8 | 14.04 | 0 | 0 | 0 | 72.000
2024Q3 | 10-K | 2 | 39 | 2 | 5.13 | 2 | 0 | 0 | 71.000
2024Q4 | 10-K | 2 | 39 | 3 | 7.69 | 2 | 0 | 0 | 71.000
2025Q1 | 10-K | 2 | 622 | 0 | 0.00 | 0 | 0 | 0 | 65.000
2025Q2 | 10-K | 2 | 48 | 4 | 8.33 | 1 | 0 | 0 | 71.500
2025Q3 | 10-K | 2 | 40 | 3 | 7.50 | 1 | 0 | 0 | 67.000
2025Q4 | 10-K | 2 | 38 | 3 | 7.89 | 3 | 0 | 0 | 66.500
2026Q1 | 10-K | 2 | 595 | 1 | 0.17 | 0 | 0 | 0 | 64.000
2024Q1 | 10-K | 4 | 1593 | 37 | 2.32 | 21 | 8 | 0 | 80.000
2024Q2 | 10-K | 4 | 869 | 140 | 16.11 | 7 | 2 | 0 | 99.000
2024Q3 | 10-K | 4 | 264 | 76 | 28.79 | 37 | 4 | 0 | 92.000
2024Q4 | 10-K | 4 | 195 | 50 | 25.64 | 25 | 6 | 0 | 90.000
2025Q1 | 10-K | 4 | 1819 | 24 | 1.32 | 14 | 11 | 0 | 80.000
2025Q2 | 10-K | 4 | 481 | 105 | 21.83 | 9 | 4 | 0 | 105.000
2025Q3 | 10-K | 4 | 242 | 64 | 26.45 | 40 | 14 | 0 | 91.000
2025Q4 | 10-K | 4 | 185 | 36 | 19.46 | 26 | 4 | 0 | 89.000
2026Q1 | 10-K | 4 | 1970 | 29 | 1.47 | 18 | 15 | 0 | 82.000
2024Q1 | 10-K |  | 1 | 0 | 0.00 | 0 | 0 | 0 | 88.000
2024Q1 | 10-Q | 1 | 325 | 2 | 0.62 | 2 | 0 | 0 | 36.000
2024Q2 | 10-Q | 1 | 2013 | 7 | 0.35 | 3 | 2 | 0 | 33.000
2024Q3 | 10-Q | 1 | 1955 | 4 | 0.20 | 1 | 0 | 0 | 33.000
2024Q4 | 10-Q | 1 | 1935 | 15 | 0.78 | 3 | 1 | 0 | 35.000
2025Q1 | 10-Q | 1 | 335 | 8 | 2.39 | 5 | 0 | 0 | 36.000
2025Q2 | 10-Q | 1 | 1966 | 5 | 0.25 | 3 | 1 | 0 | 35.000
2025Q3 | 10-Q | 1 | 1925 | 5 | 0.26 | 1 | 0 | 0 | 36.000
2025Q4 | 10-Q | 1 | 1879 | 3 | 0.16 | 2 | 0 | 0 | 35.000
2026Q1 | 10-Q | 1 | 314 | 1 | 0.32 | 0 | 0 | 0 | 35.000
2024Q1 | 10-Q | 2 | 107 | 3 | 2.80 | 2 | 0 | 0 | 38.000
2024Q2 | 10-Q | 2 | 729 | 7 | 0.96 | 1 | 0 | 0 | 38.000
2024Q3 | 10-Q | 2 | 710 | 12 | 1.69 | 7 | 1 | 0 | 38.000
2024Q4 | 10-Q | 2 | 689 | 6 | 0.87 | 2 | 0 | 0 | 38.000
2025Q1 | 10-Q | 2 | 97 | 3 | 3.09 | 0 | 0 | 0 | 37.000
2025Q2 | 10-Q | 2 | 717 | 8 | 1.12 | 2 | 0 | 0 | 38.000
2025Q3 | 10-Q | 2 | 696 | 7 | 1.01 | 1 | 0 | 0 | 38.000
2025Q4 | 10-Q | 2 | 694 | 10 | 1.44 | 6 | 0 | 0 | 37.000
2026Q1 | 10-Q | 2 | 99 | 4 | 4.04 | 1 | 0 | 0 | 37.000
2024Q1 | 10-Q | 4 | 612 | 114 | 18.63 | 34 | 12 | 0 | 45.000
2024Q2 | 10-Q | 4 | 2664 | 179 | 6.72 | 34 | 12 | 0 | 44.000
2024Q3 | 10-Q | 4 | 2725 | 238 | 8.73 | 54 | 14 | 0 | 44.000
2024Q4 | 10-Q | 4 | 2740 | 206 | 7.52 | 55 | 10 | 0 | 44.000
2025Q1 | 10-Q | 4 | 571 | 119 | 20.84 | 53 | 17 | 0 | 45.000
2025Q2 | 10-Q | 4 | 2541 | 169 | 6.65 | 38 | 11 | 0 | 44.000
2025Q3 | 10-Q | 4 | 2628 | 216 | 8.22 | 72 | 23 | 0 | 44.000
2025Q4 | 10-Q | 4 | 2705 | 196 | 7.25 | 63 | 24 | 0 | 44.000
2026Q1 | 10-Q | 4 | 559 | 127 | 22.72 | 44 | 9 | 0 | 44.000
(55 rows; csv has all)
