-- S23 2024 cycle, per PAC: leadership and non-connected PACs with $250K+ spending and 75%+ of money straight from individuals; itemized individual dollars from the FEC contributions file (memo rows out) to split small-dollar money from big
GRP | CMTE_ID | COMMITTEE_NAME | COMMITTEE_TYPE | COVERAGE_END_DATE | RCPT | INDIV | ITEMIZED | UNITEMIZED_SHARE | ITEM_ROWS | MED_ITEM | DISB | TO_OTHERS | SHARE | CASH_CLOSE
leadership | C00634774 | COMMON SENSE FOR AMERICA PAC | Q | 2024-12-31 | 9811521.0 | 9106858.0 | 3275744.0 | 0.64 | 18601 | 100.0 | 9313631.0 | 2153845.0 | 0.231 | 554587.0
leadership | C00271338 | AMERIPAC: THE FUND FOR A GREATER AMERICA | Q | 2024-12-31 | 9067547.0 | 8416599.0 | 3201180.0 | 0.62 | 104506 | 10.0 | 8908619.0 | 3508563.0 | 0.394 | 2655869.0
leadership | C00344234 | PAC TO THE FUTURE | Q | 2024-12-31 | 7955840.0 | 7626332.0 | 2478628.0 | 0.675 | 52913 | 25.0 | 8313286.0 | 2070458.0 | 0.249 | 9929082.0
leadership | C00807412 | HELLFIRE PAC | Q | 2024-12-31 | 4438318.0 | 4220855.0 | 1288528.0 | 0.695 | 25335 | 23.0 | 3655225.0 | 304934.0 | 0.083 | 787553.0
leadership | C00685552 | MEDICARE FOR ALL | Q | 2024-12-31 | 3798113.0 | 3771826.0 | 854304.0 | 0.774 | 40811 | 9.0 | 3430373.0 | 751010.0 | 0.219 | 2488100.0
leadership | C00493221 | THE GUARDIAN FUND | Q | 2024-12-31 | 2596443.0 | 2541494.0 | 1196448.0 | 0.529 | 3785 | 200.0 | 2596856.0 | 175500.0 | 0.068 | 372245.0
leadership | C00416131 | MIDWEST VALUES PAC | Q | 2024-12-31 | 2649578.0 | 2629823.0 | 1047681.0 | 0.602 | 6833 | 50.0 | 2523701.0 | 355800.0 | 0.141 | 603562.0
leadership | C00872804 | DEFEND FREEDOM, INC. | N | 2024-12-31 | 2425025.0 | 2399481.0 | 676540.0 | 0.718 | 4956 | 50.0 | 1753034.0 | 20019.0 | 0.011 | 671992.0
leadership | C00880062 | ELECT DEMS NOW PAC | N | 2024-12-31 | 2079075.0 | 2065775.0 | 356726.0 | 0.827 | 11346 | 15.0 | 1691238.0 | 229700.0 | 0.136 | 387837.0
leadership | C00743641 | BLUE SENATE PAC | Q | 2024-12-31 | 1838891.0 | 1830572.0 | 656752.0 | 0.641 | 4673 | 50.0 | 1598423.0 | 191500.0 | 0.12 | 246278.0
leadership | C00785816 | LIFTOFF PAC | Q | 2024-12-31 | 1600526.0 | 1212245.0 | 945457.0 | 0.22 | 556 | 1000.0 | 1579134.0 | 600500.0 | 0.38 | 98527.0
leadership | C00844639 | DEMOCRATIC TURNOUT PROJECT PAC | Q | 2024-12-31 | 1301645.0 | 1294645.0 | 268623.0 | 0.793 | 6028 | 10.0 | 1239760.0 | 568000.0 | 0.458 | 61886.0
leadership | C00571174 | SERVE AMERICA PAC | Q | 2024-12-31 | 1248264.0 | 966792.0 | 548094.0 | 0.433 | 933 | 70.0 | 1203221.0 | 260750.0 | 0.217 | 292600.0
leadership | C00845065 | SOUTHWEST OHIO LEADERSHIP PAC | H | 2024-12-31 | 1172163.0 | 971616.0 | 648942.0 | 0.332 | 1336 | 210.0 | 1172163.0 | 7164.0 | 0.006 | 0.0
leadership | C00887588 | DEMOCRATS VOTE | N | 2024-12-31 | 1346600.0 | 1346600.0 | 230090.0 | 0.829 | 4527 | 30.0 | 1112351.0 | 122000.0 | 0.11 | 234249.0
leadership | C00747766 | TRUTH TO POWER | Q | 2024-12-31 | 1031006.0 | 1030006.0 | 283963.0 | 0.724 | 3045 | 25.0 | 849234.0 | 211600.0 | 0.249 | 299795.0
leadership | C00649772 | REVIVING AMERICAN JOBS AGAIN PAC | Q | 2024-12-31 | 857278.0 | 729703.0 | 729400.0 | 0.0 | 194 | 5000.0 | 725108.0 | 549445.0 | 0.758 | 136391.0
leadership | C00886978 | FREEDOM DEMOCRATS | N | 2024-12-31 | 885057.0 | 884957.0 | 119057.0 | 0.865 | 3182 | 30.0 | 633729.0 | 14000.0 | 0.022 | 251328.0
leadership | C00460972 | BLUE WAVE PROJECT | Q | 2024-12-31 | 913320.0 | 754569.0 | 566075.0 | 0.25 | 1665 | 50.0 | 610327.0 | 169000.0 | 0.277 | 315135.0
leadership | C00663609 | PROGRESSIVE MAJORITY PAC | Q | 2024-12-31 | 604420.0 | 564330.0 | 137610.0 | 0.756 | 3312 | 25.0 | 545838.0 | 146500.0 | 0.268 | 113573.0
leadership | C00376038 | HELP AMERICA'S LEADERS POLITICAL ACTION COMMITTEE | Q | 2024-12-31 | 389604.0 | 302553.0 | 284900.0 | 0.058 | 92 | 2600.0 | 381254.0 | 18000.0 | 0.047 | 85471.0
leadership | C00814616 | SENATE FIGHT FUND | N | 2024-12-31 | 491288.0 | 459588.0 | 162748.0 | 0.646 | 5069 | 10.0 | 318580.0 | 25000.0 | 0.078 | 191927.0
leadership | C00566059 | REMEDY PAC | Q | 2024-12-31 | 334703.0 | 269689.0 | 268949.0 | 0.003 | 77 | 5000.0 | 307639.0 | 168754.0 | 0.549 | 31772.0
leadership | C00807909 | STOP COLLECTIVISM OR TOTALITARIANISM TRIUMPHS PAC | Q | 2024-12-31 | 294551.0 | 263700.0 | 237000.0 | 0.101 | 63 | 5000.0 | 306814.0 | 265900.0 | 0.867 | 0.0
leadership | C00741371 | ROOTED IN COMMUNITY LEADERSHIP PAC | Q | 2024-12-31 | 373333.0 | 301076.0 | 170384.0 | 0.434 | 238 | 250.0 | 288372.0 | 43000.0 | 0.149 | 126222.0
leadership | C00417493 | PROGRESSIVE AMERICANS FOR DEMOCRACY | Q | 2024-12-31 | 114546.0 | 110493.0 | 30986.0 | 0.72 | 277 | 30.0 | 274562.0 | 89750.0 | 0.327 | 59938.0
leadership | C00802595 | OVERHAUL PAC | N | 2024-12-31 | 322222.0 | 261446.0 | 40434.0 | 0.845 | 1075 | 19.0 | 263386.0 | 39600.0 | 0.15 | 62678.0
nonconnected | C00562983 | DEMOCRATIC ACTION | N | 2024-12-31 | 26955120.0 | 26638848.0 | 7579594.0 | 0.715 | 163528 | 25.0 | 27265569.0 | 44741.0 | 0.002 | 849819.0
nonconnected | C00633404 | STOP REPUBLICANS | N | 2024-12-31 | 22425616.0 | 22256855.0 | 6859330.0 | 0.692 | 237179 | 15.0 | 22211673.0 | 12577892.0 | 0.566 | 373565.0
nonconnected | C00659599 | PROGRESSIVE TAKEOVER | N | 2024-12-31 | 19406254.0 | 19040480.0 | 5403387.0 | 0.716 | 180830 | 15.0 | 19558365.0 | 11420000.0 | 0.584 | 257932.0
nonconnected | C00028860 | AMERICAN FEDERATION OF TEACHERS, AFL-CIO COMMITTEE ON POLITICAL EDUCATION | Q | 2024-12-31 | 13762019.0 | 11357019.0 | 268204.0 | 0.976 | 2128 | 60.0 | 15604807.0 | 8795975.0 | 0.564 | 2141080.0
nonconnected | C00448696 | SENATE CONSERVATIVES FUND | Q | 2024-12-31 | 14243278.0 | 14233608.0 | 9397133.0 | 0.34 | 61961 | 50.0 | 13562154.0 | 11277073.0 | 0.832 | 1748910.0
nonconnected | C00032979 | D.R.I.V.E. - DEMOCRAT, REPUBLICAN, INDEPENDENT VOTER EDUCATION (THE PAC OF THE INTERNATIONAL BROTHERHOOD OF TEAMSTERS) | Q | 2024-12-31 | 15363503.0 | 15147266.0 | 929764.0 | 0.939 | 54558 | 6.0 | 13280126.0 | 4448052.0 | 0.335 | 2918161.0
nonconnected | C00448373 | HUCK PAC | Q | 2024-12-31 | 11403834.0 | 11398542.0 | 3732753.0 | 0.673 | 22460 | 100.0 | 12557916.0 | 1327500.0 | 0.106 | 12303.0
nonconnected | C00147512 | CONGRESSIONAL BLACK CAUCUS PAC | Q | 2024-12-31 | 11920966.0 | 9349499.0 | 2756602.0 | 0.705 | 77669 | 12.0 | 12514459.0 | 215750.0 | 0.017 | 467716.0
nonconnected | C00550970 | EQUALITY PAC | Q | 2024-12-31 | 12199511.0 | 9358536.0 | 5589927.0 | 0.403 | 105645 | 15.0 | 12422283.0 | 4993480.0 | 0.402 | 596061.0
nonconnected | C00021121 | VOICE OF TEACHERS FOR EDUC/CMTE ON POL EDUC OF NY STATE UNTD TEACHERS (VOTE/COPE) OF NYSUT | Q | 2024-12-31 | 14757841.0 | 13810270.0 | 1422005.0 | 0.897 | 13496 | 20.0 | 11600478.0 | 6393000.0 | 0.551 | 12874151.0
