-- S25 Org type and sponsor field for the 271 PACs in S23, to drop connected PACs from the small-dollar comparison
CMTE_ID | ORG_TP | CONNECTED_ORG
C00816868 |  | 
C00408468 | M | NONE
C00365296 | L | HOUSTON FIRE FIGHTERS POLITICAL ACTION FUND, INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS
C00485896 | C | 
C00771865 |  | 
C00775205 |  | 
C00114850 | L | INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 101 POLITICAL ACTION COMMITTEE
C00607556 |  | 
C00617381 |  | 
C00633404 |  | STOP THESE OPPRESSIVE PEOPLE: TYRANTS RACISTS UNQUALIFIEDS MISOGYNISTS PROPAGANDISTS (STOP TRUMP)
C00360008 | T | NATIONAL THOROUGHBRED RACING ASSOCIATION
C00017194 | L | INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 825
C00571174 |  | MOULTON LEADERSHIP FUND
C00884288 | L | CARPENTERS LEGISLATIVE IMPROVEMENT COMMITTEE UNITED BROTHERHOOD OF CARPENTERS AND JOINERS
C00139279 | C | 
C00451518 |  | NONE
C00007898 | L | 
C00084061 | M | BLUEPAC - BLUE CROSS BLUE SHIELD ASSOCIATION PAC
C00785584 |  | NONE
C00717728 |  | NONE
C00367995 | C | SIERRA NEVADA COMPANY, LLC
C00874115 |  | 
C00326389 | V | AMALGAMATED SUGAR COMPANY
C00072025 | L | NATIONAL RURAL LETTER CARRIERS' ASSOCIATION
C00238204 |  | NONE
C00225151 | L | UA UNION PLUMBERS & PIPEFITTERS VOTE! PAC (UNITED ASSOCIATION OF JOURNEYMEN AND APPRENTICES OF THE PLUMBING & PIPEFITTING INDUSTRY OF THE UNITED STATES AND CANADA)
C00562983 |  | 
C00100404 | M | NATIONAL ASSOCIATION OF POSTMASTERS OF THE UNITED STATES
C00134676 | L | PHOENIX FIREFIGHTERS LOCAL 493
C00844795 |  | NEW DEMOCRAT COALITION ACTION FUND
C00829895 |  | 
C00423731 | L | ENGINEERS POLITICAL EDUCATION COMMITTEE (EPEC)/INTERNATIONAL UNION OF OPERATING ENGINEERS
C00652529 | C | 
C00884478 |  | 
C00879031 |  | 
C00783837 |  | 
C00448373 |  | NONE
C00590315 | C | 
C00566059 |  | 
C00383976 |  | NONE
C00743641 |  | 
C00632398 |  | END CITIZENS UNITED
C00076182 | T | NATIONAL TURKEY FEDERATION
C00685776 |  | NONE
C00458794 | L | INTERNATIONAL UNION OF OPERATING ENGINEERS POLITICAL EDUCATION COMMITTEE
C00567388 | C | NEXSTAR MEDIA GROUP, INC.
C00357905 | T | LOUISIANA SHERIFFS ASSOCIATION.
C00285593 | L | 
C00814616 |  | 
C00081414 | M | AMERICAN SUGAR CANE LEAGUE OF USA, INC
C00252056 | L | PLUMBERS LOCAL UNION NO. 24
C00830174 |  | NONE
C00220566 | L | LABORERS' INTERNATIONAL UNION OF NORTH AMERICA (LIUNA) PAC
C00657452 |  | 
C00243659 | C | HY-VEE PAC
C00653188 |  | 
C00455733 | C | 
C00807412 |  | 
C00772244 |  | NONE
C00366070 |  | 
(271 rows; csv has all)
