-- S02 WQP stations: the whole table (5.8K rows), profiled locally
ORGANIZATION_IDENTIFIER | ORGANIZATION_FORMAL_NAME | MONITORING_LOCATION_IDENTIFIER | MONITORING_LOCATION_NAME | MONITORING_LOCATION_TYPE_NAME | MONITORING_LOCATION_DESCRIPTION_TEXT | HUC_EIGHT_DIGIT_CODE | DRAINAGE_AREA_MEASURE_VALUE | DRAINAGE_AREA_MEASURE_UNIT_CODE | CONTRIBUTING_DRAINAGE_AREA_MEASURE_VALUE | CONTRIBUTING_DRAINAGE_AREA_MEASURE_UNIT_CODE | LATITUDE | LONGITUDE | SOURCE_MAP_SCALE_NUMERIC | HORIZONTAL_ACCURACY_MEASURE_VALUE | HORIZONTAL_ACCURACY_MEASURE_UNIT_CODE | HORIZONTAL_COLLECTION_METHOD_NAME | HORIZONTAL_DATUM_NAME | VERTICAL_MEASURE_VALUE | VERTICAL_MEASURE_UNIT_CODE | VERTICAL_ACCURACY_MEASURE_VALUE | VERTICAL_ACCURACY_MEASURE_UNIT_CODE | VERTICAL_COLLECTION_METHOD_NAME | VERTICAL_DATUM_NAME | COUNTRY_CODE | STATE_CODE | COUNTY_CODE | AQUIFER_NAME | LOCAL_AQUIFER_NAME | FORMATION_TYPE_TEXT | AQUIFER_TYPE_NAME | CONSTRUCTION_DATE_TEXT | WELL_DEPTH_MEASURE_VALUE | WELL_DEPTH_MEASURE_UNIT_CODE | WELL_HOLE_DEPTH_MEASURE_VALUE | WELL_HOLE_DEPTH_MEASURE_UNIT_CODE | PROVIDER_NAME | _LOADED_AT | _SOURCE_RUN_ID | _SRC_SHA256
1111REG1 | US EPA Region 1 | 1111REG1-42.1 | Great Swamp Brook | River/Stream |  | 01090004 |  |  |  |  | 41.0093133 | -71.0021583 |  |  |  | GPS Carrier Phase Static Relative Position | NAD83 | 0.0 | ft |  |  |  | Unknown | US | 44 | 005 |  |  |  |  |  |  |  |  |  | STORET | 1786164151798437 | b5c68388-e288-46f3-b607-696527a6f979 | 6dc0d12120977c4474b745cf1823365f046296fb7d37be02602c5f46622cf981
1111REG1 | US EPA Region 1 | 1111REG1-DAM001 | Woonasquatucket River - Esmond Dam | River/Stream |  | 01090004 |  |  |  |  | 41.8663 | -71.4926361 |  |  |  | GPS Code (Pseudo Range) Differential | NAD83 | 0.0 | ft |  |  |  | Unknown | US | 44 | 007 |  |  |  |  |  |  |  |  |  | STORET | 1786164151798437 | b5c68388-e288-46f3-b607-696527a6f979 | 6dc0d12120977c4474b745cf1823365f046296fb7d37be02602c5f46622cf981
1111REG1 | US EPA Region 1 | 1111REG1-DAM002 | Woonasquatucket River - Allendale Mill Dam | River/Stream |  | 01090004 |  |  |  |  | 41.8511889 | -71.4815778 |  |  |  | GPS Code (Pseudo Range) Differential | NAD83 | 0.0 | ft |  |  |  | Unknown | US | 44 | 007 |  |  |  |  |  |  |  |  |  | STORET | 1786164151798437 | b5c68388-e288-46f3-b607-696527a6f979 | 6dc0d12120977c4474b745cf1823365f046296fb7d37be02602c5f46622cf981
1111REG1 | US EPA Region 1 | 1111REG1-DAM003 | Woonasquatucket River - Lymansville Dam | River/Stream |  | 01090004 |  |  |  |  | 41.8401 | -71.4774861 |  |  |  | GPS Code (Pseudo Range) Differential | NAD83 | 0.0 | ft |  |  |  | Unknown | US | 44 | 007 |  |  |  |  |  |  |  |  |  | STORET | 1786164151798437 | b5c68388-e288-46f3-b607-696527a6f979 | 6dc0d12120977c4474b745cf1823365f046296fb7d37be02602c5f46622cf981
1111REG1 | US EPA Region 1 | 1111REG1-DAM004 | Woonasquatucket River - Manton Dam | River/Stream |  | 01090004 |  |  |  |  | 41.8350528 | -71.4722167 |  |  |  | GPS Code (Pseudo Range) Differential | NAD83 | 0.0 | ft |  |  |  | Unknown | US | 44 | 007 |  |  |  |  |  |  |  |  |  | STORET | 1786164151798437 | b5c68388-e288-46f3-b607-696527a6f979 | 6dc0d12120977c4474b745cf1823365f046296fb7d37be02602c5f46622cf981
1111REG1 | US EPA Region 1 | 1111REG1-DAM005 | Woonasquatucket River - Dyerville Dam | River/Stream |  | 01090004 |  |  |  |  | 41.8279889 | -71.4631639 |  |  |  | GPS Code (Pseudo Range) Differential | NAD83 | 0.0 | ft |  |  |  | Unknown | US | 44 | 007 |  |  |  |  |  |  |  |  |  | STORET | 1786164151798437 | b5c68388-e288-46f3-b607-696527a6f979 | 6dc0d12120977c4474b745cf1823365f046296fb7d37be02602c5f46622cf981
1111REG1 | US EPA Region 1 | 1111REG1-DAM006 | Woonasquatucket River - Olneyville Dam | River/Stream |  | 01090004 |  |  |  |  | 41.8185194 | -71.4490083 |  |  |  | GPS Code (Pseudo Range) Differential | NAD83 | 0.0 | ft |  |  |  | Unknown | US | 44 | 007 |  |  |  |  |  |  |  |  |  | STORET | 1786164151798437 | b5c68388-e288-46f3-b607-696527a6f979 | 6dc0d12120977c4474b745cf1823365f046296fb7d37be02602c5f46622cf981
1111REG1 | US EPA Region 1 | 1111REG1-DAM007 | Woonasquatucket River - Lonigan Dam | River/Stream |  | 01090004 |  |  |  |  | 41.8220278 | -71.4420528 |  |  |  | GPS Code (Pseudo Range) Differential | NAD83 | 0.0 | ft |  |  |  | Unknown | US | 44 | 007 |  |  |  |  |  |  |  |  |  | STORET | 1786164151798437 | b5c68388-e288-46f3-b607-696527a6f979 | 6dc0d12120977c4474b745cf1823365f046296fb7d37be02602c5f46622cf981
1111REG1 | US EPA Region 1 | 1111REG1-EPA 42.01 MA | Great Swamp Brook | River/Stream |  | 01090002 |  |  |  |  | 41.5589 | -71.1295 |  |  |  | GPS Code (Pseudo Range) Differential | NAD83 | 0.0 | ft |  |  |  | Unknown | US | 44 | 005 |  |  |  |  |  |  |  |  |  | STORET | 1786164151798437 | b5c68388-e288-46f3-b607-696527a6f979 | 6dc0d12120977c4474b745cf1823365f046296fb7d37be02602c5f46622cf981
1111REG1 | US EPA Region 1 | 1111REG1-RI RSD10 | Wood River | River/Stream |  | 01090005 |  |  |  |  | 41.539 | -71.699 |  |  |  | GPS Code (Pseudo Range) Differential | NAD83 | 0.0 | ft |  |  |  | Unknown | US | 44 | 009 |  |  |  |  |  |  |  |  |  | STORET | 1786164151798437 | b5c68388-e288-46f3-b607-696527a6f979 | 6dc0d12120977c4474b745cf1823365f046296fb7d37be02602c5f46622cf981
