-- S06 ICIS-Air pollutants: top 150 pollutants by facility count, with class split and CAS
POLLUTANT_CODE | POLLUTANT_DESC | CAS | N | FACILITIES | MAJ | SMI | MNR
300000243 | VOLATILE ORGANIC COMPOUNDS (VOCS) |  | 127447 | 116663 | 9917 | 20759 | 93516
300000329 | FACIL |  | 133679 | 111903 | 11902 | 18199 | 51385
300000322 | TOTAL PARTICULATE MATTER |  | 85633 | 82262 | 6076 | 10337 | 65551
10193 | Carbon monoxide | 630080 | 75463 | 68201 | 7566 | 12656 | 52121
300000005 | NITROGEN OXIDES NO2 | 10102440 | 73408 | 67473 | 7384 | 13964 | 50465
300000319 | PARTICULATE MATTER < 10 UM |  | 64248 | 61728 | 4156 | 8084 | 50228
10461 | Sulfur dioxide | 7446095 | 53095 | 49023 | 6016 | 6896 | 37264
300000242 | TOTAL HAZARDOUS AIR POLLUTANTS (HAPS) |  | 47132 | 41913 | 4811 | 9549 | 31704
300000207 | Formaldehyde | 50000 | 25845 | 22477 | 1101 | 4722 | 19366
300000330 | OTHER |  | 13005 | 12405 | 1034 | 2973 | 7900
300000320 | PARTICULATE MATTER < 2.5 UM |  | 12569 | 12147 | 1392 | 1672 | 9404
300000282 | NITROGEN OXIDES | 11104931 | 11632 | 10694 | 2036 | 2313 | 6785
300000236 | VISIBLE EMISSIONS |  | 11099 | 10678 | 1628 | 1300 | 5510
300000183 | Benzene | 71432 | 10271 | 9598 | 834 | 795 | 8049
300000323 | POLLUTANT X |  | 9260 | 9198 | 254 | 666 | 5474
300000328 | ADMIN |  | 9270 | 8836 | 2123 | 1576 | 3133
300000097 | Toluene | 108883 | 9486 | 8765 | 867 | 1063 | 6907
300000074 | Tetrachloroethylene | 127184 | 8380 | 8021 | 128 | 412 | 7458
300000048 | Xylene | 1330207 | 8540 | 7938 | 790 | 976 | 6243
10373 | Particulate matter - PM10 |  | 8329 | 7854 | 924 | 1094 | 5499
300000240 | CFC (CHLOROFLUOROCARBONS) | 75718 | 8155 | 7173 | 129 | 63 | 6043
300000094 | Hexane | 110543 | 7172 | 6739 | 661 | 480 | 5513
10358 | Nitrogen oxides |  | 7208 | 6638 | 1133 | 930 | 4722
300000120 | Ethylbenzene | 100414 | 6909 | 6431 | 566 | 572 | 5268
300000038 | Lead | 7439921 | 6223 | 5687 | 489 | 429 | 4799
7003 | Particulate matter |  | 6132 | 5539 | 634 | 950 | 2727
200000481 | Particulate Matter - PM2.5 |  | 5538 | 5161 | 714 | 685 | 3679
300000010 | Hydrogen sulfide | 7783064 | 3958 | 3666 | 355 | 126 | 2878
300000305 | TOTAL HYDROCARBONS | 308067530 | 3494 | 3390 | 601 | 415 | 2089
300000188 | Methanol | 67561 | 3649 | 3380 | 674 | 425 | 2322
300000269 | 2,2,4-Trimethylpentane  | 540841 | 2525 | 2398 | 225 | 140 | 2055
300000107 | Acrolein | 107028 | 2582 | 2352 | 390 | 239 | 1808
300000377 | PM10 (Filterable portion only) |  | 2533 | 2330 | 265 | 263 | 1768
300000047 | ASBESTOS | 1332214 | 2250 | 2223 | 94 | 39 | 694
300000173 | Acetaldehyde (duplicate pollutant) | 75070 | 2050 | 1862 | 375 | 202 | 1349
300000333 | Acetaldehyde | 75070 | 1784 | 1763 | 377 | 87 | 1275
300000138 | Naphthalene | 91203 | 2043 | 1754 | 385 | 346 | 1110
300000018 | Hydrochloric acid | 7647010 | 2041 | 1750 | 711 | 333 | 822
300000210 | Chromium compounds |  | 2024 | 1722 | 225 | 262 | 1268
300000076 | Carbon dioxide | 124389 | 1738 | 1703 | 121 | 49 | 1152
300000006 | NITROGEN OXIDES NO | 10102439 | 1814 | 1635 | 468 | 179 | 765
300000119 | Styrene | 100425 | 1721 | 1524 | 559 | 340 | 685
300000108 | 1,3-Butadiene | 106990 | 1509 | 1380 | 264 | 137 | 1033
300000153 | Methyl ethyl ketone | 78933 | 1383 | 1304 | 237 | 264 | 815
300000213 | Carbon Dioxide-Equivalents |  | 1225 | 1199 | 153 | 47 | 573
300000036 | Mercury | 7439976 | 1149 | 1031 | 338 | 67 | 391
300000101 | Methyl isobutyl ketone | 108101 | 1143 | 1027 | 231 | 239 | 555
300000302 | FUGITIVE EMISSIONS |  | 1083 | 1022 | 165 | 213 | 577
5409 | Total hazardous air pollutants |  | 1118 | 976 | 211 | 341 | 374
300000016 | Ammonia | 7664417 | 1038 | 964 | 257 | 77 | 586
300000314 | FINE PARTICULATES: HIGH PROBABILITY OF VIOLATION |  | 970 | 956 | 158 | 84 | 172
300000124 | Cumene | 98828 | 1058 | 953 | 191 | 157 | 593
300000301 | FUGITIVE DUST |  | 924 | 898 | 87 | 160 | 375
300000315 | FINE PARTICULATES: LOW PROBABILITY OF VIOLATION |  | 913 | 881 | 74 | 98 | 245
300000171 | Methylene chloride | 75092 | 935 | 880 | 195 | 86 | 440
300000228 | Nickel compounds |  | 1080 | 866 | 163 | 183 | 594
300000095 | Phenol | 108952 | 975 | 865 | 242 | 130 | 524
300000226 | MANGANESE & MANGANESE COMPOUNDS |  | 1073 | 856 | 171 | 209 | 536
300000180 | Methane (Air) | 74828 | 855 | 814 | 107 | 30 | 332
300000295 | AROMATICS |  | 830 | 814 | 263 | 46 | 505
(150 rows; csv has all)
